'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AIREYS INLET Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AIREYS INLET,01/08/2025,1.1,0.2, ,14.6,7.7,93,66,1.78,9.30
AIREYS INLET,02/08/2025,1.0,0.0, ,13.4,8.9,95,72,2.36,6.45
AIREYS INLET,03/08/2025,1.9,0.2, ,17.9,6.0,95,41,2.87,11.38
AIREYS INLET,04/08/2025,2.4,0.0, ,17.1,7.8,84,51,5.65,8.61
AIREYS INLET,05/08/2025,2.1,3.4, ,15.4,9.0,91,56,5.97,10.87
AIREYS INLET,06/08/2025,1.5,0.2, ,12.9,8.4,95,58,4.18,8.96
AIREYS INLET,07/08/2025,1.5,0.4, ,14.3,6.8,86,54,2.46,9.05
AIREYS INLET,08/08/2025,1.0,0.4, ,13.8,7.2,96,79,1.81,8.69
AIREYS INLET,09/08/2025,1.2,1.0, ,13.6,9.9,95,72,1.55,11.90
AIREYS INLET,10/08/2025,1.2,0.0, ,14.6,7.5,95,77,1.28,12.20
AIREYS INLET,11/08/2025,1.3,0.0, ,14.8,7.6,96,69,2.06,12.36
AIREYS INLET,12/08/2025,1.3,0.2, ,14.2,7.5,95,64,3.17,5.92
AIREYS INLET,13/08/2025,1.8,0.4, ,15.4,6.6,95,55,3.38,12.65
AIREYS INLET,14/08/2025,2.3,0.2, ,18.6,7.5,91,50,3.85,12.94
AIREYS INLET,15/08/2025,2.3,0.0, ,13.4,10.8,85,52,6.90,6.98
AIREYS INLET,16/08/2025,1.7,1.2, ,12.7,5.0,92,61,4.65,10.37
AIREYS INLET,17/08/2025,1.7,1.0, ,13.7,4.4,87,58,3.06,11.61
AIREYS INLET,18/08/2025,2.0,0.0, ,13.2,7.9,78,53,3.79,9.23
AIREYS INLET,19/08/2025,1.6,0.0, ,13.2,5.2,88,53,1.99,13.53
AIREYS INLET,20/08/2025,1.9,0.0, ,16.8,5.2,89,49,2.12,13.82
AIREYS INLET,21/08/2025,1.8,0.0, ,16.6,6.3,93,59,2.11,13.98
AIREYS INLET,22/08/2025,2.2,0.0, ,17.9,9.9,82,56,4.27,6.48
AIREYS INLET,23/08/2025,2.2,0.0, ,15.6,9.7,91,48,3.39,14.20
AIREYS INLET,24/08/2025,1.8,0.0, ,15.0,8.6,86,49,1.77,12.57
AIREYS INLET,25/08/2025,2.3,0.0, ,16.8,6.3,95,37,3.36,9.67
AIREYS INLET,26/08/2025,2.5,1.2, ,16.5,9.1,95,49,7.08,5.19
AIREYS INLET,27/08/2025,2.8,7.2, ,13.3,8.7,89,50,9.23,13.99
AIREYS INLET,28/08/2025,2.1,4.6, ,14.2,7.0,94,60,6.25,13.47
AIREYS INLET,29/08/2025,1.6,1.0, ,11.9,7.1,95,69,7.82,9.11
AIREYS INLET,30/08/2025,2.4,7.2, ,13.7,6.0,93,56,9.15,12.52
AIREYS INLET,31/08/2025,1.8,0.0, ,14.9,7.8,94,68,4.59,10.60
Totals:,,56.3,30, ,,,,,, 
