'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AIREYS INLET Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AIREYS INLET,01/09/2025,1.8,0.6, ,14.4,8.3,94,66,3.99,10.68
AIREYS INLET,02/09/2025,2.6,0.2, ,16.8,8.1,95,48,4.98,12.74
AIREYS INLET,03/09/2025,2.4,1.0, ,16.2,10.1,89,52,4.33,12.15
AIREYS INLET,04/09/2025,1.9,3.8, ,12.8,7.6,92,61,4.75,10.46
AIREYS INLET,05/09/2025,2.3,1.4, ,14.8,5.0,79,43,2.42,15.83
AIREYS INLET,06/09/2025,3.0,0.2, ,21.6,4.1,95,35,2.74,15.79
AIREYS INLET,07/09/2025,3.1,0.0, ,20.5,9.9,96,50,8.35,6.05
AIREYS INLET,08/09/2025,2.9,21.0, ,18.3,11.5,89,54,5.54,14.36
AIREYS INLET,09/09/2025,2.6,0.8, ,15.5,10.1,90,46,3.81,14.16
AIREYS INLET,10/09/2025,2.1,0.0, ,14.4,6.1,95,61,4.89,12.44
AIREYS INLET,11/09/2025,2.4,2.2, ,14.9,8.8,95,58,5.91,13.64
AIREYS INLET,12/09/2025,2.5,0.0, ,16.6,8.0,90,59,4.29,15.05
AIREYS INLET,13/09/2025,1.9,0.0, ,16.9,10.4,95,68,2.58,10.84
AIREYS INLET,14/09/2025,4.4,0.0, ,21.4,8.6,89,37,6.94,18.07
AIREYS INLET,15/09/2025,6.8,0.0, ,24.5,13.4,61,26,9.06,17.09
AIREYS INLET,16/09/2025,3.7,0.2, ,17.6,12.5,85,46,8.93,13.32
AIREYS INLET,17/09/2025,3.5,0.6, ,15.8,7.3,84,37,6.07,17.48
AIREYS INLET,18/09/2025,4.0,0.8, ,20.1,5.8,82,35,4.78,18.24
AIREYS INLET,19/09/2025,4.7,0.0, ,20.0,11.8,88,33,8.52,16.59
AIREYS INLET,20/09/2025,2.7,2.6, ,13.9,5.4,94,50,6.26,15.05
AIREYS INLET,21/09/2025,2.2,0.6, ,15.2,8.5,95,61,6.30,10.12
AIREYS INLET,22/09/2025,2.9,2.2, ,14.0,7.2,86,55,6.73,18.15
AIREYS INLET,23/09/2025,2.3,0.2, ,16.6,7.2,95,61,4.64,12.15
AIREYS INLET,24/09/2025,2.6,0.0, ,17.4,10.5,95,62,4.42,14.99
AIREYS INLET,25/09/2025,2.2,0.4, ,16.4,10.3,95,60,5.21,8.19
AIREYS INLET,26/09/2025,3.4,1.6, ,19.4,10.2,93,53,5.39,18.12
AIREYS INLET,27/09/2025,2.6,3.4, ,15.8,9.4,91,52,5.22,10.22
AIREYS INLET,28/09/2025,2.2,0.8, ,15.2,8.3,93,60,2.58,14.06
AIREYS INLET,29/09/2025,3.1,1.0, ,20.8,6.9,95,42,2.78,15.21
AIREYS INLET,30/09/2025,3.1,7.2, ,19.2,11.2,95,52,4.21,15.82
Totals:,,87.9,52.8, ,,,,,, 
