'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AVALON AIRPORT Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AVALON AIRPORT,01/08/2025,1.2,0.2, ,13.3,1.1,97,64,2.46,10.89
AVALON AIRPORT,02/08/2025,1.0,0.0, ,13.1,2.5,97,71,2.09,10.33
AVALON AIRPORT,03/08/2025,1.2,0.4, ,14.1,0.3,98,62,1.84,11.72
AVALON AIRPORT,04/08/2025,2.6,0.0, ,17.9,2.7,86,48,5.77,8.29
AVALON AIRPORT,05/08/2025,2.8,1.2, ,16.9,7.6,84,46,6.74,11.73
AVALON AIRPORT,06/08/2025,2.0,0.0, ,14.3,8.0,86,52,4.94,9.35
AVALON AIRPORT,07/08/2025,1.6,0.4, ,13.8,2.6,89,53,3.00,8.92
AVALON AIRPORT,08/08/2025,1.3,0.0, ,14.5,4.7,96,66,2.49,10.37
AVALON AIRPORT,09/08/2025,1.2,0.0, ,14.0,2.3,97,58,1.67,11.31
AVALON AIRPORT,10/08/2025,1.2,0.0, ,14.3,0.6,97,66,2.02,10.86
AVALON AIRPORT,11/08/2025,1.9,0.2, ,17.0,1.6,97,39,2.42,12.31
AVALON AIRPORT,12/08/2025, ,0.0, , ,2.2,96,56,2.92,5.59
AVALON AIRPORT,13/08/2025,1.8, , ,15.3,4.2,95,54,3.59,12.58
AVALON AIRPORT,14/08/2025,1.6,0.0, ,15.4,1.9,95,63,2.90,13.04
AVALON AIRPORT,15/08/2025,2.4,0.0, ,15.3,7.3,88,50,6.74,6.43
AVALON AIRPORT,16/08/2025,1.9,0.8, ,12.5,5.7,91,55,5.10,12.62
AVALON AIRPORT,17/08/2025,1.3,1.2, ,11.8,0.9,94,63,2.41,9.10
AVALON AIRPORT,18/08/2025,1.7,0.0, ,12.8,5.3,92,52,3.25,8.90
AVALON AIRPORT,19/08/2025,1.6,0.0, ,13.0,-1.0,94,51,2.12,13.75
AVALON AIRPORT,20/08/2025,2.0,0.0, ,15.8,-1.4,94,41,2.32,14.04
AVALON AIRPORT,21/08/2025,1.9,0.0, ,16.8,0.4,94,47,2.06,14.19
AVALON AIRPORT,22/08/2025,2.8,0.2, ,20.9,5.5,89,45,3.91,11.03
AVALON AIRPORT,23/08/2025,2.4,2.0, ,15.7,6.8,93,45,4.06,13.98
AVALON AIRPORT,24/08/2025,2.0,0.2, ,14.8,2.9,93,48,2.77,14.12
AVALON AIRPORT,25/08/2025,2.1,0.0, ,19.2,0.3,97,44,2.34,11.50
AVALON AIRPORT,26/08/2025,3.1,0.4, ,17.2,6.0,88,43,7.95,5.08
AVALON AIRPORT,27/08/2025,3.2,3.6, ,16.4,9.4,88,49,9.50,11.87
AVALON AIRPORT,28/08/2025,3.4,0.2, ,16.4,8.5,83,46,9.21,13.68
AVALON AIRPORT,29/08/2025,2.4,0.0, ,14.9,6.4,92,56,8.04,8.95
AVALON AIRPORT,30/08/2025,2.4,16.8, ,12.9,5.3,94,53,9.31,11.58
AVALON AIRPORT,31/08/2025,2.5,0.6, ,16.8,6.5,92,53,5.45,12.04
Totals:,,60.5,28.4, ,,,,,, 
