'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AVALON AIRPORT Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AVALON AIRPORT,01/09/2025,2.2,0.6, ,16.3,6.4,89,57,4.37,11.74
AVALON AIRPORT,02/09/2025,2.9,3.2, ,18.0,8.4,92,44,5.27,10.91
AVALON AIRPORT,03/09/2025,3.5,0.8, ,18.3,8.3,89,40,6.51,15.00
AVALON AIRPORT,04/09/2025,2.7,0.0, ,14.1,8.2,86,48,7.04,9.60
AVALON AIRPORT,05/09/2025,2.4,0.8, ,13.9,1.3,93,41,3.45,16.29
AVALON AIRPORT,06/09/2025,4.4,0.0, ,23.4,-1.4,96,25,4.38,16.49
AVALON AIRPORT,07/09/2025,3.8,0.0, ,21.4,8.0,86,50,10.04,8.08
AVALON AIRPORT,08/09/2025,3.2,9.0, ,20.1,8.1,90,43,4.99,12.44
AVALON AIRPORT,09/09/2025,2.8,0.8, ,16.0,10.3,94,45,4.86,14.99
AVALON AIRPORT,10/09/2025,1.8,0.0, ,13.4,4.3,93,70,4.79,12.63
AVALON AIRPORT,11/09/2025,2.3,4.8, ,15.6,8.3,93,58,4.28,12.73
AVALON AIRPORT,12/09/2025,2.6,2.2, ,17.1,6.0,94,58,5.18,15.12
AVALON AIRPORT,13/09/2025,2.3,0.0, ,17.6,9.2,95,59,3.77,12.30
AVALON AIRPORT,14/09/2025,4.4,0.0, ,21.7,8.3,87,37,6.47,18.35
AVALON AIRPORT,15/09/2025,6.6,0.0, ,25.7,10.9,66,25,8.52,13.50
AVALON AIRPORT,16/09/2025,3.7,0.0, ,19.8,13.4,87,42,6.81,11.87
AVALON AIRPORT,17/09/2025,3.6,0.6, ,16.4,8.3,82,40,6.95,15.47
AVALON AIRPORT,18/09/2025,4.3,0.2, ,20.6,2.2,91,34,6.26,18.71
AVALON AIRPORT,19/09/2025,5.8,0.0, ,22.9,12.9,87,24,9.25,15.26
AVALON AIRPORT,20/09/2025,3.3,1.2, ,15.8,5.9,88,46,7.76,15.75
AVALON AIRPORT,21/09/2025,2.8,0.0, ,17.8,9.0,91,54,7.37,8.90
AVALON AIRPORT,22/09/2025,3.3,0.2, ,15.5,4.2,92,40,6.13,17.06
AVALON AIRPORT,23/09/2025,2.7,0.4, ,17.1,6.7,92,55,6.17,12.05
AVALON AIRPORT,24/09/2025,2.4,0.0, ,16.4,11.4,91,66,6.75,11.74
AVALON AIRPORT,25/09/2025,2.9,1.4, ,16.8,10.9,84,59,8.35,9.64
AVALON AIRPORT,26/09/2025,4.7,0.0, ,23.2,10.4,84,32,6.25,12.09
AVALON AIRPORT,27/09/2025,4.0,0.0, ,19.3,8.2,86,37,6.41,14.70
AVALON AIRPORT,28/09/2025,2.6,0.0, ,16.2,7.6,93,49,3.33,14.42
AVALON AIRPORT,29/09/2025,4.7,0.0, ,25.1,3.7,92,28,3.74,19.27
AVALON AIRPORT,30/09/2025,3.4,1.2, ,20.8,12.4,90,42,5.14,10.11
Totals:,,102.1,27.4, ,,,,,, 
