'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BAIRNSDALE AIRPORT Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BAIRNSDALE AIRPORT,01/08/2025,1.2,2.8, ,13.8,1.6,100,63,2.28,11.40
BAIRNSDALE AIRPORT,02/08/2025,1.0,0.0, ,14.2,4.9,100,75,1.81,8.76
BAIRNSDALE AIRPORT,03/08/2025,1.3,0.4, ,16.3,1.6,100,64,2.41,11.78
BAIRNSDALE AIRPORT,04/08/2025,1.7,0.2, ,19.1,1.2,100,52,2.30,11.64
BAIRNSDALE AIRPORT,05/08/2025,2.3,2.8, ,17.8,8.2,98,41,4.20,12.02
BAIRNSDALE AIRPORT,06/08/2025,1.6,0.0, ,13.9,4.0,86,60,4.20,7.81
BAIRNSDALE AIRPORT,07/08/2025,1.6,0.4, ,14.0,5.9,93,53,3.14,9.16
BAIRNSDALE AIRPORT,08/08/2025,1.4,0.0, ,13.9,3.5,98,62,2.92,10.45
BAIRNSDALE AIRPORT,09/08/2025,1.3,0.2, ,15.3,1.2,100,68,2.72,12.52
BAIRNSDALE AIRPORT,10/08/2025,1.5,0.0, ,15.8,0.4,100,59,2.26,12.67
BAIRNSDALE AIRPORT,11/08/2025,1.5,0.0, ,15.5,0.4,100,64,2.68,12.80
BAIRNSDALE AIRPORT,12/08/2025,1.7,0.2, ,17.8,0.2,100,38,1.72,12.53
BAIRNSDALE AIRPORT,13/08/2025,1.7,1.4, ,15.9,6.7,100,61,3.90,11.91
BAIRNSDALE AIRPORT,14/08/2025,1.7,0.2, ,15.8,4.8,99,55,2.74,13.15
BAIRNSDALE AIRPORT,15/08/2025,2.1,0.0, ,15.8,2.8,100,43,4.22,5.90
BAIRNSDALE AIRPORT,16/08/2025,1.5,2.6, ,11.9,2.4,100,62,4.49,12.48
BAIRNSDALE AIRPORT,17/08/2025,1.5,0.0, ,13.1,2.5,94,54,2.56,11.19
BAIRNSDALE AIRPORT,18/08/2025,1.9,0.0, ,13.5,3.5,97,41,3.03,12.70
BAIRNSDALE AIRPORT,19/08/2025,1.6,0.0, ,13.9,-1.5,100,56,2.31,13.79
BAIRNSDALE AIRPORT,20/08/2025,1.7,0.2, ,16.1,-0.5,100,57,2.04,14.05
BAIRNSDALE AIRPORT,21/08/2025,1.8,0.0, ,18.2,2.2,100,65,2.96,14.11
BAIRNSDALE AIRPORT,22/08/2025,1.8,0.2, ,19.4,5.6,98,54,2.22,10.16
BAIRNSDALE AIRPORT,23/08/2025,1.9,0.0, ,17.0,6.8,93,65,4.20,10.31
BAIRNSDALE AIRPORT,24/08/2025,1.6,0.0, ,15.2,4.3,100,64,3.38,10.36
BAIRNSDALE AIRPORT,25/08/2025,1.8,0.0, ,17.8,4.5,100,63,2.44,12.85
BAIRNSDALE AIRPORT,26/08/2025,2.1,0.0, ,19.2,9.7,100,42,3.21,4.98
BAIRNSDALE AIRPORT,27/08/2025,3.0,4.4, ,18.2,10.4,98,43,6.09,13.91
BAIRNSDALE AIRPORT,28/08/2025,3.1,1.6, ,16.5,6.5,77,41,5.99,10.88
BAIRNSDALE AIRPORT,29/08/2025,3.1,0.0, ,17.5,5.0,86,41,5.55,12.00
BAIRNSDALE AIRPORT,30/08/2025,2.6,3.4, ,13.0,4.2,93,46,7.98,12.59
BAIRNSDALE AIRPORT,31/08/2025,2.8,0.0, ,17.7,5.9,95,46,4.69,14.25
Totals:,,57.4,21, ,,,,,, 
