'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BAIRNSDALE AIRPORT Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BAIRNSDALE AIRPORT,01/09/2025,2.5,0.0, ,17.6,5.6,97,49,3.69,14.84
BAIRNSDALE AIRPORT,02/09/2025,2.5,0.0, ,18.0,3.3,99,42,3.27,12.18
BAIRNSDALE AIRPORT,03/09/2025,4.7,0.0, ,20.9,10.1,69,29,6.39,14.78
BAIRNSDALE AIRPORT,04/09/2025,2.9,0.2, ,17.8,6.0,97,41,5.40,11.75
BAIRNSDALE AIRPORT,05/09/2025,2.5,1.0, ,15.2,1.8,93,39,3.38,14.84
BAIRNSDALE AIRPORT,06/09/2025,2.9,0.0, ,21.9,-0.4,100,38,2.36,16.72
BAIRNSDALE AIRPORT,07/09/2025,3.4,0.0, ,23.6,7.4,89,37,4.27,7.44
BAIRNSDALE AIRPORT,08/09/2025,5.2,0.2, ,24.9,15.5,78,16,4.83,16.86
BAIRNSDALE AIRPORT,09/09/2025,2.8,0.0, ,18.4,6.1,96,52,4.54,16.75
BAIRNSDALE AIRPORT,10/09/2025,1.7,0.0, ,13.6,3.0,96,65,3.38,11.07
BAIRNSDALE AIRPORT,11/09/2025,2.4,1.4, ,15.8,6.9,99,58,4.87,15.10
BAIRNSDALE AIRPORT,12/09/2025,2.7,0.0, ,17.7,5.0,88,55,4.92,13.34
BAIRNSDALE AIRPORT,13/09/2025,2.8,0.0, ,19.4,6.8,96,52,3.64,16.40
BAIRNSDALE AIRPORT,14/09/2025,3.7,0.0, ,22.7,4.9,100,33,3.36,18.31
BAIRNSDALE AIRPORT,15/09/2025,5.5,0.0, ,26.3,8.6,76,20,4.71,18.28
BAIRNSDALE AIRPORT,16/09/2025,2.8,0.0, ,18.5,15.4,88,33,4.05,5.42
BAIRNSDALE AIRPORT,17/09/2025,3.8,1.4, ,18.1,5.7,96,31,5.93,17.46
BAIRNSDALE AIRPORT,18/09/2025,3.2,0.0, ,19.9,3.6,96,33,2.71,18.47
BAIRNSDALE AIRPORT,19/09/2025,5.6,0.0, ,25.3,8.9,67,28,6.15,14.22
BAIRNSDALE AIRPORT,20/09/2025,3.6,0.0, ,16.1,6.6,86,37,6.84,15.69
BAIRNSDALE AIRPORT,21/09/2025,3.2,0.2, ,19.6,8.7,94,42,4.98,11.95
BAIRNSDALE AIRPORT,22/09/2025,2.5,1.4, ,14.0,5.8,93,57,6.56,14.69
BAIRNSDALE AIRPORT,23/09/2025,3.1,2.2, ,18.6,6.6,91,53,4.97,16.98
BAIRNSDALE AIRPORT,24/09/2025,3.0,0.0, ,18.2,6.3,93,51,5.96,12.99
BAIRNSDALE AIRPORT,25/09/2025,2.6,0.2, ,19.1,6.4,100,44,3.72,9.60
BAIRNSDALE AIRPORT,26/09/2025,3.3,0.0, ,21.5,8.9,93,38,4.57,8.59
BAIRNSDALE AIRPORT,27/09/2025,3.5,0.0, ,20.7,4.7,100,43,3.38,20.83
BAIRNSDALE AIRPORT,28/09/2025,2.8,0.0, ,17.6,7.3,95,48,3.27,15.44
BAIRNSDALE AIRPORT,29/09/2025,3.4,0.0, ,20.8,3.3,99,35,2.20,21.20
BAIRNSDALE AIRPORT,30/09/2025,4.3,0.0, ,26.1,9.5,97,27,3.95,11.27
Totals:,,98.9,8.2, ,,,,,, 
