'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BALLARAT AERODROME Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BALLARAT AERODROME,01/08/2025,1.3,0.2, ,11.1,-0.1,97,63,4.40,10.33
BALLARAT AERODROME,02/08/2025,1.6,0.0, ,12.8,4.1,94,61,4.69,11.90
BALLARAT AERODROME,03/08/2025,1.9,0.2, ,14.7,-1.3,95,48,3.88,11.99
BALLARAT AERODROME,04/08/2025,2.2,0.2, ,14.5,5.9,93,60,9.81,11.30
BALLARAT AERODROME,05/08/2025,1.7,6.2, ,12.9,5.0,94,63,6.32,11.68
BALLARAT AERODROME,06/08/2025,1.4,0.8, ,10.8,5.4,96,64,4.70,9.25
BALLARAT AERODROME,07/08/2025,1.2,0.4, ,9.4,-0.2,96,60,3.33,9.18
BALLARAT AERODROME,08/08/2025,1.7,0.2, ,12.3,4.4,95,62,6.56,12.54
BALLARAT AERODROME,09/08/2025,1.9,0.0, ,14.9,0.6,97,46,3.18,12.76
BALLARAT AERODROME,10/08/2025,1.6,0.0, ,14.9,0.0,94,52,2.38,12.89
BALLARAT AERODROME,11/08/2025,1.8,0.0, ,14.5,0.7,94,53,3.57,13.02
BALLARAT AERODROME,12/08/2025,1.2,0.2, ,10.2,6.8,97,70,5.61,6.67
BALLARAT AERODROME,13/08/2025,1.5,6.4, ,12.3,2.2,98,57,2.76,12.15
BALLARAT AERODROME,14/08/2025, ,0.0, , ,0.4,97,49,4.37,13.44
BALLARAT AERODROME,15/08/2025, , , ,11.4, ,96,78,7.07,6.80
BALLARAT AERODROME,16/08/2025,1.3,4.4, ,8.6,1.4,95,65,4.10,11.52
BALLARAT AERODROME,17/08/2025,1.0,0.8, ,9.0,0.4,95,79,3.79,8.72
BALLARAT AERODROME,18/08/2025,1.3,1.4, ,9.0,1.8,97,64,4.96,8.18
BALLARAT AERODROME,19/08/2025,2.1,0.0, ,12.7,-1.0,93,46,4.44,14.03
BALLARAT AERODROME,20/08/2025,2.2,0.0, ,15.8,0.5,91,43,3.23,14.33
BALLARAT AERODROME,21/08/2025,2.3,0.2, ,17.4,1.0,85,42,2.74,14.31
BALLARAT AERODROME,22/08/2025,1.8,0.0, ,14.3,7.7,94,67,5.87,10.17
BALLARAT AERODROME,23/08/2025,1.7,0.2, ,13.4,2.8,98,54,2.90,11.18
BALLARAT AERODROME,24/08/2025,2.2,0.2, ,14.1,0.5,96,47,4.14,14.92
BALLARAT AERODROME,25/08/2025,2.4,0.0, ,14.9,1.1,95,51,5.97,11.95
BALLARAT AERODROME,26/08/2025,1.6,1.2, ,10.2,8.3,97,62,8.75,4.50
BALLARAT AERODROME,27/08/2025,1.7,14.0, ,11.7,6.9,96,68,8.60,11.14
BALLARAT AERODROME,28/08/2025,1.7,5.6, ,11.7,5.2,94,67,6.63,11.86
BALLARAT AERODROME,29/08/2025,1.3,2.2, ,9.5,5.4,96,72,8.94,6.47
BALLARAT AERODROME,30/08/2025,1.6,21.8, ,9.5,2.6,95,64,7.01,11.63
BALLARAT AERODROME,31/08/2025,1.8,0.8, ,13.1,4.6,96,64,4.97,11.67
Totals:,,49,67.6, ,,,,,, 
