'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BALLARAT AERODROME Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BALLARAT AERODROME,01/09/2025,1.8,1.0, ,13.1,4.8,96,60,3.27,11.82
BALLARAT AERODROME,02/09/2025,2.2,0.4, ,14.3,5.0,94,55,6.00,10.42
BALLARAT AERODROME,03/09/2025,3.0,0.2, ,14.6,7.8,87,44,7.02,12.94
BALLARAT AERODROME,04/09/2025,1.8,0.4, ,11.0,5.1,95,57,5.25,10.71
BALLARAT AERODROME,05/09/2025,2.3,1.8, ,12.4,-2.0,96,42,3.55,16.82
BALLARAT AERODROME,06/09/2025,3.5,0.2, ,17.7,1.6,86,44,7.51,16.15
BALLARAT AERODROME,07/09/2025,2.4,0.8, ,15.6,10.5,94,61,11.10,6.61
BALLARAT AERODROME,08/09/2025,2.6,7.6, ,16.5,4.7,94,58,6.09,15.21
BALLARAT AERODROME,09/09/2025,2.0,0.4, ,13.6,4.4,96,58,3.71,13.54
BALLARAT AERODROME,10/09/2025,1.6,0.2, ,10.9,3.5,94,71,7.50,10.05
BALLARAT AERODROME,11/09/2025,1.9,1.4, ,12.1,5.1,95,64,4.94,13.80
BALLARAT AERODROME,12/09/2025,1.7,1.2, ,13.4,3.7,97,69,3.61,11.87
BALLARAT AERODROME,13/09/2025,1.6,1.8, ,14.8,6.2,96,70,2.96,9.91
BALLARAT AERODROME,14/09/2025,3.3,0.2, ,17.6,5.1,93,50,7.49,17.61
BALLARAT AERODROME,15/09/2025,5.1,0.2, ,21.2,7.8,78,37,9.91,16.57
BALLARAT AERODROME,16/09/2025,2.7,0.0, ,15.4,9.8,92,56,7.43,12.57
BALLARAT AERODROME,17/09/2025,2.4,5.2, ,12.5,4.3,92,54,5.42,15.05
BALLARAT AERODROME,18/09/2025,3.3,0.0, ,16.6,2.6,92,49,6.71,19.19
BALLARAT AERODROME,19/09/2025,3.7,0.2, ,18.5,8.4,93,47,8.74,17.11
BALLARAT AERODROME,20/09/2025,2.3,1.6, ,12.0,3.8,90,58,6.34,14.10
BALLARAT AERODROME,21/09/2025,1.9,0.0, ,14.3,6.2,94,71,6.74,10.26
BALLARAT AERODROME,22/09/2025,2.3,2.0, ,11.0,4.2,95,56,4.89,17.18
BALLARAT AERODROME,23/09/2025,1.9,2.4, ,13.5,5.7,96,66,4.22,11.21
BALLARAT AERODROME,24/09/2025,2.0,0.4, ,14.3,7.3,95,68,5.40,11.88
BALLARAT AERODROME,25/09/2025,1.9,1.0, ,14.5,5.7,95,68,5.12,9.78
BALLARAT AERODROME,26/09/2025,3.4,0.0, ,19.5,8.4,94,44,6.71,10.40
BALLARAT AERODROME,27/09/2025,2.7,0.6, ,15.0,1.4,97,50,4.69,17.21
BALLARAT AERODROME,28/09/2025,2.8,0.6, ,14.3,5.7,96,44,2.96,19.76
BALLARAT AERODROME,29/09/2025,3.3,0.0, ,18.8,2.7,92,53,5.81,18.24
BALLARAT AERODROME,30/09/2025,3.0,3.0, ,16.6,9.7,94,48,5.17,14.45
Totals:,,76.4,34.8, ,,,,,, 
