'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BALLARAT AERODROME Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BALLARAT AERODROME,01/10/2025,2.8,9.2, ,14.6,4.4,95,54,8.00,15.85
BALLARAT AERODROME,02/10/2025,2.2,5.2, ,12.3,3.5,92,65,8.01,15.19
BALLARAT AERODROME,03/10/2025,2.1,1.6, ,15.6,7.5,96,72,5.00,13.68
BALLARAT AERODROME,04/10/2025,3.7,1.0, ,20.7,2.3,98,48,3.87,22.23
BALLARAT AERODROME,05/10/2025,3.8,0.2, ,22.1,9.6,94,44,6.83,10.33
BALLARAT AERODROME,06/10/2025,2.6,4.8, ,12.7,7.4,93,50,5.07,14.43
BALLARAT AERODROME,07/10/2025,2.4,0.2, ,13.6,1.8,95,60,4.59,16.62
BALLARAT AERODROME,08/10/2025,3.3,0.0, ,18.1,4.0,90,57,6.08,18.43
BALLARAT AERODROME,09/10/2025,3.2,0.0, ,15.9,5.3,85,53,6.79,16.45
BALLARAT AERODROME,10/10/2025,3.8,0.0, ,17.7,6.5,82,52,9.56,16.89
BALLARAT AERODROME,11/10/2025,3.6,0.0, ,17.5,7.2,94,45,6.12,17.84
BALLARAT AERODROME,12/10/2025,2.3,2.2, ,15.4,4.1,96,61,5.07,12.28
BALLARAT AERODROME,13/10/2025,3.0,4.2, ,14.5,0.4,97,50,2.55,23.53
BALLARAT AERODROME,14/10/2025,3.3,0.2, ,16.9,2.8,93,51,3.93,21.59
Totals:,,42.1,28.8, ,,,,,, 
