'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BENDIGO AIRPORT Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BENDIGO AIRPORT,01/08/2025,1.8,0.0, ,14.3,3.4,90,44,3.14,12.06
BENDIGO AIRPORT,02/08/2025, ,0.0, , ,2.9,94,34,3.15,12.19
BENDIGO AIRPORT,03/08/2025, , , , , , , , ,12.30
BENDIGO AIRPORT,04/08/2025, , , , , , , , ,12.16
BENDIGO AIRPORT,05/08/2025, , , , , , , , ,10.77
BENDIGO AIRPORT,06/08/2025, , , , , ,99,55,1.63,11.47
BENDIGO AIRPORT,07/08/2025, , , , , , , , ,12.78
BENDIGO AIRPORT,08/08/2025, , , ,15.6, ,93,49,3.96,12.88
BENDIGO AIRPORT,09/08/2025,1.9,0.0, ,16.5,2.8,92,46,2.78,12.54
BENDIGO AIRPORT,10/08/2025,1.7,0.0, ,16.2,3.1,92,50,2.21,12.98
BENDIGO AIRPORT,11/08/2025,1.8,0.0, ,16.2,1.9,96,50,2.60,13.24
BENDIGO AIRPORT,12/08/2025,0.9,0.0, ,10.8,3.7,99,73,2.43,5.86
BENDIGO AIRPORT,13/08/2025,1.6,6.6, ,15.2,1.9,100,50,2.18,11.95
BENDIGO AIRPORT,14/08/2025,1.6,0.0, ,15.8,0.5,100,39,1.25,13.71
BENDIGO AIRPORT,15/08/2025,1.3,0.0, ,12.8,3.5,96,59,2.70,6.51
BENDIGO AIRPORT,16/08/2025,1.5,1.0, ,12.0,1.2,99,45,2.13,11.60
BENDIGO AIRPORT,17/08/2025,0.8,0.0, ,9.3,-0.1,97,86,2.44,7.02
BENDIGO AIRPORT,18/08/2025,1.9,0.6, ,12.8,2.3,98,50,3.74,13.98
BENDIGO AIRPORT,19/08/2025,2.0,0.0, ,14.6,0.2,92,46,3.05,14.29
BENDIGO AIRPORT,20/08/2025,2.3,0.0, ,17.3,1.1,93,34,2.40,14.59
BENDIGO AIRPORT,21/08/2025,2.4,0.0, ,18.9,3.1,85,42,2.66,14.66
BENDIGO AIRPORT,22/08/2025,1.5,0.0, ,16.4,6.6,98,58,1.58,10.29
BENDIGO AIRPORT,23/08/2025,2.3,0.0, ,17.6,2.4,100,40,2.61,13.94
BENDIGO AIRPORT,24/08/2025,2.3,0.0, ,16.7,0.0,98,32,2.28,15.15
BENDIGO AIRPORT,25/08/2025,2.1,0.0, ,16.4,0.3,96,43,2.52,13.89
BENDIGO AIRPORT,26/08/2025,1.4,5.4, ,11.4,8.5,97,56,4.16,3.56
BENDIGO AIRPORT,27/08/2025,2.2,20.8, ,14.5,8.3,99,54,6.16,11.84
BENDIGO AIRPORT,28/08/2025,2.1,0.4, ,13.9,7.5,92,58,5.87,10.43
BENDIGO AIRPORT,29/08/2025,1.8,2.4, ,11.2,6.6,98,57,6.65,8.32
BENDIGO AIRPORT,30/08/2025,2.3,3.8, ,12.4,5.3,95,49,5.71,13.54
BENDIGO AIRPORT,31/08/2025,1.7,0.0, ,14.9,2.6,98,61,2.48,11.49
Totals:,,43.2,41, ,,,,,, 
