'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BENDIGO AIRPORT Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BENDIGO AIRPORT,01/09/2025,1.7,0.0, ,14.9,0.4,100,53,1.48,12.72
BENDIGO AIRPORT,02/09/2025,2.1,0.0, ,16.1,1.3,99,51,2.91,13.38
BENDIGO AIRPORT,03/09/2025, ,0.0, , ,6.3,85,51,3.62,14.42
BENDIGO AIRPORT,04/09/2025, , , ,15.7, ,91,50,4.16,13.81
BENDIGO AIRPORT,05/09/2025,2.4,0.4, ,14.4,-0.9,94,44,3.09,16.93
BENDIGO AIRPORT,06/09/2025,2.8,0.0, ,18.7,1.8,87,53,4.10,16.15
BENDIGO AIRPORT,07/09/2025,1.5,1.4, ,16.6,10.1,98,65,3.81,4.21
BENDIGO AIRPORT,08/09/2025,2.1,15.2, ,17.1,4.4,100,55,2.65,12.74
BENDIGO AIRPORT,09/09/2025,2.1,0.0, ,16.7,1.6,100,52,1.80,15.60
BENDIGO AIRPORT,10/09/2025,2.0,0.0, ,13.0,3.7,89,60,5.66,10.02
BENDIGO AIRPORT,11/09/2025, ,0.0, , ,7.3,92,44,4.27,14.65
BENDIGO AIRPORT,12/09/2025, , , , , , , , ,12.61
BENDIGO AIRPORT,13/09/2025, , , ,18.1, ,100,56,1.63,15.48
BENDIGO AIRPORT,14/09/2025,2.9,0.0, ,19.5,3.8,100,39,2.68,17.29
BENDIGO AIRPORT,15/09/2025,5.4,0.0, ,24.9,4.8,90,25,5.78,18.73
BENDIGO AIRPORT,16/09/2025,2.3,6.0, ,13.4,11.6,98,37,4.35,7.23
BENDIGO AIRPORT,17/09/2025,2.3,2.2, ,14.0,6.2,98,49,3.01,14.41
BENDIGO AIRPORT,18/09/2025,3.1,0.4, ,18.8,2.0,99,41,3.08,18.67
BENDIGO AIRPORT,19/09/2025,4.0,0.0, ,21.6,5.2,89,35,4.91,15.86
BENDIGO AIRPORT,20/09/2025,2.7,0.6, ,14.7,4.4,99,46,4.27,16.63
BENDIGO AIRPORT,21/09/2025,1.9,0.6, ,15.6,7.9,99,71,4.25,11.21
BENDIGO AIRPORT,22/09/2025,2.7,1.8, ,13.8,6.1,86,48,4.46,15.88
BENDIGO AIRPORT,23/09/2025,2.7,0.8, ,16.7,3.6,98,50,2.83,18.62
BENDIGO AIRPORT,24/09/2025,2.6,0.0, ,17.5,5.2,100,49,2.98,15.06
BENDIGO AIRPORT,25/09/2025,2.1,0.0, ,15.3,5.3,98,59,3.43,11.78
BENDIGO AIRPORT,26/09/2025,4.9,0.0, ,23.8,7.3,91,24,5.34,15.38
BENDIGO AIRPORT,27/09/2025,3.1,0.0, ,17.7,1.2,100,43,2.97,20.56
BENDIGO AIRPORT,28/09/2025,2.7,0.0, ,16.5,3.1,98,38,2.14,16.92
BENDIGO AIRPORT,29/09/2025,4.1,0.0, ,22.2,3.0,91,36,3.60,21.23
BENDIGO AIRPORT,30/09/2025,3.4,0.0, ,19.8,13.2,97,35,4.45,12.44
Totals:,,69.6,29.4, ,,,,,, 
