'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BREAKWATER (GEELONG RACECOURSE) Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BREAKWATER (GEELONG RACECOURSE),01/09/2025,1.7,0.6, ,15.7,6.8,94,65,2.53,11.92
BREAKWATER (GEELONG RACECOURSE),02/09/2025,2.4,4.8, ,17.4,8.6,93,48,3.31,12.72
BREAKWATER (GEELONG RACECOURSE),03/09/2025,2.9,4.8, ,17.5,10.0,92,45,4.87,14.74
BREAKWATER (GEELONG RACECOURSE),04/09/2025,2.4,1.0, ,14.1,8.1,88,51,4.69,12.10
BREAKWATER (GEELONG RACECOURSE),05/09/2025,1.9,0.4, ,14.0,2.6,92,52,1.99,15.45
BREAKWATER (GEELONG RACECOURSE),06/09/2025,2.8,0.0, ,22.0,0.7,97,31,1.97,16.17
BREAKWATER (GEELONG RACECOURSE),07/09/2025,3.3,0.0, ,20.8,8.3,85,48,6.49,8.43
BREAKWATER (GEELONG RACECOURSE),08/09/2025,3.2,0.2, ,19.7,8.7,81,47,4.70,13.51
BREAKWATER (GEELONG RACECOURSE),09/09/2025,2.6,0.2, ,16.2,10.5,93,47,3.65,15.46
BREAKWATER (GEELONG RACECOURSE),10/09/2025,1.8,0.2, ,14.0,4.8,96,68,3.51,13.70
BREAKWATER (GEELONG RACECOURSE),11/09/2025,1.9,3.4, ,14.8,9.0,92,62,3.39,10.67
BREAKWATER (GEELONG RACECOURSE),12/09/2025,2.3,0.4, ,17.0,6.5,92,63,3.78,14.54
BREAKWATER (GEELONG RACECOURSE),13/09/2025,1.8,0.6, ,16.8,9.8,97,67,2.51,11.14
BREAKWATER (GEELONG RACECOURSE),14/09/2025,3.9,0.2, ,21.6,8.2,91,39,4.85,18.30
BREAKWATER (GEELONG RACECOURSE),15/09/2025,5.8,0.0, ,25.4,12.5,67,22,6.31,12.43
BREAKWATER (GEELONG RACECOURSE),16/09/2025, ,0.0, , ,13.8,84,40,5.81,12.34
BREAKWATER (GEELONG RACECOURSE),17/09/2025, , , , , ,80,39,5.09,15.56
BREAKWATER (GEELONG RACECOURSE),18/09/2025, , , ,20.6, ,90,35,4.03,18.55
BREAKWATER (GEELONG RACECOURSE),19/09/2025,4.5,0.0, ,21.6,12.6,90,34,6.74,15.65
BREAKWATER (GEELONG RACECOURSE),20/09/2025,2.6,3.0, ,15.2,6.1,88,55,5.22,14.27
BREAKWATER (GEELONG RACECOURSE),21/09/2025,2.4,0.0, ,16.7,9.5,86,64,5.81,10.35
BREAKWATER (GEELONG RACECOURSE),22/09/2025,3.0,0.6, ,15.5,5.8,88,43,5.01,15.37
BREAKWATER (GEELONG RACECOURSE),23/09/2025,2.3,0.2, ,16.6,7.5,90,60,4.04,12.02
BREAKWATER (GEELONG RACECOURSE),24/09/2025,2.5,0.0, ,17.3,10.9,92,60,4.47,12.71
BREAKWATER (GEELONG RACECOURSE),25/09/2025,2.8,0.0, ,16.9,11.2,81,62,6.31,12.28
BREAKWATER (GEELONG RACECOURSE),26/09/2025,4.1,0.0, ,22.6,11.5,87,38,4.59,15.98
BREAKWATER (GEELONG RACECOURSE),27/09/2025,3.1,3.0, ,18.4,9.1,89,41,4.37,12.43
BREAKWATER (GEELONG RACECOURSE),28/09/2025,2.3,3.4, ,15.7,8.6,94,55,2.26,13.72
BREAKWATER (GEELONG RACECOURSE),29/09/2025,3.3,0.0, ,23.5,4.7,96,35,1.65,18.91
BREAKWATER (GEELONG RACECOURSE),30/09/2025,2.7,2.8, ,20.1,12.5,91,53,3.23,11.31
Totals:,,76.3,29.8, ,,,,,, 
