'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BREAKWATER (GEELONG RACECOURSE) Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BREAKWATER (GEELONG RACECOURSE),01/10/2025,2.4,1.6, ,16.4,8.8,90,59,5.58,9.01
BREAKWATER (GEELONG RACECOURSE),02/10/2025,2.7,5.4, ,15.5,8.0,89,64,7.58,15.75
BREAKWATER (GEELONG RACECOURSE),03/10/2025,3.0,0.6, ,18.7,9.6,88,64,5.09,17.87
BREAKWATER (GEELONG RACECOURSE),04/10/2025,3.6,0.2, ,24.5,6.8,97,38,1.60,21.71
BREAKWATER (GEELONG RACECOURSE),05/10/2025,5.9,0.0, ,28.8,13.1,89,21,5.78,10.09
BREAKWATER (GEELONG RACECOURSE),06/10/2025,3.1,6.2, ,16.7,10.1,88,46,4.23,14.87
BREAKWATER (GEELONG RACECOURSE),07/10/2025,3.5,0.0, ,18.1,8.0,83,46,3.90,19.73
BREAKWATER (GEELONG RACECOURSE),08/10/2025,4.0,0.0, ,21.8,7.0,83,44,4.11,19.63
BREAKWATER (GEELONG RACECOURSE),09/10/2025,4.7,0.0, ,19.9,10.4,88,33,6.39,21.41
BREAKWATER (GEELONG RACECOURSE),10/10/2025,5.7,0.0, ,21.5,11.6,60,37,8.36,17.67
BREAKWATER (GEELONG RACECOURSE),11/10/2025,4.8,0.0, ,21.1,11.7,87,34,5.49,22.05
BREAKWATER (GEELONG RACECOURSE),12/10/2025,3.8,0.0, ,20.2,9.6,89,40,4.65,15.98
BREAKWATER (GEELONG RACECOURSE),13/10/2025,3.3,2.8, ,17.2,4.0,91,35,1.75,23.62
BREAKWATER (GEELONG RACECOURSE),14/10/2025,4.0,0.2, ,20.3,6.8,85,40,3.95,20.50
Totals:,,54.5,17, ,,,,,, 
