'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE NELSON LIGHTHOUSE Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE NELSON LIGHTHOUSE,01/08/2025,1.2,0.2, ,13.9,5.4,95,67,2.72,8.87
CAPE NELSON LIGHTHOUSE,02/08/2025,1.3,0.4, ,14.3,7.3,91,68,3.23,10.63
CAPE NELSON LIGHTHOUSE,03/08/2025,2.3,0.0, ,16.4,6.2,91,45,4.84,10.95
CAPE NELSON LIGHTHOUSE,04/08/2025,2.8,0.0, ,17.0,7.7,90,48,8.11,5.95
CAPE NELSON LIGHTHOUSE,05/08/2025,1.8,4.6, ,14.6,9.1,93,69,8.31,10.61
CAPE NELSON LIGHTHOUSE,06/08/2025,2.0,7.2, ,12.6,9.4,94,48,5.50,10.51
CAPE NELSON LIGHTHOUSE,07/08/2025,1.7,0.0, ,13.3,9.8,79,53,3.02,8.69
CAPE NELSON LIGHTHOUSE,08/08/2025,1.3,0.2, ,14.0,10.2,92,79,4.45,10.13
CAPE NELSON LIGHTHOUSE,09/08/2025,1.6,1.0, ,14.3,10.6,93,72,5.44,12.30
CAPE NELSON LIGHTHOUSE,10/08/2025,2.2,0.0, ,17.5,9.5,94,50,4.05,12.04
CAPE NELSON LIGHTHOUSE,11/08/2025,2.8,0.0, ,19.2,9.5,83,48,5.45,12.31
CAPE NELSON LIGHTHOUSE,12/08/2025,1.8,7.6, ,14.6,10.7,97,61,5.37,9.47
CAPE NELSON LIGHTHOUSE,13/08/2025,1.8,0.4, ,14.0,11.2,86,61,3.21,12.70
CAPE NELSON LIGHTHOUSE,14/08/2025,2.6,0.0, ,17.6,7.7,92,48,5.58,12.49
CAPE NELSON LIGHTHOUSE,15/08/2025,2.6,0.8, ,13.1,10.0,91,47,9.00,10.67
CAPE NELSON LIGHTHOUSE,16/08/2025,2.1,8.0, ,11.8,7.3,81,54,5.66,10.72
CAPE NELSON LIGHTHOUSE,17/08/2025,1.5,0.4, ,13.3,6.6,94,71,4.83,10.82
CAPE NELSON LIGHTHOUSE,18/08/2025,2.2,0.0, ,12.3,8.6,74,52,5.02,8.38
CAPE NELSON LIGHTHOUSE,19/08/2025,1.9,0.4, ,13.5,7.7,90,56,3.59,13.36
CAPE NELSON LIGHTHOUSE,20/08/2025,2.8,0.0, ,18.4,5.4,79,43,4.29,13.87
CAPE NELSON LIGHTHOUSE,21/08/2025,3.1,0.0, ,19.4,8.9,71,44,4.54,12.92
CAPE NELSON LIGHTHOUSE,22/08/2025,2.6,0.0, ,18.3,12.3,91,52,5.93,9.51
CAPE NELSON LIGHTHOUSE,23/08/2025,2.0,1.2, ,15.1,10.9,92,54,3.15,13.22
CAPE NELSON LIGHTHOUSE,24/08/2025,2.4,0.0, ,15.0,6.3,81,54,4.79,14.47
CAPE NELSON LIGHTHOUSE,25/08/2025,2.6,0.0, ,15.9,9.0,81,54,6.45,7.39
CAPE NELSON LIGHTHOUSE,26/08/2025,2.6,4.6, ,15.8,11.3,93,51,7.79,9.36
CAPE NELSON LIGHTHOUSE,27/08/2025,2.3,6.0, ,12.9,9.5,92,60,11.24,11.67
CAPE NELSON LIGHTHOUSE,28/08/2025,2.3,7.8, ,14.1,8.4,89,66,9.45,13.90
CAPE NELSON LIGHTHOUSE,29/08/2025,2.2,14.8, ,12.1,8.1,95,58,11.19,8.99
CAPE NELSON LIGHTHOUSE,30/08/2025,2.8,13.0, ,12.7,7.3,90,48,10.71,13.01
CAPE NELSON LIGHTHOUSE,31/08/2025,2.0,2.4, ,14.3,9.4,89,72,7.82,12.15
Totals:,,67.2,81, ,,,,,, 
