'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE NELSON LIGHTHOUSE Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE NELSON LIGHTHOUSE,01/09/2025,1.9,2.8, ,14.7,10.7,87,75,5.95,12.29
CAPE NELSON LIGHTHOUSE,02/09/2025,2.5,0.2, ,15.9,8.2,93,60,8.27,11.88
CAPE NELSON LIGHTHOUSE,03/09/2025,2.1,11.6, ,14.1,10.2,88,70,9.48,10.98
CAPE NELSON LIGHTHOUSE,04/09/2025,2.4,18.4, ,12.2,8.1,93,52,7.34,14.98
CAPE NELSON LIGHTHOUSE,05/09/2025,2.9,0.2, ,13.2,9.3,71,49,5.38,16.11
CAPE NELSON LIGHTHOUSE,06/09/2025,3.7,0.0, ,20.9,7.8,82,45,6.88,10.42
CAPE NELSON LIGHTHOUSE,07/09/2025,3.7,1.4, ,21.1,10.3,91,48,8.64,10.68
CAPE NELSON LIGHTHOUSE,08/09/2025,2.3,5.0, ,16.0,12.0,92,72,9.46,14.13
CAPE NELSON LIGHTHOUSE,09/09/2025,2.5,4.4, ,13.1,10.7,86,53,4.27,16.45
CAPE NELSON LIGHTHOUSE,10/09/2025,2.0,0.8, ,12.8,9.3,88,73,6.49,14.18
CAPE NELSON LIGHTHOUSE,11/09/2025,2.6,0.2, ,13.9,9.8,83,59,6.44,14.73
CAPE NELSON LIGHTHOUSE,12/09/2025,1.9,0.2, ,14.8,10.6,93,74,7.62,11.39
CAPE NELSON LIGHTHOUSE,13/09/2025,2.3,2.6, ,16.2,11.8,91,70,5.56,14.54
CAPE NELSON LIGHTHOUSE,14/09/2025,5.1,0.2, ,22.2,9.3,77,33,7.44,17.90
CAPE NELSON LIGHTHOUSE,15/09/2025,6.1,0.0, ,24.9,15.4,88,24,8.96,16.00
CAPE NELSON LIGHTHOUSE,16/09/2025,2.7,7.0, ,15.0,11.4,86,67,9.97,14.98
CAPE NELSON LIGHTHOUSE,17/09/2025,3.4,6.2, ,13.9,9.3,76,51,8.85,16.76
CAPE NELSON LIGHTHOUSE,18/09/2025,4.0,0.0, ,19.6,7.2,75,39,5.32,17.65
CAPE NELSON LIGHTHOUSE,19/09/2025,3.4,0.6, ,17.1,10.3,87,57,9.24,17.97
CAPE NELSON LIGHTHOUSE,20/09/2025,3.0,6.2, ,13.9,9.1,87,54,9.91,15.53
CAPE NELSON LIGHTHOUSE,21/09/2025,2.6,1.4, ,14.5,10.5,93,61,9.30,14.58
CAPE NELSON LIGHTHOUSE,22/09/2025,2.9,2.2, ,13.6,9.8,75,60,6.23,15.87
CAPE NELSON LIGHTHOUSE,23/09/2025,2.4,0.6, ,15.0,10.9,90,71,8.78,14.07
CAPE NELSON LIGHTHOUSE,24/09/2025,2.3,0.2, ,15.4,11.3,89,76,8.76,15.20
CAPE NELSON LIGHTHOUSE,25/09/2025,2.2,0.8, ,14.7,11.7,87,76,9.83,11.95
CAPE NELSON LIGHTHOUSE,26/09/2025,2.5,1.2, ,16.7,12.3,92,70,9.21,12.98
CAPE NELSON LIGHTHOUSE,27/09/2025,3.1,0.0, ,15.3,11.0,82,61,9.04,15.94
CAPE NELSON LIGHTHOUSE,28/09/2025,2.9,2.2, ,14.8,10.2,77,56,3.67,17.54
CAPE NELSON LIGHTHOUSE,29/09/2025,2.0,0.0, ,16.6,7.2,96,62,4.60,7.50
CAPE NELSON LIGHTHOUSE,30/09/2025,2.2,25.2, ,15.2,11.5,99,73,5.85,16.09
Totals:,,85.6,101.8, ,,,,,, 
