'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE OTWAY LIGHTHOUSE Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE OTWAY LIGHTHOUSE,01/08/2025,1.3,0.0, ,14.7,7.2,87,60,2.55,7.94
CAPE OTWAY LIGHTHOUSE,02/08/2025,1.3,0.4, ,13.9,8.7,92,72,4.07,8.07
CAPE OTWAY LIGHTHOUSE,03/08/2025,1.6,0.6, ,15.0,5.5,92,54,2.95,11.21
CAPE OTWAY LIGHTHOUSE,04/08/2025,2.6,0.2, ,17.0,10.0,88,44,6.07,7.52
CAPE OTWAY LIGHTHOUSE,05/08/2025,2.0,1.6, ,14.1,9.9,86,63,7.59,10.73
CAPE OTWAY LIGHTHOUSE,06/08/2025,2.1,2.8, ,12.4,10.3,92,54,8.16,8.26
CAPE OTWAY LIGHTHOUSE,07/08/2025,1.8,0.2, ,13.0,8.6,89,55,4.91,8.47
CAPE OTWAY LIGHTHOUSE,08/08/2025,1.2,0.8, ,13.9,7.1,95,74,3.17,9.46
CAPE OTWAY LIGHTHOUSE,09/08/2025,1.5,0.2, ,12.9,10.2,91,72,5.59,12.11
CAPE OTWAY LIGHTHOUSE,10/08/2025,1.6,0.2, ,14.0,9.0,94,69,4.75,12.24
CAPE OTWAY LIGHTHOUSE,11/08/2025,2.0,0.0, ,15.2,9.7,88,64,5.95,12.38
CAPE OTWAY LIGHTHOUSE,12/08/2025,1.7,0.6, ,13.0,10.0,92,58,5.24,4.82
CAPE OTWAY LIGHTHOUSE,13/08/2025,1.9,4.4, ,13.8,10.7,88,61,4.86,12.40
CAPE OTWAY LIGHTHOUSE,14/08/2025,2.4,0.2, ,17.7,8.2,90,47,4.06,12.78
CAPE OTWAY LIGHTHOUSE,15/08/2025,2.8,0.0, ,15.1,12.4,91,45,9.49,6.43
CAPE OTWAY LIGHTHOUSE,16/08/2025,1.7,22.2, ,10.9,5.7,93,63,7.44,8.99
CAPE OTWAY LIGHTHOUSE,17/08/2025,1.9,0.4, ,12.7,6.3,81,59,4.56,12.61
CAPE OTWAY LIGHTHOUSE,18/08/2025,1.8,0.0, ,13.2,9.3,79,53,3.06,8.60
CAPE OTWAY LIGHTHOUSE,19/08/2025,1.9,0.0, ,12.6,7.1,85,58,4.36,13.20
CAPE OTWAY LIGHTHOUSE,20/08/2025,2.0,0.0, ,14.5,4.0,79,61,4.25,13.69
CAPE OTWAY LIGHTHOUSE,21/08/2025,3.1,0.0, ,19.6,8.1,88,36,4.55,13.72
CAPE OTWAY LIGHTHOUSE,22/08/2025,2.3,0.0, ,17.5,11.7,87,52,4.77,6.47
CAPE OTWAY LIGHTHOUSE,23/08/2025,2.2,2.8, ,14.2,10.6,94,52,4.92,13.39
CAPE OTWAY LIGHTHOUSE,24/08/2025,2.1,0.0, ,13.9,9.6,85,56,3.96,13.58
CAPE OTWAY LIGHTHOUSE,25/08/2025,2.6,0.0, ,16.0,9.1,85,42,5.07,8.30
CAPE OTWAY LIGHTHOUSE,26/08/2025,2.6,0.8, ,14.3,11.4,90,48,8.10,7.89
CAPE OTWAY LIGHTHOUSE,27/08/2025,2.2,6.8, ,12.5,9.9,91,62,10.84,9.34
CAPE OTWAY LIGHTHOUSE,28/08/2025,1.9,31.6, ,13.1,5.9,92,69,8.67,12.62
CAPE OTWAY LIGHTHOUSE,29/08/2025,1.9,8.2, ,12.7,8.2,93,68,9.83,11.12
CAPE OTWAY LIGHTHOUSE,30/08/2025,2.5,12.4, ,12.7,7.0,90,55,11.83,10.40
CAPE OTWAY LIGHTHOUSE,31/08/2025,2.0,1.2, ,14.1,7.9,89,71,9.14,11.15
Totals:,,62.5,98.6, ,,,,,, 
