'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE OTWAY LIGHTHOUSE Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE OTWAY LIGHTHOUSE,01/09/2025,1.6,3.4, ,13.3,9.3,93,77,5.61,12.00
CAPE OTWAY LIGHTHOUSE,02/09/2025,2.8,1.0, ,16.8,9.3,92,52,6.68,13.96
CAPE OTWAY LIGHTHOUSE,03/09/2025,1.9,3.4, ,12.8,10.4,91,69,8.83,10.23
CAPE OTWAY LIGHTHOUSE,04/09/2025,2.4,23.8, ,11.9,7.7,91,56,9.42,12.96
CAPE OTWAY LIGHTHOUSE,05/09/2025,2.7,0.4, ,13.5,7.5,76,49,4.55,15.64
CAPE OTWAY LIGHTHOUSE,06/09/2025,3.5,0.0, ,21.5,6.9,90,43,4.99,15.33
CAPE OTWAY LIGHTHOUSE,07/09/2025,3.9,1.2, ,20.5,11.5,86,43,8.63,9.65
CAPE OTWAY LIGHTHOUSE,08/09/2025,2.6,4.8, ,15.7,12.6,93,61,9.45,12.66
CAPE OTWAY LIGHTHOUSE,09/09/2025,2.7,4.0, ,12.9,10.7,91,51,8.05,15.17
CAPE OTWAY LIGHTHOUSE,10/09/2025,1.7,3.8, ,12.2,7.7,94,69,3.72,11.27
CAPE OTWAY LIGHTHOUSE,11/09/2025,2.3,1.2, ,13.6,9.0,85,63,7.70,10.95
CAPE OTWAY LIGHTHOUSE,12/09/2025,1.9,0.2, ,14.0,9.5,94,70,8.28,10.76
CAPE OTWAY LIGHTHOUSE,13/09/2025,2.0,0.8, ,15.9,11.8,91,75,5.57,11.69
CAPE OTWAY LIGHTHOUSE,14/09/2025,4.1,0.2, ,21.1,7.9,92,40,6.61,17.99
CAPE OTWAY LIGHTHOUSE,15/09/2025,5.6,0.0, ,24.3,15.5,89,29,8.78,15.81
CAPE OTWAY LIGHTHOUSE,16/09/2025,2.7,0.6, ,15.2,12.5,89,59,8.71,11.02
CAPE OTWAY LIGHTHOUSE,17/09/2025,2.9,17.0, ,13.1,7.3,89,52,10.05,14.98
CAPE OTWAY LIGHTHOUSE,18/09/2025,3.8,0.2, ,19.4,7.3,77,42,5.00,17.83
CAPE OTWAY LIGHTHOUSE,19/09/2025,3.9,0.2, ,17.0,12.3,88,38,8.65,15.00
CAPE OTWAY LIGHTHOUSE,20/09/2025,2.6,4.6, ,12.7,7.6,94,57,11.08,14.35
CAPE OTWAY LIGHTHOUSE,21/09/2025,2.3,11.2, ,13.4,9.7,95,64,10.47,11.89
CAPE OTWAY LIGHTHOUSE,22/09/2025,2.8,6.2, ,13.0,8.1,84,62,10.21,16.95
CAPE OTWAY LIGHTHOUSE,23/09/2025,2.1,1.0, ,13.7,8.3,94,69,9.76,11.79
CAPE OTWAY LIGHTHOUSE,24/09/2025,2.1,1.6, ,14.2,11.2,94,75,9.71,13.73
CAPE OTWAY LIGHTHOUSE,25/09/2025,1.5,5.8, ,13.1,11.1,94,81,9.94,7.81
CAPE OTWAY LIGHTHOUSE,26/09/2025,2.5,4.8, ,16.9,11.3,89,66,9.20,9.09
CAPE OTWAY LIGHTHOUSE,27/09/2025,2.6,0.2, ,13.9,10.6,87,64,8.81,14.07
CAPE OTWAY LIGHTHOUSE,28/09/2025,2.9,1.4, ,15.6,9.1,81,61,4.91,17.15
CAPE OTWAY LIGHTHOUSE,29/09/2025,3.0,0.0, ,19.4,8.5,94,51,4.35,13.91
CAPE OTWAY LIGHTHOUSE,30/09/2025,2.2,7.8, ,15.0,12.0,95,68,6.23,12.58
Totals:,,81.6,110.8, ,,,,,, 
