'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE OTWAY LIGHTHOUSE Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE OTWAY LIGHTHOUSE,01/10/2025,2.2,3.4, ,14.2,8.4,92,71,8.93,14.40
CAPE OTWAY LIGHTHOUSE,02/10/2025,2.0,13.2, ,13.3,7.0,93,71,10.72,11.81
CAPE OTWAY LIGHTHOUSE,03/10/2025,2.0,6.6, ,14.6,8.1,95,79,9.45,15.96
CAPE OTWAY LIGHTHOUSE,04/10/2025,4.1,0.8, ,24.0,9.4,95,51,4.29,21.29
CAPE OTWAY LIGHTHOUSE,05/10/2025,5.1,0.0, ,22.9,13.4,94,27,9.73,6.33
CAPE OTWAY LIGHTHOUSE,06/10/2025,3.0,12.8, ,13.3,10.6,84,60,9.46,17.45
CAPE OTWAY LIGHTHOUSE,07/10/2025,2.7,0.6, ,13.9,8.9,86,58,7.60,12.22
CAPE OTWAY LIGHTHOUSE,08/10/2025,2.9,0.0, ,16.7,11.0,94,59,7.63,14.46
CAPE OTWAY LIGHTHOUSE,09/10/2025,3.2,3.4, ,15.1,10.1,89,59,8.75,18.95
CAPE OTWAY LIGHTHOUSE,10/10/2025,3.3,2.2, ,15.8,8.8,88,58,12.15,17.65
CAPE OTWAY LIGHTHOUSE,11/10/2025,1.9,4.0, ,13.8,10.5,96,77,8.87,12.90
CAPE OTWAY LIGHTHOUSE,12/10/2025,3.0,17.8, ,15.7,10.1,94,58,8.97,16.03
CAPE OTWAY LIGHTHOUSE,13/10/2025,3.1,6.4, ,13.5,8.5,71,51,5.29,14.32
CAPE OTWAY LIGHTHOUSE,14/10/2025,3.1,0.0, ,15.0,9.6,89,65,8.58,21.29
Totals:,,41.6,71.2, ,,,,,, 
