'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CASTERTON Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CASTERTON,01/08/2025,1.0,0.0, ,13.1,-1.0,98,57,1.08,10.72
CASTERTON,02/08/2025,1.1,0.2, ,14.3,-0.2,98,57,1.15,11.75
CASTERTON,03/08/2025,1.9,0.0, ,14.9,-0.3,99,48,4.10,11.82
CASTERTON,04/08/2025,2.6,0.2, ,16.6,4.6,91,51,7.52,9.37
CASTERTON,05/08/2025,2.1,7.8, ,15.1,7.7,94,53,5.70,11.22
CASTERTON,06/08/2025,1.6,3.0, ,12.6,6.1,96,50,3.17,10.83
CASTERTON,07/08/2025,1.1,0.0, ,11.2,3.0,96,56,1.68,7.69
CASTERTON,08/08/2025,1.3,0.0, ,13.5,3.9,98,66,3.39,10.21
CASTERTON,09/08/2025,1.7,0.2, ,16.3,4.2,95,54,2.48,12.65
CASTERTON,10/08/2025,1.7,0.0, ,16.9,5.9,94,55,2.69,11.44
CASTERTON,11/08/2025,2.4,0.0, ,17.2,8.3,77,56,4.82,12.23
CASTERTON,12/08/2025,1.7,4.0, ,15.4,9.9,95,63,4.09,10.75
CASTERTON,13/08/2025,1.6,0.0, ,15.0,4.1,98,54,2.21,13.12
CASTERTON,14/08/2025,2.1,0.0, ,16.3,0.6,98,47,3.87,12.70
CASTERTON,15/08/2025,2.3,1.8, ,13.5,6.2,94,50,7.03,10.67
CASTERTON,16/08/2025,1.5,3.6, ,11.1,1.7,95,61,3.77,11.83
CASTERTON,17/08/2025,1.2,1.6, ,11.6,5.4,97,71,2.63,8.74
CASTERTON,18/08/2025,1.4,2.0, ,11.6,3.5,97,58,2.83,9.50
CASTERTON,19/08/2025,1.4,0.0, ,12.7,1.5,96,57,1.64,13.77
CASTERTON,20/08/2025,2.1,0.0, ,16.8,0.5,94,52,3.02,14.20
CASTERTON,21/08/2025,2.6,0.2, ,17.8,6.8,76,52,4.13,13.92
CASTERTON,22/08/2025,2.4,0.0, ,18.0,11.9,98,44,4.31,9.34
CASTERTON,23/08/2025,1.9,0.8, ,15.3,6.1,98,50,2.50,13.54
CASTERTON,24/08/2025,1.8,0.2, ,15.5,2.4,96,53,2.11,14.85
CASTERTON,25/08/2025,2.3,0.0, ,15.9,5.6,84,54,5.16,7.80
CASTERTON,26/08/2025,2.5,5.0, ,16.8,10.4,93,52,6.08,9.90
CASTERTON,27/08/2025,2.2,8.6, ,13.3,8.1,95,58,8.02,11.36
CASTERTON,28/08/2025,2.0,20.8, ,14.1,6.8,95,62,6.31,11.70
CASTERTON,29/08/2025,1.5,4.2, ,9.7,7.9,94,69,7.99,7.95
CASTERTON,30/08/2025,1.7,16.8, ,12.2,2.2,95,64,5.72,11.14
CASTERTON,31/08/2025,1.9,1.2, ,14.8,7.3,97,68,4.85,12.80
Totals:,,56.6,82.2, ,,,,,, 
