'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CASTERTON Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CASTERTON,01/09/2025,1.8,1.0, ,15.3,6.1,97,65,3.02,12.23
CASTERTON,02/09/2025,2.2,2.4, ,15.1,4.0,98,57,5.81,11.65
CASTERTON,03/09/2025,2.6,0.0, ,16.1,8.5,95,52,6.20,12.73
CASTERTON,04/09/2025,2.1,6.4, ,13.2,7.2,96,52,4.29,13.13
CASTERTON,05/09/2025,2.0,0.2, ,13.6,-1.0,98,53,2.55,16.68
CASTERTON,06/09/2025,3.4,0.0, ,19.3,5.1,78,49,7.12,10.43
CASTERTON,07/09/2025,3.5,4.6, ,20.6,12.5,94,48,7.94,10.48
CASTERTON,08/09/2025,2.6,10.4, ,16.9,11.3,96,57,6.35,13.30
CASTERTON,09/09/2025,2.2,1.6, ,15.5,7.9,97,57,3.04,14.29
CASTERTON,10/09/2025,1.5,0.0, ,12.6,1.7,98,76,3.12,13.18
CASTERTON,11/09/2025,1.9,0.8, ,13.7,4.6,98,61,3.70,13.29
CASTERTON,12/09/2025,2.3,0.2, ,16.3,4.9,98,61,4.12,14.87
CASTERTON,13/09/2025,2.3,1.6, ,16.6,9.3,98,56,3.19,14.43
CASTERTON,14/09/2025,4.1,0.0, ,20.6,5.2,95,37,6.10,18.47
CASTERTON,15/09/2025,4.9,0.0, ,23.3,13.0,89,33,7.08,15.90
CASTERTON,16/09/2025,2.6,2.0, ,14.7,10.3,92,55,6.82,13.18
CASTERTON,17/09/2025,2.4,6.4, ,14.2,4.2,92,50,3.91,14.51
CASTERTON,18/09/2025,3.6,0.2, ,19.9,2.6,95,40,4.57,18.13
CASTERTON,19/09/2025,2.9,0.4, ,16.9,7.9,96,54,6.28,15.02
CASTERTON,20/09/2025,2.3,10.4, ,13.8,4.6,95,60,5.72,14.08
CASTERTON,21/09/2025,2.3,2.4, ,15.5,9.3,96,68,6.79,14.94
CASTERTON,22/09/2025,2.5,2.0, ,14.2,5.3,94,57,4.58,17.26
CASTERTON,23/09/2025,1.9,0.6, ,14.7,7.9,95,72,4.76,11.62
CASTERTON,24/09/2025,2.3,1.2, ,15.9,9.9,95,68,5.34,13.51
CASTERTON,25/09/2025,1.9,0.4, ,14.1,10.1,94,71,5.55,10.46
CASTERTON,26/09/2025,2.3,0.2, ,17.0,10.0,89,67,6.04,9.75
CASTERTON,27/09/2025,2.4,0.2, ,14.3,9.0,97,61,5.51,15.07
CASTERTON,28/09/2025,2.3,3.0, ,15.4,6.8,98,53,2.09,14.52
CASTERTON,29/09/2025,2.5,0.0, ,19.0,6.1,96,50,3.38,10.05
CASTERTON,30/09/2025,2.4,18.6, ,15.9,11.3,97,66,5.03,14.17
Totals:,,76,77.2, ,,,,,, 
