'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CERBERUS Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CERBERUS,01/08/2025,1.0,0.0, ,13.9,0.3,92,66,1.55,10.79
CERBERUS,02/08/2025,1.2,0.0, ,16.2,4.1,92,59,1.70,10.39
CERBERUS,03/08/2025,1.1,0.0, ,16.9,1.0,93,56,0.90,11.54
CERBERUS,04/08/2025,1.9,0.4, ,19.0,5.1,91,46,2.78,10.24
CERBERUS,05/08/2025,2.1,2.2, ,16.2,7.0,83,53,4.30,10.39
CERBERUS,06/08/2025,1.7,0.4, ,14.1,9.5,86,54,3.46,9.88
CERBERUS,07/08/2025,1.1,0.4, ,13.4,8.1,89,61,1.30,7.34
CERBERUS,08/08/2025,1.0,0.4, ,14.1,3.1,92,68,1.28,8.81
CERBERUS,09/08/2025,1.2,0.2, ,15.6,1.7,93,60,1.02,12.20
CERBERUS,10/08/2025,1.2,0.0, ,16.0,1.4,93,58,1.08,12.04
CERBERUS,11/08/2025,1.6,0.2, ,17.2,1.9,91,44,1.72,12.61
CERBERUS,12/08/2025,1.6,0.0, ,16.2,5.4,91,48,2.16,8.82
CERBERUS,13/08/2025,1.3,3.6, ,14.5,4.9,92,61,1.80,10.90
CERBERUS,14/08/2025,1.5,0.4, ,16.2,2.9,93,51,1.62,13.03
CERBERUS,15/08/2025,2.0,0.0, ,15.2,8.6,87,50,4.13,6.65
CERBERUS,16/08/2025,1.4,4.8, ,11.9,5.2,89,67,3.12,10.52
CERBERUS,17/08/2025,1.3,5.2, ,14.5,2.2,90,49,1.15,11.15
CERBERUS,18/08/2025,1.3,0.0, ,12.6,1.0,90,51,1.62,8.81
CERBERUS,19/08/2025,1.4,0.0, ,14.6,-2.3,91,43,1.10,13.63
CERBERUS,20/08/2025,1.7,0.2, ,16.8,-0.5,92,32,1.18,13.91
CERBERUS,21/08/2025,1.7,0.0, ,18.7,0.4,92,42,1.17,14.07
CERBERUS,22/08/2025,1.6,0.0, ,18.1,7.9,91,55,1.85,8.64
CERBERUS,23/08/2025,1.9,0.2, ,15.3,10.3,87,51,2.20,12.93
CERBERUS,24/08/2025,1.7,0.0, ,14.9,2.9,92,54,1.74,14.03
CERBERUS,25/08/2025,1.8,0.0, ,18.4,1.1,92,32,1.26,10.78
CERBERUS,26/08/2025,2.6,2.2, ,17.6,9.6,88,37,4.42,4.69
CERBERUS,27/08/2025,2.5,12.2, ,14.9,9.6,89,52,6.65,9.65
CERBERUS,28/08/2025,2.5,1.0, ,14.8,8.7,81,58,5.99,13.60
CERBERUS,29/08/2025,2.2,1.2, ,14.7,9.3,83,60,5.61,9.43
CERBERUS,30/08/2025,2.5,7.0, ,13.2,6.2,88,53,7.54,12.90
CERBERUS,31/08/2025,2.0,0.0, ,15.5,9.1,86,64,3.94,12.12
Totals:,,51.6,42.2, ,,,,,, 
