'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CERBERUS Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CERBERUS,01/09/2025,2.1,0.8, ,15.8,8.9,87,60,3.28,12.79
CERBERUS,02/09/2025,2.4,0.4, ,16.8,9.0,89,43,3.10,12.18
CERBERUS,03/09/2025,2.9,4.4, ,17.0,10.0,87,43,4.58,13.68
CERBERUS,04/09/2025,2.2,1.0, ,14.5,8.8,87,58,4.86,11.19
CERBERUS,05/09/2025,2.0,3.6, ,13.8,2.2,92,44,1.64,16.35
CERBERUS,06/09/2025,3.0,0.0, ,21.4,5.4,85,29,2.25,16.24
CERBERUS,07/09/2025,3.4,0.0, ,21.1,9.5,82,44,5.32,8.98
CERBERUS,08/09/2025,2.7,9.2, ,19.1,10.1,86,52,3.53,14.42
CERBERUS,09/09/2025,2.5,2.6, ,15.1,10.4,88,52,3.74,15.10
CERBERUS,10/09/2025,1.9,0.4, ,14.0,4.4,92,59,2.31,13.79
CERBERUS,11/09/2025,2.4,2.0, ,14.8,8.6,83,56,3.69,14.17
CERBERUS,12/09/2025,2.5,0.0, ,17.4,7.9,87,56,3.07,15.31
CERBERUS,13/09/2025,2.0,0.0, ,17.0,10.1,89,64,1.77,12.57
CERBERUS,14/09/2025,3.5,0.0, ,21.1,4.5,92,36,3.55,18.13
CERBERUS,15/09/2025, ,0.2, , ,14.0,100,23,6.11,16.71
CERBERUS,16/09/2025,2.9,0.6, ,18.9,13.2,84,39,3.94,7.99
CERBERUS,17/09/2025,3.0,2.6, ,15.6,9.9,86,44,4.94,14.33
CERBERUS,18/09/2025,3.3,0.0, ,19.7,3.4,89,36,3.05,18.05
CERBERUS,19/09/2025,4.3,0.0, ,21.0,12.8,85,31,5.63,15.13
CERBERUS,20/09/2025,2.6,7.2, ,13.8,6.2,83,55,5.31,14.84
CERBERUS,21/09/2025,2.0,0.4, ,15.0,8.8,85,66,4.82,8.32
CERBERUS,22/09/2025,2.7,10.2, ,13.4,6.6,86,52,4.97,16.09
CERBERUS,23/09/2025,2.3,3.2, ,15.6,8.4,85,61,3.68,12.56
CERBERUS,24/09/2025,2.6,0.2, ,15.8,11.0,87,63,4.52,15.59
CERBERUS,25/09/2025,2.3,1.2, ,15.3,11.5,79,65,5.13,8.56
CERBERUS,26/09/2025,3.7,0.6, ,20.9,12.4,78,36,4.30,11.28
CERBERUS,27/09/2025,3.5,0.8, ,17.7,10.4,82,40,4.45,16.49
CERBERUS,28/09/2025,2.3,0.2, ,14.8,8.3,88,55,2.08,14.79
CERBERUS,29/09/2025,3.4,0.2, ,22.6,3.0,91,33,1.80,19.94
CERBERUS,30/09/2025,1.6,2.6, ,18.4,11.8,87,62,1.88,5.25
Totals:,,78,54.6, ,,,,,, 
