'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CERBERUS Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CERBERUS,01/10/2025,2.6,7.8, ,17.1,8.9,90,55,4.50,11.12
CERBERUS,02/10/2025,2.5,7.0, ,14.2,8.9,86,61,6.91,10.89
CERBERUS,03/10/2025,2.6,3.4, ,17.2,10.4,89,67,5.01,15.10
CERBERUS,04/10/2025,3.5,0.2, ,23.0,5.8,92,42,1.64,21.37
CERBERUS,05/10/2025,4.5,0.2, ,25.1,11.3,86,29,5.03,9.19
CERBERUS,06/10/2025,3.0,8.0, ,15.2,10.5,87,47,3.98,16.59
CERBERUS,07/10/2025,3.7,0.0, ,17.8,6.1,85,42,3.60,22.63
CERBERUS,08/10/2025,3.8,0.0, ,21.3,7.1,86,45,3.46,20.33
CERBERUS,09/10/2025,3.4,0.0, ,18.3,10.1,90,47,4.86,16.64
CERBERUS,10/10/2025,5.3,0.4, ,20.7,11.9,55,39,7.00,17.50
CERBERUS,11/10/2025,4.5,0.0, ,20.6,12.6,87,35,4.94,21.00
CERBERUS,12/10/2025,3.6,1.4, ,19.0,10.5,87,45,4.71,16.91
CERBERUS,13/10/2025,2.8,11.6, ,14.9,5.0,88,46,1.91,18.94
CERBERUS,14/10/2025,3.4,0.0, ,18.6,4.5,89,50,3.36,21.38
Totals:,,49.2,40, ,,,,,, 
