'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CHARLTON Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CHARLTON,01/08/2025,1.2,0.2, ,13.9,1.7,100,55,1.36,12.31
CHARLTON,02/08/2025,1.1,0.0, ,15.5,0.8,100,57,0.96,12.42
CHARLTON,03/08/2025,1.3,0.0, ,16.9,-0.5,100,46,1.14,12.54
CHARLTON,04/08/2025,1.8,0.0, ,16.8,4.8,100,58,4.26,11.35
CHARLTON,05/08/2025,1.7,3.8, ,15.6,5.8,99,50,2.83,12.14
CHARLTON,06/08/2025,1.6,0.2, ,15.2,6.0,99,49,2.17,12.40
CHARLTON,07/08/2025,1.3,0.0, ,13.1,0.3,100,54,1.84,12.96
CHARLTON,08/08/2025,1.6,0.0, ,15.6,0.3,100,52,2.10,13.13
CHARLTON,09/08/2025,1.6,0.0, ,16.4,3.1,100,54,2.17,13.28
CHARLTON,10/08/2025,1.6,0.2, ,16.8,5.1,99,54,1.78,13.15
CHARLTON,11/08/2025,1.7,0.0, ,17.0,2.5,100,54,2.03,13.54
CHARLTON,12/08/2025,1.1,0.0, ,11.6,9.4,100,67,2.36,6.14
CHARLTON,13/08/2025,1.3,3.0, ,15.6,1.9,100,63,1.11,13.20
CHARLTON,14/08/2025,1.6,0.0, ,16.0,0.8,100,46,1.47,13.96
CHARLTON,15/08/2025,1.4,0.0, ,14.7,7.0,99,69,3.50,8.26
CHARLTON,16/08/2025,1.8,1.4, ,13.1,4.2,100,49,2.91,14.04
CHARLTON,17/08/2025,0.9,2.0, ,11.0,4.6,100,79,2.13,7.03
CHARLTON,18/08/2025,1.7,4.8, ,13.4,3.2,100,53,2.65,14.53
CHARLTON,19/08/2025,1.4,0.0, ,13.6,-1.4,100,54,0.86,14.52
CHARLTON,20/08/2025,1.8,0.0, ,16.9,0.3,100,40,1.28,14.83
CHARLTON,21/08/2025,1.9,0.0, ,18.6,2.0,100,47,1.59,14.65
CHARLTON,22/08/2025,1.4,0.0, ,15.9,8.5,100,68,1.99,8.88
CHARLTON,23/08/2025,1.7,0.0, ,17.2,3.6,100,54,1.05,14.31
CHARLTON,24/08/2025,1.7,0.0, ,16.7,0.1,100,44,1.09,15.43
CHARLTON,25/08/2025,1.6,0.0, ,15.1,0.6,100,54,1.92,11.97
CHARLTON,26/08/2025,1.3,5.0, ,12.3,8.4,100,64,4.07,3.93
CHARLTON,27/08/2025,1.9,11.0, ,14.6,7.6,100,58,4.55,10.81
CHARLTON,28/08/2025,1.9,1.2, ,15.2,6.8,100,66,4.57,13.49
CHARLTON,29/08/2025,1.8,3.4, ,12.6,6.8,100,62,6.36,10.81
CHARLTON,30/08/2025,1.8,3.4, ,12.6,4.0,99,57,3.50,13.86
CHARLTON,31/08/2025,1.5,0.0, ,14.6,4.8,100,70,2.48,10.68
Totals:,,48,39.6, ,,,,,, 
