'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CHARLTON Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CHARLTON,01/09/2025,1.8,0.0, ,15.6,4.8,100,54,1.40,14.64
CHARLTON,02/09/2025,2.2,0.2, ,17.6,2.1,100,46,2.32,14.08
CHARLTON,03/09/2025,2.2,0.0, ,17.7,5.8,99,59,3.05,14.61
CHARLTON,04/09/2025,2.1,0.0, ,16.1,5.1,100,58,2.68,14.66
CHARLTON,05/09/2025,1.9,0.0, ,13.7,-1.6,100,50,1.80,16.82
CHARLTON,06/09/2025,2.4,0.0, ,18.1,4.0,87,60,3.81,13.77
CHARLTON,07/09/2025,2.6,1.6, ,22.1,10.9,97,60,4.44,11.55
CHARLTON,08/09/2025,2.5,10.4, ,19.3,7.1,99,52,2.74,15.62
CHARLTON,09/09/2025,2.2,0.0, ,17.8,4.7,100,58,1.37,17.14
CHARLTON,10/09/2025,1.8,0.2, ,13.4,7.2,89,66,3.31,10.63
CHARLTON,11/09/2025,2.5,0.0, ,16.8,5.3,100,52,2.87,16.90
CHARLTON,12/09/2025,2.1,0.0, ,16.8,2.6,100,59,1.81,15.41
CHARLTON,13/09/2025,2.1,0.0, ,18.7,2.4,100,54,0.85,16.74
CHARLTON,14/09/2025,3.1,0.0, ,20.6,2.2,100,39,2.58,19.03
CHARLTON,15/09/2025,5.0,0.0, ,26.1,6.8,82,23,4.28,16.54
CHARLTON,16/09/2025,1.9,7.8, ,15.5,11.5,100,61,3.27,9.22
CHARLTON,17/09/2025,2.3,1.0, ,15.6,4.6,100,53,2.43,15.32
CHARLTON,18/09/2025,3.2,0.2, ,20.1,2.6,100,40,2.73,19.73
CHARLTON,19/09/2025,4.1,0.2, ,22.9,9.6,99,34,4.30,18.98
CHARLTON,20/09/2025,2.5,1.6, ,15.4,4.2,99,51,3.54,16.59
CHARLTON,21/09/2025,2.2,0.6, ,17.6,8.4,100,67,3.95,13.75
CHARLTON,22/09/2025,2.6,0.2, ,16.3,3.7,99,46,2.32,18.25
CHARLTON,23/09/2025,2.0,0.0, ,15.4,1.1,100,61,2.34,13.91
CHARLTON,24/09/2025,2.8,0.0, ,18.9,10.5,99,53,3.45,15.04
CHARLTON,25/09/2025,2.3,0.0, ,16.6,7.6,99,58,3.26,13.61
CHARLTON,26/09/2025,5.6,0.2, ,25.9,7.2,93,22,5.24,19.55
CHARLTON,27/09/2025,3.2,0.0, ,19.6,2.0,100,42,2.71,20.21
CHARLTON,28/09/2025,2.6,0.0, ,18.8,3.6,100,38,1.29,16.93
CHARLTON,29/09/2025,4.1,0.0, ,24.1,1.9,99,31,2.78,20.54
CHARLTON,30/09/2025,3.3,0.0, ,20.6,13.3,90,39,3.64,12.36
Totals:,,81.2,24.2, ,,,,,, 
