'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLAC (MOUNT GELLIBRAND) Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLAC (MOUNT GELLIBRAND),01/08/2025,0.8,1.2, ,10.7,6.2,99,80,2.08,8.31
COLAC (MOUNT GELLIBRAND),02/08/2025,0.9,0.0, ,11.6,6.8,100,81,5.12,8.73
COLAC (MOUNT GELLIBRAND),03/08/2025,1.6,0.2, ,15.7,5.7,100,56,3.37,11.65
COLAC (MOUNT GELLIBRAND),04/08/2025,2.4,0.2, ,15.6,5.6,96,52,9.08,7.78
COLAC (MOUNT GELLIBRAND),05/08/2025,1.8,1.6, ,13.5,6.5,95,67,9.93,11.12
COLAC (MOUNT GELLIBRAND),06/08/2025,1.7,0.6, ,11.4,6.8,100,59,7.67,10.62
COLAC (MOUNT GELLIBRAND),07/08/2025,1.1,0.0, ,10.5,4.3,94,70,2.91,8.33
COLAC (MOUNT GELLIBRAND),08/08/2025,1.0,0.0, ,13.1,5.8,100,84,3.82,10.27
COLAC (MOUNT GELLIBRAND),09/08/2025,1.8,0.4, ,14.5,6.5,100,53,4.39,12.39
COLAC (MOUNT GELLIBRAND),10/08/2025,1.5,0.4, ,15.7,6.0,100,63,2.75,11.58
COLAC (MOUNT GELLIBRAND),11/08/2025,1.7,0.2, ,15.7,6.0,100,64,4.42,12.51
COLAC (MOUNT GELLIBRAND),12/08/2025,1.2,1.2, ,12.2,6.9,100,72,5.49,6.60
COLAC (MOUNT GELLIBRAND),13/08/2025,1.6,5.4, ,13.3,5.1,100,62,4.37,12.20
COLAC (MOUNT GELLIBRAND),14/08/2025,1.8,0.0, ,15.8,5.5,98,59,4.06,13.08
COLAC (MOUNT GELLIBRAND),15/08/2025,1.7,0.0, ,11.7,7.0,98,66,11.12,7.23
COLAC (MOUNT GELLIBRAND),16/08/2025,1.1,4.0, ,9.3,3.7,100,79,5.96,12.66
COLAC (MOUNT GELLIBRAND),17/08/2025,1.2,0.6, ,10.9,3.1,97,73,3.69,10.27
COLAC (MOUNT GELLIBRAND),18/08/2025,1.3,0.0, ,10.3,4.3,98,65,4.30,9.14
COLAC (MOUNT GELLIBRAND),19/08/2025,1.8,0.0, ,12.1,4.3,90,56,3.51,13.67
COLAC (MOUNT GELLIBRAND),20/08/2025,2.1,0.0, ,15.8,5.7,84,54,3.52,13.97
COLAC (MOUNT GELLIBRAND),21/08/2025,2.3,0.0, ,17.2,6.5,90,49,3.61,14.10
COLAC (MOUNT GELLIBRAND),22/08/2025,2.0,0.0, ,15.9,9.2,91,65,6.71,7.78
COLAC (MOUNT GELLIBRAND),23/08/2025,2.0,0.2, ,13.9,7.3,100,53,4.30,13.12
COLAC (MOUNT GELLIBRAND),24/08/2025,1.8,0.0, ,13.0,5.8,97,62,4.49,13.54
COLAC (MOUNT GELLIBRAND),25/08/2025,2.3,0.0, ,15.9,5.6,100,48,5.31,9.85
COLAC (MOUNT GELLIBRAND),26/08/2025,2.4,0.4, ,14.2,6.6,99,54,12.56,6.24
COLAC (MOUNT GELLIBRAND),27/08/2025,2.1,6.6, ,12.0,7.1,98,63,14.93,12.49
COLAC (MOUNT GELLIBRAND),28/08/2025,1.9,2.0, ,12.8,5.9,99,67,12.00,12.26
COLAC (MOUNT GELLIBRAND),29/08/2025,1.3,2.4, ,10.2,5.9,99,76,13.21,8.54
COLAC (MOUNT GELLIBRAND),30/08/2025,1.8,7.4, ,10.8,3.2,100,63,10.49,14.27
COLAC (MOUNT GELLIBRAND),31/08/2025,1.5,2.0, ,13.5,5.7,100,77,9.25,13.41
Totals:,,51.5,37, ,,,,,, 
