'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLAC (MOUNT GELLIBRAND) Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLAC (MOUNT GELLIBRAND),01/09/2025,1.5,0.8, ,13.1,6.2,100,77,6.79,13.08
COLAC (MOUNT GELLIBRAND),02/09/2025,2.5,0.4, ,14.9,6.9,97,58,9.25,13.95
COLAC (MOUNT GELLIBRAND),03/09/2025,2.5,4.6, ,13.9,8.8,96,60,12.15,14.53
COLAC (MOUNT GELLIBRAND),04/09/2025,1.8,4.6, ,11.1,6.4,100,66,9.92,12.83
COLAC (MOUNT GELLIBRAND),05/09/2025,2.0,0.4, ,11.9,3.1,97,58,4.38,16.00
COLAC (MOUNT GELLIBRAND),06/09/2025,3.2,0.0, ,19.6,4.5,100,44,5.22,15.83
COLAC (MOUNT GELLIBRAND),07/09/2025,3.6,0.2, ,19.1,7.2,91,54,14.79,9.09
COLAC (MOUNT GELLIBRAND),08/09/2025,2.5,5.8, ,16.6,9.7,95,65,11.39,11.90
COLAC (MOUNT GELLIBRAND),09/09/2025,2.1,1.6, ,13.2,8.3,100,63,7.23,15.30
COLAC (MOUNT GELLIBRAND),10/09/2025,1.6,0.0, ,11.6,4.3,99,71,5.28,12.41
COLAC (MOUNT GELLIBRAND),11/09/2025,1.8,1.0, ,12.7,6.1,100,71,6.61,13.62
COLAC (MOUNT GELLIBRAND),12/09/2025,1.6,0.0, ,14.0,4.7,100,79,7.67,13.57
COLAC (MOUNT GELLIBRAND),13/09/2025,1.7,2.8, ,14.7,8.4,100,78,5.59,12.67
COLAC (MOUNT GELLIBRAND),14/09/2025,3.9,0.4, ,18.4,7.6,90,49,10.72,18.28
COLAC (MOUNT GELLIBRAND),15/09/2025,6.4,0.0, ,23.0,11.6,71,38,14.53,16.03
COLAC (MOUNT GELLIBRAND),16/09/2025,2.6,0.2, ,15.6,10.8,93,63,10.78,11.82
COLAC (MOUNT GELLIBRAND),17/09/2025,3.1,1.0, ,13.1,5.6,90,47,10.29,17.88
COLAC (MOUNT GELLIBRAND),18/09/2025,4.0,0.0, ,18.2,5.1,85,45,9.08,18.34
COLAC (MOUNT GELLIBRAND),19/09/2025,4.3,0.2, ,18.4,8.4,97,41,13.74,17.02
COLAC (MOUNT GELLIBRAND),20/09/2025,2.0,5.0, ,12.1,4.2,98,68,10.88,14.25
COLAC (MOUNT GELLIBRAND),21/09/2025,1.6,0.0, ,14.3,6.4,99,78,11.87,11.54
COLAC (MOUNT GELLIBRAND),22/09/2025,2.1,0.6, ,12.0,5.2,98,69,8.12,17.56
COLAC (MOUNT GELLIBRAND),23/09/2025,1.6,1.8, ,13.8,5.4,100,79,8.92,12.62
COLAC (MOUNT GELLIBRAND),24/09/2025,1.7,0.4, ,14.2,8.9,100,80,9.11,14.54
COLAC (MOUNT GELLIBRAND),25/09/2025,1.7,0.6, ,13.9,8.8,98,77,11.89,10.17
COLAC (MOUNT GELLIBRAND),26/09/2025,2.8,0.8, ,17.1,9.4,97,61,10.75,13.14
COLAC (MOUNT GELLIBRAND),27/09/2025,2.9,0.4, ,15.2,7.1,95,57,10.46,14.66
COLAC (MOUNT GELLIBRAND),28/09/2025,2.4,1.0, ,13.7,6.5,100,61,4.55,17.27
COLAC (MOUNT GELLIBRAND),29/09/2025,3.6,0.0, ,20.8,5.9,95,50,5.76,17.37
COLAC (MOUNT GELLIBRAND),30/09/2025,2.7,6.2, ,16.9,10.8,97,66,7.14,17.34
Totals:,,77.8,40.8, ,,,,,, 
