'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLAC (MOUNT GELLIBRAND) Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLAC (MOUNT GELLIBRAND),01/10/2025,2.3,3.2, ,15.0,6.5,100,69,12.94,16.34
COLAC (MOUNT GELLIBRAND),02/10/2025,1.3,6.0, ,12.5,5.6,99,85,14.61,13.08
COLAC (MOUNT GELLIBRAND),03/10/2025,1.6,2.2, ,14.3,6.7,100,85,9.66,16.36
COLAC (MOUNT GELLIBRAND),04/10/2025,3.5,0.8, ,20.8,6.7,100,57,4.76,20.88
COLAC (MOUNT GELLIBRAND),05/10/2025,4.3,0.0, ,21.7,9.1,100,44,12.07,10.16
COLAC (MOUNT GELLIBRAND),06/10/2025,2.6,10.6, ,12.7,7.4,99,59,8.41,19.24
COLAC (MOUNT GELLIBRAND),07/10/2025,2.4,0.0, ,13.7,7.1,92,65,9.03,14.11
COLAC (MOUNT GELLIBRAND),08/10/2025,3.6,0.0, ,17.3,5.2,96,54,10.23,20.85
COLAC (MOUNT GELLIBRAND),09/10/2025,3.2,0.2, ,16.0,7.1,99,53,12.14,16.66
COLAC (MOUNT GELLIBRAND),10/10/2025,3.8,0.8, ,18.0,8.2,95,55,16.63,18.62
COLAC (MOUNT GELLIBRAND),11/10/2025,2.8,0.4, ,16.2,8.9,98,63,11.51,15.10
COLAC (MOUNT GELLIBRAND),12/10/2025,2.6,8.2, ,15.9,7.6,100,65,10.18,16.53
COLAC (MOUNT GELLIBRAND),13/10/2025,2.8,5.2, ,13.9,3.8,97,57,3.73,21.52
COLAC (MOUNT GELLIBRAND),14/10/2025,3.1,0.2, ,15.9,6.3,95,64,8.61,22.00
Totals:,,39.9,37.8, ,,,,,, 
