'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLDSTREAM Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLDSTREAM,01/08/2025,0.8,0.0, ,13.4,-2.3,99,65,0.69,10.08
COLDSTREAM,02/08/2025,0.8,0.2, ,13.6,-0.2,100,69,0.40,10.46
COLDSTREAM,03/08/2025,0.8,0.2, ,18.7,-2.0,100,28,0.23,11.87
COLDSTREAM,04/08/2025,1.8,0.0, ,19.0,-0.4,100,50,2.68,9.66
COLDSTREAM,05/08/2025,1.8,5.2, ,16.1,4.6,99,51,3.49,11.29
COLDSTREAM,06/08/2025,1.2,0.8, ,14.3,3.8,99,57,2.03,8.41
COLDSTREAM,07/08/2025,0.9,0.0, ,12.9,3.5,99,61,0.82,7.63
COLDSTREAM,08/08/2025,1.2,0.0, ,15.4,-0.3,100,59,1.34,12.24
COLDSTREAM,09/08/2025,1.2,0.0, ,17.4,0.0,100,47,0.76,11.23
COLDSTREAM,10/08/2025,1.4,0.2, ,19.2,-1.1,100,41,0.91,12.76
COLDSTREAM,11/08/2025,1.3,0.0, ,18.1,-2.1,100,38,0.65,12.90
COLDSTREAM,12/08/2025,1.1,0.0, ,15.7,-1.2,100,52,0.95,7.66
COLDSTREAM,13/08/2025,1.2,8.0, ,15.1,4.8,100,60,1.04,9.42
COLDSTREAM,14/08/2025,1.7,0.4, ,18.1,0.6,100,30,1.34,13.21
COLDSTREAM,15/08/2025,1.8,0.0, ,14.7,3.0,99,53,4.36,5.66
COLDSTREAM,16/08/2025,1.4,4.6, ,12.8,0.9,100,50,1.85,11.17
COLDSTREAM,17/08/2025,1.2,0.4, ,14.1,-0.9,99,52,0.95,10.36
COLDSTREAM,18/08/2025,1.0,0.0, ,11.8,-0.8,100,53,0.91,8.76
COLDSTREAM,19/08/2025,1.4,0.2, ,16.6,-4.6,99,37,0.67,13.91
COLDSTREAM,20/08/2025,1.7,0.0, ,18.8,-3.8,99,34,0.96,14.16
COLDSTREAM,21/08/2025,1.6,0.0, ,21.4,-1.8,99,32,0.67,14.14
COLDSTREAM,22/08/2025,1.6,0.0, ,18.3,3.4,100,58,1.84,10.68
COLDSTREAM,23/08/2025,1.5,0.0, ,16.1,5.0,100,53,1.64,9.63
COLDSTREAM,24/08/2025,1.5,0.0, ,17.3,-1.3,100,46,0.76,14.80
COLDSTREAM,25/08/2025,1.9,0.0, ,18.8,-2.2,100,35,1.29,13.92
COLDSTREAM,26/08/2025,2.7,0.0, ,18.1,6.1,90,41,5.14,5.85
COLDSTREAM,27/08/2025,2.0,4.4, ,14.9,8.8,98,51,4.57,8.10
COLDSTREAM,28/08/2025,2.4,6.0, ,15.6,8.9,86,45,4.13,10.00
COLDSTREAM,29/08/2025,2.1,0.8, ,13.7,8.2,84,54,4.65,8.55
COLDSTREAM,30/08/2025,2.1,4.4, ,13.3,6.2,99,46,3.64,13.14
COLDSTREAM,31/08/2025,1.7,1.0, ,16.2,8.8,99,61,1.74,11.42
Totals:,,46.8,36.8, ,,,,,, 
