'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLDSTREAM Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLDSTREAM,01/09/2025,1.5,2.0, ,15.9,2.6,100,54,0.97,10.97
COLDSTREAM,02/09/2025,2.0,0.2, ,16.2,2.9,100,54,3.06,12.90
COLDSTREAM,03/09/2025,2.7,0.0, ,18.2,10.9,87,45,4.14,10.37
COLDSTREAM,04/09/2025,1.8,0.6, ,15.4,8.3,99,50,2.76,7.19
COLDSTREAM,05/09/2025,2.0,1.4, ,14.8,-0.5,100,43,1.70,16.70
COLDSTREAM,06/09/2025,2.5,0.2, ,21.1,-3.3,100,34,1.59,16.30
COLDSTREAM,07/09/2025,3.4,0.0, ,21.5,9.6,86,47,6.32,8.29
COLDSTREAM,08/09/2025,2.9,1.0, ,19.6,6.0,100,46,3.73,15.40
COLDSTREAM,09/09/2025,2.0,0.0, ,17.1,4.3,99,50,1.70,12.69
COLDSTREAM,10/09/2025,1.5,0.2, ,13.5,1.4,100,62,2.20,8.90
COLDSTREAM,11/09/2025,1.9,0.0, ,15.6,1.2,99,49,1.69,13.16
COLDSTREAM,12/09/2025,1.3,1.4, ,15.3,5.0,99,59,0.78,7.75
COLDSTREAM,13/09/2025,1.6,0.6, ,18.0,9.5,99,58,0.81,10.09
COLDSTREAM,14/09/2025,3.1,0.0, ,20.9,4.6,100,42,3.16,16.50
COLDSTREAM,15/09/2025,5.7,0.0, ,23.4,13.3,60,29,6.32,18.58
COLDSTREAM,16/09/2025,2.5,2.4, ,15.9,13.5,99,32,4.11,7.48
COLDSTREAM,17/09/2025,2.5,3.2, ,16.3,7.4,96,42,3.33,12.70
COLDSTREAM,18/09/2025,2.9,0.0, ,18.6,0.8,100,43,2.80,18.56
COLDSTREAM,19/09/2025,4.4,0.0, ,21.3,11.9,89,34,5.93,18.25
COLDSTREAM,20/09/2025,2.3,1.2, ,14.4,7.2,99,44,3.45,12.45
COLDSTREAM,21/09/2025,1.6,0.0, ,14.2,9.5,99,67,3.43,7.36
COLDSTREAM,22/09/2025,2.4,5.4, ,14.2,5.4,99,49,3.28,15.35
COLDSTREAM,23/09/2025,1.9,4.0, ,16.1,6.6,99,57,1.51,11.41
COLDSTREAM,24/09/2025,2.0,0.0, ,17.4,10.8,99,59,2.73,9.34
COLDSTREAM,25/09/2025,1.8,1.4, ,15.8,8.9,99,58,2.81,8.30
COLDSTREAM,26/09/2025,3.0,0.0, ,21.8,12.5,99,31,3.66,6.41
COLDSTREAM,27/09/2025,2.9,0.0, ,18.9,2.0,100,41,2.55,17.53
COLDSTREAM,28/09/2025,2.8,0.0, ,17.4,8.8,96,36,2.01,16.96
COLDSTREAM,29/09/2025,3.4,0.2, ,20.9,0.7,100,40,2.67,21.08
COLDSTREAM,30/09/2025,2.9,0.0, ,21.7,12.6,99,39,2.73,11.45
Totals:,,75.2,25.4, ,,,,,, 
