'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COMBIENBAR Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COMBIENBAR,01/08/2025,0.7,3.4, ,8.8,3.3,96,80,0.19,8.67
COMBIENBAR,02/08/2025,0.7,3.8, ,10.2,5.5,97,83,0.20,7.22
COMBIENBAR,03/08/2025,1.1,3.8, ,14.3,5.7,97,61,1.12,11.49
COMBIENBAR,04/08/2025,1.5,0.2, ,16.5,4.8,90,57,1.94,11.87
COMBIENBAR,05/08/2025,1.4,0.2, ,15.8,6.4,96,38,1.35,11.01
COMBIENBAR,06/08/2025,1.3,0.2, ,13.9,5.7,95,49,1.68,8.97
COMBIENBAR,07/08/2025,1.0,7.6, ,9.2,2.2,93,64,0.84,11.73
COMBIENBAR,08/08/2025,1.0,0.0, ,12.5,2.9,91,60,0.31,11.01
COMBIENBAR,09/08/2025,1.1,0.2, ,13.1,5.8,93,63,0.53,10.62
COMBIENBAR,10/08/2025,1.1,0.0, ,13.0,3.5,93,56,0.61,11.18
COMBIENBAR,11/08/2025,1.1,0.0, ,12.6,4.1,89,57,0.53,10.81
COMBIENBAR,12/08/2025,1.3,0.0, ,15.4,3.8,88,44,0.55,13.03
COMBIENBAR,13/08/2025,1.0,0.0, ,10.6,6.6,91,48,0.54,6.78
COMBIENBAR,14/08/2025,1.0,0.0, ,11.4,4.4,93,71,0.77,8.55
COMBIENBAR,15/08/2025,1.4,0.0, ,15.0,5.7,76,45,1.11,9.25
COMBIENBAR,16/08/2025,1.1,0.8, ,9.3,2.8,94,64,1.27,9.66
COMBIENBAR,17/08/2025,1.2,0.8, ,9.2,0.9,87,62,1.37,10.66
COMBIENBAR,18/08/2025,1.1,0.2, ,8.8,1.4,85,61,0.91,9.86
COMBIENBAR,19/08/2025,1.3,0.2, ,13.8,2.7,91,55,0.62,13.60
COMBIENBAR,20/08/2025,1.5,0.0, ,15.4,4.4,93,56,1.23,12.37
COMBIENBAR,21/08/2025,1.6,1.2, ,16.4,6.6,96,63,1.91,10.83
COMBIENBAR,22/08/2025,1.7,0.0, ,19.1,8.4,89,44,0.77,13.26
COMBIENBAR,23/08/2025,1.3,0.6, ,13.6,8.1,89,66,1.52,7.81
COMBIENBAR,24/08/2025,0.9,2.0, ,10.5,4.0,97,79,1.54,6.53
COMBIENBAR,25/08/2025,1.5,0.8, ,17.6,6.6,97,68,0.60,12.50
COMBIENBAR,26/08/2025,2.0,0.0, ,15.9,10.1,81,33,2.44,3.39
COMBIENBAR,27/08/2025,2.5,3.2, ,14.3,8.9,86,40,3.62,14.26
COMBIENBAR,28/08/2025,2.2,0.8, ,13.0,5.5,85,45,3.56,12.02
COMBIENBAR,29/08/2025,2.6,0.8, ,14.4,6.5,81,35,3.27,15.46
COMBIENBAR,30/08/2025,1.5,16.2, ,9.8,2.1,95,56,4.16,8.06
COMBIENBAR,31/08/2025,1.9,9.8, ,14.2,2.5,86,48,1.51,14.50
Totals:,,42.6,56.8, ,,,,,, 
