'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COMBIENBAR Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COMBIENBAR,01/09/2025,1.7,0.2, ,14.2,4.6,83,48,0.88,14.55
COMBIENBAR,02/09/2025,1.9,0.2, ,15.4,5.8,77,40,0.71,15.41
COMBIENBAR,03/09/2025,2.6,0.0, ,16.1,6.9,87,38,3.21,12.77
COMBIENBAR,04/09/2025,2.3,0.0, ,14.6,5.7,93,40,2.29,15.32
COMBIENBAR,05/09/2025,1.9,1.4, ,11.2,2.0,89,50,1.49,16.60
COMBIENBAR,06/09/2025,2.1,0.2, ,18.1,3.1,81,35,0.84,16.99
COMBIENBAR,07/09/2025,2.9,0.0, ,20.1,9.7,60,32,2.56,9.50
COMBIENBAR,08/09/2025,3.0,0.0, ,21.1,12.7,67,30,1.79,16.21
COMBIENBAR,09/09/2025,2.5,0.0, ,17.6,9.8,91,32,1.63,14.96
COMBIENBAR,10/09/2025,1.4,0.0, ,12.4,4.2,95,61,0.52,10.05
COMBIENBAR,11/09/2025,1.6,3.6, ,12.0,4.6,96,66,1.75,12.10
COMBIENBAR,12/09/2025,2.1,0.4, ,14.0,4.7,83,53,1.96,14.70
COMBIENBAR,13/09/2025,2.3,0.0, ,16.5,6.1,89,55,1.02,18.14
COMBIENBAR,14/09/2025,2.5,0.0, ,18.6,7.8,88,42,0.94,18.39
COMBIENBAR,15/09/2025,4.4,0.0, ,23.9,8.7,58,19,3.06,18.73
COMBIENBAR,16/09/2025,3.1,0.0, ,18.1,15.0,84,26,3.39,9.40
COMBIENBAR,17/09/2025,2.7,1.0, ,15.9,7.6,82,38,1.81,17.84
COMBIENBAR,18/09/2025,2.4,0.0, ,16.8,4.0,84,38,0.64,19.24
COMBIENBAR,19/09/2025,3.4,0.0, ,21.3,8.0,77,30,2.58,16.13
COMBIENBAR,20/09/2025,2.3,3.2, ,13.4,5.3,95,45,1.62,17.64
COMBIENBAR,21/09/2025,2.9,0.2, ,18.3,5.9,93,41,2.28,18.28
COMBIENBAR,22/09/2025,1.7,9.4, ,10.2,3.7,95,69,2.88,12.64
COMBIENBAR,23/09/2025,2.0,2.8, ,13.9,3.8,89,61,1.98,13.05
COMBIENBAR,24/09/2025,2.3,0.0, ,14.9,6.8,92,51,1.91,14.81
COMBIENBAR,25/09/2025,2.3,1.0, ,16.3,5.7,86,43,1.92,12.68
COMBIENBAR,26/09/2025,2.9,0.0, ,18.4,8.0,84,35,2.49,13.69
COMBIENBAR,27/09/2025,2.9,0.0, ,20.9,7.4,93,33,0.60,21.00
COMBIENBAR,28/09/2025,1.3,0.0, ,11.2,6.0,93,69,0.35,8.54
COMBIENBAR,29/09/2025,2.7,0.0, ,19.8,5.8,90,39,0.51,19.96
COMBIENBAR,30/09/2025,2.8,0.0, ,24.6,10.1,89,25,1.30,12.16
Totals:,,72.9,23.6, ,,,,,, 
