'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COMBIENBAR Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COMBIENBAR,01/10/2025,3.4,0.0, ,17.4,7.9,91,28,2.27,21.02
COMBIENBAR,02/10/2025,2.9,0.6, ,15.2,7.0,89,31,2.37,16.44
COMBIENBAR,03/10/2025,3.1,1.0, ,16.9,6.3,81,50,3.82,16.66
COMBIENBAR,04/10/2025,3.2,0.2, ,19.8,7.0,90,22,1.06,20.94
COMBIENBAR,05/10/2025,4.7,0.0, ,27.0,11.7,46,25,2.33,19.90
COMBIENBAR,06/10/2025,1.3,4.4, ,10.1,7.4,95,66,1.22,6.31
COMBIENBAR,07/10/2025,3.1,0.0, ,20.1,4.6,94,38,0.53,22.87
COMBIENBAR,08/10/2025,3.8,0.0, ,24.2,8.0,63,32,1.45,21.06
COMBIENBAR,09/10/2025,4.4,0.0, ,22.9,14.7,73,22,2.12,22.33
COMBIENBAR,10/10/2025,5.2,0.0, ,23.0,9.4,49,17,3.04,23.55
COMBIENBAR,11/10/2025,4.3,0.0, ,22.2,13.3,75,21,1.78,23.67
COMBIENBAR,12/10/2025,2.3,0.0, ,18.6,6.0,93,39,1.05,11.76
COMBIENBAR,13/10/2025,2.7,15.2, ,14.2,3.1,95,51,1.71,20.19
COMBIENBAR,14/10/2025,3.4,0.2, ,20.4,4.6,85,39,0.82,23.60
Totals:,,47.8,21.6, ,,,,,, 
