'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DARTMOOR Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DARTMOOR,01/08/2025,0.8,0.0, ,14.1,-0.7,99,59,0.54,10.64
DARTMOOR,02/08/2025,0.9,0.2, ,14.5,-0.9,98,60,0.73,10.35
DARTMOOR,03/08/2025,2.1,0.0, ,15.9,-0.9,98,41,3.77,11.72
DARTMOOR,04/08/2025,2.6,0.0, ,17.2,4.7,93,51,7.64,8.80
DARTMOOR,05/08/2025,1.8,9.4, ,14.7,7.3,96,56,4.60,11.45
DARTMOOR,06/08/2025,1.5,15.4, ,13.0,6.9,97,44,2.17,11.29
DARTMOOR,07/08/2025,0.9,0.0, ,12.7,3.2,96,57,0.85,7.66
DARTMOOR,08/08/2025,1.1,0.2, ,14.3,3.6,98,73,1.85,9.71
DARTMOOR,09/08/2025,1.4,0.0, ,18.1,3.6,98,49,1.19,12.52
DARTMOOR,10/08/2025,1.7,0.0, ,18.4,6.9,96,51,2.02,11.73
DARTMOOR,11/08/2025,1.9,0.0, ,17.8,5.0,94,55,3.24,12.21
DARTMOOR,12/08/2025,1.5,6.8, ,15.7,10.5,97,62,2.86,9.75
DARTMOOR,13/08/2025,1.2,0.2, ,15.1,2.5,98,57,0.94,12.97
DARTMOOR,14/08/2025,2.2,0.2, ,17.4,1.1,99,43,3.27,12.52
DARTMOOR,15/08/2025,2.1,1.0, ,14.4,6.3,96,50,5.12,10.79
DARTMOOR,16/08/2025,1.6,6.2, ,12.2,2.5,96,50,2.55,11.96
DARTMOOR,17/08/2025,1.3,1.0, ,13.4,4.9,98,66,2.23,10.36
DARTMOOR,18/08/2025,1.4,0.4, ,13.1,2.4,98,54,1.92,9.78
DARTMOOR,19/08/2025,1.4,0.0, ,13.9,4.2,95,50,1.07,13.74
DARTMOOR,20/08/2025,1.8,0.0, ,17.8,-1.4,97,51,2.03,14.05
DARTMOOR,21/08/2025,2.3,0.2, ,18.9,3.3,94,50,3.32,13.77
DARTMOOR,22/08/2025,2.0,0.0, ,17.8,10.9,96,53,3.46,9.04
DARTMOOR,23/08/2025, ,0.6, , ,6.9,98,50,1.37,12.19
DARTMOOR,24/08/2025, ,0.0, , ,1.1,100,44,1.34,14.68
DARTMOOR,25/08/2025, ,0.0, ,15.7, ,78,55,4.14,8.25
DARTMOOR,26/08/2025,2.4,8.2, ,17.1,11.2,95,51,5.41,9.78
DARTMOOR,27/08/2025,1.6,7.4, ,13.2,8.6,95,68,4.33,9.50
DARTMOOR,28/08/2025,1.7,18.0, ,14.5,6.8,96,64,3.49,11.44
DARTMOOR,29/08/2025,1.9,11.8, ,10.5,7.7,95,56,7.97,6.88
DARTMOOR,30/08/2025,1.9,13.0, ,12.9,6.2,96,57,5.07,10.92
DARTMOOR,31/08/2025,1.6,4.0, ,15.1,7.9,98,70,2.79,11.66
Totals:,,46.6,104.2, ,,,,,, 
