'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DARTMOOR Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DARTMOOR,01/09/2025,1.5,1.8, ,14.9,7.0,98,71,1.95,11.58
DARTMOOR,02/09/2025,2.1,1.0, ,15.8,5.1,98,58,4.97,11.89
DARTMOOR,03/09/2025,2.1,7.6, ,15.0,8.1,93,59,3.92,12.80
DARTMOOR,04/09/2025,1.9,10.8, ,12.8,7.4,96,54,2.98,13.22
DARTMOOR,05/09/2025, ,0.4, , ,-1.1,98,51,1.78,16.28
DARTMOOR,06/09/2025,2.8,0.0, ,20.9,3.1,93,43,3.54,10.75
DARTMOOR,07/09/2025,3.6,4.0, ,21.3,10.3,95,45,7.42,11.65
DARTMOOR,08/09/2025,2.3,10.4, ,17.0,11.6,96,61,4.32,13.54
DARTMOOR,09/09/2025, ,1.4, , ,8.8,100,57,2.14,16.59
DARTMOOR,10/09/2025,1.6,0.2, ,13.7,1.3,98,72,3.13,12.58
DARTMOOR,11/09/2025,1.9,1.4, ,14.7,5.7,98,61,2.43,13.15
DARTMOOR,12/09/2025,1.9,3.4, ,16.3,6.0,98,66,2.29,13.71
DARTMOOR,13/09/2025,2.2,0.6, ,16.9,10.3,98,59,2.45,14.54
DARTMOOR,14/09/2025,3.9,0.0, ,21.1,3.6,97,40,5.83,18.15
DARTMOOR,15/09/2025,5.2,0.0, ,24.3,14.4,90,30,6.98,16.31
DARTMOOR,16/09/2025,2.8,2.2, ,16.4,10.4,89,51,5.25,13.72
DARTMOOR,17/09/2025,2.2,2.6, ,14.3,5.9,92,48,2.59,13.77
DARTMOOR,18/09/2025,3.3,0.0, ,19.6,2.5,95,41,3.55,18.56
DARTMOOR,19/09/2025,3.1,0.0, ,17.6,8.8,94,47,4.71,16.75
DARTMOOR,20/09/2025,2.2,8.0, ,13.9,6.1,96,59,3.64,15.44
DARTMOOR,21/09/2025,2.1,2.4, ,15.3,9.2,96,63,3.92,11.89
DARTMOOR,22/09/2025,2.5,2.0, ,14.7,8.1,86,62,4.00,15.69
DARTMOOR,23/09/2025,1.7,0.6, ,15.4,9.2,94,75,2.89,10.64
DARTMOOR,24/09/2025,2.0,0.6, ,15.8,10.7,95,73,3.18,13.47
DARTMOOR,25/09/2025,1.7,0.4, ,14.5,10.3,94,70,3.39,9.14
DARTMOOR,26/09/2025,2.2,0.6, ,16.3,10.8,90,63,3.92,10.83
DARTMOOR,27/09/2025,2.2,0.0, ,15.6,9.0,96,58,3.38,11.63
DARTMOOR,28/09/2025,2.4,1.4, ,16.0,4.3,98,53,1.66,17.74
DARTMOOR,29/09/2025,2.0,0.0, ,18.8,6.0,98,57,2.25,9.40
DARTMOOR,30/09/2025,2.4,20.6, ,16.6,10.7,98,61,2.87,14.78
Totals:,,67.8,84.4, ,,,,,, 
