'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DINNER PLAIN (MOUNT HOTHAM AIRPORT) Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DINNER PLAIN (MOUNT HOTHAM AIRPORT),01/08/2025,1.0,3.2, ,7.8,-4.0,99,60,1.63,11.65
DINNER PLAIN (MOUNT HOTHAM AIRPORT),02/08/2025,0.8,0.2, ,7.5,0.1,100,80,2.19,8.53
DINNER PLAIN (MOUNT HOTHAM AIRPORT),03/08/2025,1.1,0.0, ,12.4,-2.8,100,35,0.91,12.15
DINNER PLAIN (MOUNT HOTHAM AIRPORT),04/08/2025,1.6,0.0, ,11.0,-2.6,99,56,4.82,12.14
DINNER PLAIN (MOUNT HOTHAM AIRPORT),05/08/2025,1.5,6.6, ,7.3,3.3,99,55,7.12,11.04
DINNER PLAIN (MOUNT HOTHAM AIRPORT),06/08/2025,1.0,0.0, ,6.6,-0.5,99,70,3.61,9.56
DINNER PLAIN (MOUNT HOTHAM AIRPORT),07/08/2025,1.0,0.0, ,8.6,-4.2,99,50,0.91,12.62
DINNER PLAIN (MOUNT HOTHAM AIRPORT),08/08/2025,1.1,0.0, ,9.7,-4.8,99,38,0.74,12.72
DINNER PLAIN (MOUNT HOTHAM AIRPORT),09/08/2025,1.2,0.0, ,9.9,-3.5,99,47,1.13,12.89
DINNER PLAIN (MOUNT HOTHAM AIRPORT),10/08/2025,1.2,0.0, ,9.6,-3.8,99,44,1.42,12.78
DINNER PLAIN (MOUNT HOTHAM AIRPORT),11/08/2025,1.1,0.0, ,9.1,-3.5,99,38,0.69,13.15
DINNER PLAIN (MOUNT HOTHAM AIRPORT),12/08/2025,1.4,0.0, ,9.2,-3.8,99,43,2.18,12.71
DINNER PLAIN (MOUNT HOTHAM AIRPORT),13/08/2025,1.0,0.0, ,8.1,2.7,99,67,1.60,8.06
DINNER PLAIN (MOUNT HOTHAM AIRPORT),14/08/2025,1.4,0.0, ,10.6,-4.5,99,39,1.62,13.54
DINNER PLAIN (MOUNT HOTHAM AIRPORT),15/08/2025,1.5,0.0, ,8.5,-1.6,98,56,6.44,6.79
DINNER PLAIN (MOUNT HOTHAM AIRPORT),16/08/2025,1.0,1.8, ,4.4,-3.0,97,67,3.48,10.64
DINNER PLAIN (MOUNT HOTHAM AIRPORT),17/08/2025,1.1,1.0, ,5.1,-5.1,99,58,1.98,10.97
DINNER PLAIN (MOUNT HOTHAM AIRPORT),18/08/2025,1.0,0.0, ,5.2,-5.6,99,52,0.80,11.82
DINNER PLAIN (MOUNT HOTHAM AIRPORT),19/08/2025,1.3,0.0, ,10.4,-6.5,99,31,0.90,14.15
DINNER PLAIN (MOUNT HOTHAM AIRPORT),20/08/2025,1.5,0.0, ,11.5,-3.6,99,37,1.32,14.26
DINNER PLAIN (MOUNT HOTHAM AIRPORT),21/08/2025,1.4,0.0, ,12.4,-2.0,99,54,1.27,11.99
DINNER PLAIN (MOUNT HOTHAM AIRPORT),22/08/2025,1.6,0.2, ,10.6,0.9,99,56,2.98,12.14
DINNER PLAIN (MOUNT HOTHAM AIRPORT),23/08/2025,1.7,0.0, ,10.8,0.5,99,50,3.04,12.30
DINNER PLAIN (MOUNT HOTHAM AIRPORT),24/08/2025,1.3,0.0, ,9.2,-3.0,98,61,2.19,11.50
DINNER PLAIN (MOUNT HOTHAM AIRPORT),25/08/2025,2.1,0.0, ,16.1,-1.8,99,33,1.93,14.17
DINNER PLAIN (MOUNT HOTHAM AIRPORT),26/08/2025,2.4,0.0, ,12.0,3.5,96,42,6.91,9.21
DINNER PLAIN (MOUNT HOTHAM AIRPORT),27/08/2025,1.1,27.4, ,5.2,1.1,99,73,8.31,9.12
DINNER PLAIN (MOUNT HOTHAM AIRPORT),28/08/2025,1.0,17.4, ,3.7,0.2,99,78,8.14,13.15
DINNER PLAIN (MOUNT HOTHAM AIRPORT),29/08/2025,1.1,3.4, ,4.7,0.5,99,72,8.80,10.42
DINNER PLAIN (MOUNT HOTHAM AIRPORT),30/08/2025,1.2,8.4, ,4.5,-1.6,99,66,5.77,12.26
DINNER PLAIN (MOUNT HOTHAM AIRPORT),31/08/2025,1.5,0.0, ,7.3,-2.4,94,61,2.93,15.81
Totals:,,40.2,69.6, ,,,,,, 
