'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DINNER PLAIN (MOUNT HOTHAM AIRPORT) Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DINNER PLAIN (MOUNT HOTHAM AIRPORT),01/09/2025,1.7,0.0, ,9.3,0.2,99,48,2.44,14.60
DINNER PLAIN (MOUNT HOTHAM AIRPORT),02/09/2025,1.5,0.0, ,7.2,-1.6,99,58,4.26,12.90
DINNER PLAIN (MOUNT HOTHAM AIRPORT),03/09/2025,2.1,0.2, ,9.6,1.3,91,56,8.38,13.19
DINNER PLAIN (MOUNT HOTHAM AIRPORT),04/09/2025,1.6,0.8, ,6.1,2.3,96,62,7.76,12.82
DINNER PLAIN (MOUNT HOTHAM AIRPORT),05/09/2025,1.7,1.8, ,7.7,-6.1,98,36,1.33,16.87
DINNER PLAIN (MOUNT HOTHAM AIRPORT),06/09/2025,2.5,0.0, ,12.7,-3.8,89,34,3.14,17.01
DINNER PLAIN (MOUNT HOTHAM AIRPORT),07/09/2025,2.2,0.0, ,13.3,2.7,96,59,8.28,10.39
DINNER PLAIN (MOUNT HOTHAM AIRPORT),08/09/2025,3.4,3.8, ,13.2,8.0,99,35,10.92,17.33
DINNER PLAIN (MOUNT HOTHAM AIRPORT),09/09/2025,3.0,0.0, ,12.4,1.5,99,28,5.42,17.56
DINNER PLAIN (MOUNT HOTHAM AIRPORT),10/09/2025,1.2,0.0, ,6.1,-0.9,99,63,2.86,8.90
DINNER PLAIN (MOUNT HOTHAM AIRPORT),11/09/2025,1.6,0.2, ,7.8,-0.7,99,57,2.46,13.41
DINNER PLAIN (MOUNT HOTHAM AIRPORT),12/09/2025,2.2,0.0, ,11.0,-5.0,92,37,2.21,17.60
DINNER PLAIN (MOUNT HOTHAM AIRPORT),13/09/2025,2.2,0.0, ,15.0,-2.1,99,45,1.77,16.20
DINNER PLAIN (MOUNT HOTHAM AIRPORT),14/09/2025,2.4,0.0, ,11.6,0.2,92,52,4.66,17.91
DINNER PLAIN (MOUNT HOTHAM AIRPORT),15/09/2025,3.9,0.0, ,13.5,4.8,73,37,9.33,18.62
DINNER PLAIN (MOUNT HOTHAM AIRPORT),16/09/2025,1.9,3.6, ,7.9,7.1,99,43,8.75,4.91
DINNER PLAIN (MOUNT HOTHAM AIRPORT),17/09/2025,2.0,27.2, ,7.4,1.4,92,59,7.23,16.97
DINNER PLAIN (MOUNT HOTHAM AIRPORT),18/09/2025,2.1,0.0, ,10.0,-4.8,97,51,2.67,18.39
DINNER PLAIN (MOUNT HOTHAM AIRPORT),19/09/2025,3.0,0.0, ,12.6,0.6,96,42,7.78,17.54
DINNER PLAIN (MOUNT HOTHAM AIRPORT),20/09/2025,2.1,4.6, ,7.0,-0.2,96,53,6.78,18.01
DINNER PLAIN (MOUNT HOTHAM AIRPORT),21/09/2025,2.0,0.0, ,9.1,0.5,95,64,6.46,16.71
DINNER PLAIN (MOUNT HOTHAM AIRPORT),22/09/2025,1.9,0.0, ,6.6,-0.1,95,54,3.94,15.91
DINNER PLAIN (MOUNT HOTHAM AIRPORT),23/09/2025,2.5,0.6, ,13.4,-1.6,94,49,4.04,15.94
DINNER PLAIN (MOUNT HOTHAM AIRPORT),24/09/2025,2.5,0.0, ,11.0,1.9,91,47,4.55,15.98
DINNER PLAIN (MOUNT HOTHAM AIRPORT),25/09/2025,3.2,0.0, ,12.2,3.6,86,41,7.36,18.19
DINNER PLAIN (MOUNT HOTHAM AIRPORT),26/09/2025,3.1,0.0, ,12.5,3.5,88,49,9.34,18.39
DINNER PLAIN (MOUNT HOTHAM AIRPORT),27/09/2025,4.3,0.2, ,13.5,1.6,72,24,8.52,21.06
DINNER PLAIN (MOUNT HOTHAM AIRPORT),28/09/2025,2.8,0.0, ,13.3,-0.6,99,25,2.53,17.79
DINNER PLAIN (MOUNT HOTHAM AIRPORT),29/09/2025,2.9,0.0, ,14.8,-2.7,99,31,1.94,21.32
DINNER PLAIN (MOUNT HOTHAM AIRPORT),30/09/2025,3.0,0.0, ,14.3,3.0,81,41,5.55,12.43
Totals:,,72.5,43, ,,,,,, 
