'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DINNER PLAIN (MOUNT HOTHAM AIRPORT) Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DINNER PLAIN (MOUNT HOTHAM AIRPORT),01/10/2025,2.1,0.8, ,7.7,2.1,88,59,8.33,14.49
DINNER PLAIN (MOUNT HOTHAM AIRPORT),02/10/2025,1.7,6.4, ,6.4,0.5,99,68,7.56,16.28
DINNER PLAIN (MOUNT HOTHAM AIRPORT),03/10/2025,2.9,1.4, ,13.3,0.6,88,55,5.76,19.94
DINNER PLAIN (MOUNT HOTHAM AIRPORT),04/10/2025,3.8,0.0, ,19.5,-0.1,88,23,2.48,21.91
DINNER PLAIN (MOUNT HOTHAM AIRPORT),05/10/2025,4.5,0.0, ,17.9,7.3,64,28,6.18,15.54
DINNER PLAIN (MOUNT HOTHAM AIRPORT),06/10/2025,2.8,4.4, ,10.1,7.6,91,32,6.01,12.40
DINNER PLAIN (MOUNT HOTHAM AIRPORT),07/10/2025,3.2,0.2, ,12.4,-3.6,88,37,4.72,22.93
DINNER PLAIN (MOUNT HOTHAM AIRPORT),08/10/2025,3.6,0.0, ,14.6,3.7,79,47,6.17,21.09
DINNER PLAIN (MOUNT HOTHAM AIRPORT),09/10/2025,3.5,9.2, ,13.0,6.6,97,39,7.74,21.75
DINNER PLAIN (MOUNT HOTHAM AIRPORT),10/10/2025,4.7,0.0, ,13.5,6.5,65,37,12.05,23.59
DINNER PLAIN (MOUNT HOTHAM AIRPORT),11/10/2025,4.0,0.0, ,12.4,5.3,69,44,10.33,23.69
DINNER PLAIN (MOUNT HOTHAM AIRPORT),12/10/2025,3.1,0.0, ,12.0,5.6,93,44,7.53,17.18
DINNER PLAIN (MOUNT HOTHAM AIRPORT),13/10/2025,3.0,4.8, ,12.6,-1.7,96,41,2.51,23.59
DINNER PLAIN (MOUNT HOTHAM AIRPORT),14/10/2025,3.9,0.0, ,14.9,1.5,80,33,4.56,24.34
Totals:,,46.8,27.2, ,,,,,, 
