'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EAST SALE AIRPORT Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EAST SALE AIRPORT,01/08/2025,1.1,0.6, ,13.4,2.7,100,61,2.00,11.04
EAST SALE AIRPORT,02/08/2025,1.0,1.4, ,14.9,4.6,100,74,2.16,10.24
EAST SALE AIRPORT,03/08/2025,1.1,0.4, ,15.3,0.8,100,68,1.96,11.52
EAST SALE AIRPORT,04/08/2025,1.5,0.2, ,18.1,0.5,100,50,1.79,11.26
EAST SALE AIRPORT,05/08/2025,2.4,0.4, ,17.2,4.8,87,48,4.87,11.75
EAST SALE AIRPORT,06/08/2025,1.7,0.2, ,14.9,2.2,94,57,4.45,8.85
EAST SALE AIRPORT,07/08/2025,1.6,0.4, ,14.2,7.7,96,56,3.57,9.37
EAST SALE AIRPORT,08/08/2025,1.3,0.0, ,14.7,2.0,100,63,2.75,10.18
EAST SALE AIRPORT,09/08/2025,1.3,0.0, ,15.5,0.4,100,67,2.22,12.45
EAST SALE AIRPORT,10/08/2025,1.4,0.2, ,15.4,0.8,100,56,1.94,11.60
EAST SALE AIRPORT,11/08/2025,1.4,0.2, ,15.3,1.5,100,64,2.44,12.44
EAST SALE AIRPORT,12/08/2025,1.5,0.2, ,16.4,0.8,100,51,1.75,11.94
EAST SALE AIRPORT,13/08/2025,1.7,2.2, ,15.5,4.6,99,62,4.26,12.43
EAST SALE AIRPORT,14/08/2025,1.6,0.0, ,15.8,3.1,100,57,2.65,13.12
EAST SALE AIRPORT,15/08/2025,1.5,0.0, ,15.5,1.0,100,55,2.66,5.89
EAST SALE AIRPORT,16/08/2025,1.4,0.2, ,12.2,0.6,100,63,4.52,9.51
EAST SALE AIRPORT,17/08/2025,1.4,0.4, ,13.3,2.5,98,61,2.62,10.34
EAST SALE AIRPORT,18/08/2025,1.7,0.4, ,13.5,2.4,100,42,2.47,12.55
EAST SALE AIRPORT,19/08/2025,1.8,0.0, ,14.1,-2.4,100,47,2.86,13.70
EAST SALE AIRPORT,20/08/2025,1.7,0.0, ,15.7,1.5,100,56,2.46,13.82
EAST SALE AIRPORT,21/08/2025,1.7,0.0, ,17.4,0.9,100,68,3.10,14.11
EAST SALE AIRPORT,22/08/2025,1.5,0.4, ,17.9,4.7,100,61,1.87,8.93
EAST SALE AIRPORT,23/08/2025,1.6,0.0, ,15.6,7.5,94,65,3.70,7.23
EAST SALE AIRPORT,24/08/2025,1.8,0.2, ,16.5,2.2,100,54,2.40,12.98
EAST SALE AIRPORT,25/08/2025,1.7,0.0, ,17.6,3.6,100,63,1.68,13.37
EAST SALE AIRPORT,26/08/2025, ,0.2, , ,8.8,100,45,3.04,5.10
EAST SALE AIRPORT,27/08/2025,3.1, , ,17.9,9.3,100,43,7.37,13.61
EAST SALE AIRPORT,28/08/2025,2.7,5.2, ,15.0,8.3,89,51,7.33,13.82
EAST SALE AIRPORT,29/08/2025,3.0,0.8, ,16.8,5.3,85,45,6.52,11.65
EAST SALE AIRPORT,30/08/2025,2.5,3.8, ,13.4,6.1,95,47,7.49,12.54
EAST SALE AIRPORT,31/08/2025,2.6,0.0, ,16.6,8.2,95,56,6.15,14.81
Totals:,,52.3,18, ,,,,,, 
