'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EAST SALE AIRPORT Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EAST SALE AIRPORT,01/09/2025,2.4,1.2, ,16.9,7.9,97,53,4.53,14.35
EAST SALE AIRPORT,02/09/2025,3.0,0.2, ,18.0,3.7,97,36,4.26,14.21
EAST SALE AIRPORT,03/09/2025,4.6,0.0, ,21.5,8.2,84,31,6.99,14.80
EAST SALE AIRPORT,04/09/2025,3.2,0.0, ,17.5,7.2,86,43,6.31,12.49
EAST SALE AIRPORT,05/09/2025,2.3,0.8, ,14.7,1.4,98,46,3.64,14.93
EAST SALE AIRPORT,06/09/2025,3.1,0.2, ,20.6,-0.6,100,30,2.69,16.60
EAST SALE AIRPORT,07/09/2025,3.0,0.0, ,23.9,7.1,95,40,3.44,7.76
EAST SALE AIRPORT,08/09/2025,4.8,0.0, ,23.8,10.7,88,28,5.85,17.02
EAST SALE AIRPORT,09/09/2025,3.7,0.0, ,17.4,11.5,78,49,7.40,16.95
EAST SALE AIRPORT,10/09/2025,1.7,0.0, ,14.1,2.9,97,62,3.17,9.89
EAST SALE AIRPORT,11/09/2025,2.4,0.0, ,16.0,7.2,98,53,4.70,13.75
EAST SALE AIRPORT,12/09/2025,2.3,1.0, ,16.7,3.3,97,59,4.96,12.37
EAST SALE AIRPORT,13/09/2025,3.1,0.2, ,19.8,9.9,95,52,4.81,17.11
EAST SALE AIRPORT,14/09/2025,3.7,0.0, ,23.0,4.7,100,32,3.35,18.05
EAST SALE AIRPORT,15/09/2025,5.4,0.0, ,27.5,6.5,86,18,4.14,18.25
EAST SALE AIRPORT,16/09/2025,3.1,0.6, ,15.6,14.2,93,27,6.23,5.36
EAST SALE AIRPORT,17/09/2025,3.7,3.4, ,17.4,6.0,95,38,7.40,17.93
EAST SALE AIRPORT,18/09/2025,3.4,0.0, ,20.0,1.4,98,31,3.11,18.45
EAST SALE AIRPORT,19/09/2025,5.2,0.0, ,25.0,4.8,84,28,6.14,12.63
EAST SALE AIRPORT,20/09/2025,3.2,1.2, ,15.3,6.4,89,46,7.82,15.65
EAST SALE AIRPORT,21/09/2025,3.3,0.0, ,18.5,9.3,91,45,6.66,11.58
EAST SALE AIRPORT,22/09/2025,2.5,5.4, ,14.0,5.8,94,53,6.38,13.59
EAST SALE AIRPORT,23/09/2025,3.2,5.2, ,17.5,6.4,95,52,6.95,17.70
EAST SALE AIRPORT,24/09/2025,3.2,0.0, ,17.2,11.2,94,46,6.93,13.39
EAST SALE AIRPORT,25/09/2025,3.2,0.8, ,18.0,9.3,97,49,7.86,12.82
EAST SALE AIRPORT,26/09/2025,5.0,0.0, ,22.8,9.3,94,32,7.41,16.43
EAST SALE AIRPORT,27/09/2025,4.2,0.2, ,20.6,7.8,89,41,5.58,20.85
EAST SALE AIRPORT,28/09/2025,3.0,0.0, ,17.2,9.4,85,52,4.52,14.73
EAST SALE AIRPORT,29/09/2025,3.5,0.0, ,21.1,4.0,100,37,2.38,21.24
EAST SALE AIRPORT,30/09/2025,4.1,0.0, ,25.4,11.4,95,30,3.97,12.37
Totals:,,102.5,20.4, ,,,,,, 
