'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EDENHOPE AIRPORT Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EDENHOPE AIRPORT,01/08/2025, ,0.0, ,13.9, ,100,51,2.00,11.62
EDENHOPE AIRPORT,02/08/2025, ,0.2, , ,1.5,100,53,0.83,12.09
EDENHOPE AIRPORT,03/08/2025, ,0.0, ,15.7, ,100,48,3.56,12.21
EDENHOPE AIRPORT,04/08/2025,2.6,0.2, ,17.1,6.3,91,47,6.48,8.05
EDENHOPE AIRPORT,05/08/2025,1.5,4.4, ,14.1,6.1,100,63,4.28,11.40
EDENHOPE AIRPORT,06/08/2025, ,2.8, , ,6.7,100,59,2.26,10.00
EDENHOPE AIRPORT,07/08/2025, ,0.0, , , ,100,51,1.15,9.38
EDENHOPE AIRPORT,08/08/2025, ,0.0, , , ,100,58,2.45,12.64
EDENHOPE AIRPORT,09/08/2025, ,0.2, ,16.8, ,100,49,2.41,10.82
EDENHOPE AIRPORT,10/08/2025, ,0.0, , ,8.8,100,53,2.77,12.45
EDENHOPE AIRPORT,11/08/2025,2.4,0.0, ,18.3,7.7,82,49,3.62,12.51
EDENHOPE AIRPORT,12/08/2025,1.6,7.6, ,16.0,9.8,100,60,2.68,10.82
EDENHOPE AIRPORT,13/08/2025,1.4,1.0, ,15.5,3.6,100,51,1.10,13.49
EDENHOPE AIRPORT,14/08/2025,2.1,0.2, ,16.7,2.9,100,48,3.75,13.51
EDENHOPE AIRPORT,15/08/2025,1.9,1.8, ,13.1,8.9,100,55,5.74,10.87
EDENHOPE AIRPORT,16/08/2025,1.3,4.0, ,10.8,2.9,100,63,2.79,11.39
EDENHOPE AIRPORT,17/08/2025,1.2,9.4, ,11.5,6.2,100,68,1.92,9.76
EDENHOPE AIRPORT,18/08/2025,1.5,0.4, ,12.2,4.1,100,54,2.49,11.34
EDENHOPE AIRPORT,19/08/2025,1.3,0.0, ,12.4,-0.8,100,54,1.16,14.17
EDENHOPE AIRPORT,20/08/2025,2.3,0.2, ,17.4,2.2,91,47,3.19,14.51
EDENHOPE AIRPORT,21/08/2025,2.8,0.0, ,18.4,7.0,81,47,4.16,14.14
EDENHOPE AIRPORT,22/08/2025,2.0,0.0, ,16.8,11.2,100,48,3.33,9.17
EDENHOPE AIRPORT,23/08/2025, ,0.0, , ,8.6,100,50,1.57,13.72
EDENHOPE AIRPORT,24/08/2025, ,0.0, , ,3.5,99,48,2.00,15.14
EDENHOPE AIRPORT,25/08/2025,2.3,0.2, ,16.4,8.5,77,50,4.02,7.68
EDENHOPE AIRPORT,26/08/2025,2.4,2.4, ,16.8,10.7,99,50,4.93,11.53
EDENHOPE AIRPORT,27/08/2025,2.0,2.8, ,13.2,8.5,100,59,7.13,11.82
EDENHOPE AIRPORT,28/08/2025,1.7,11.4, ,13.6,7.4,100,66,5.19,12.26
EDENHOPE AIRPORT,29/08/2025,1.4,6.2, ,9.4,7.5,100,69,7.99,9.32
EDENHOPE AIRPORT,30/08/2025,1.7,13.4, ,12.3,4.6,100,62,4.37,12.16
EDENHOPE AIRPORT,31/08/2025,1.6,0.6, ,14.0,7.7,100,70,3.32,12.77
Totals:,,39,69.4, ,,,,,, 
