'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EDENHOPE AIRPORT Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EDENHOPE AIRPORT,01/09/2025, ,0.2, , ,5.7,100,64,1.89,14.29
EDENHOPE AIRPORT,02/09/2025, ,1.0, , , ,100,58,4.01,14.25
EDENHOPE AIRPORT,03/09/2025, ,0.6, , , ,100,60,3.97,12.81
EDENHOPE AIRPORT,04/09/2025, ,1.8, ,13.3, ,100,56,3.02,13.12
EDENHOPE AIRPORT,05/09/2025, ,2.0, , ,0.3,100,45,2.31,16.14
EDENHOPE AIRPORT,06/09/2025,3.1,0.0, ,18.9,6.9,69,50,5.12,9.82
EDENHOPE AIRPORT,07/09/2025,3.0,4.6, ,21.7,11.1,100,50,5.74,9.42
EDENHOPE AIRPORT,08/09/2025,2.4,2.2, ,16.7,10.6,100,57,4.31,14.67
EDENHOPE AIRPORT,09/09/2025, ,0.2, , ,7.4,100,56,2.19,14.64
EDENHOPE AIRPORT,10/09/2025,1.8,0.2, ,13.8,4.7,100,65,2.90,12.79
EDENHOPE AIRPORT,11/09/2025,1.9,0.6, ,14.5,4.7,100,60,2.66,13.98
EDENHOPE AIRPORT,12/09/2025,2.1,0.0, ,15.8,4.8,100,60,2.48,15.04
EDENHOPE AIRPORT,13/09/2025, ,0.8, , ,5.8,100,53,1.57,17.32
EDENHOPE AIRPORT,14/09/2025, ,0.0, , , ,100,34,4.82,18.71
EDENHOPE AIRPORT,15/09/2025,4.8,0.0, ,24.5,11.2,84,29,5.79,12.94
EDENHOPE AIRPORT,16/09/2025,2.6,0.2, ,15.7,11.1,95,59,5.50,15.73
EDENHOPE AIRPORT,17/09/2025,2.3,2.8, ,13.9,4.8,95,52,3.00,16.41
EDENHOPE AIRPORT,18/09/2025, ,0.0, , ,3.5,96,37,3.98,19.12
EDENHOPE AIRPORT,19/09/2025, ,0.0, ,17.4, ,100,48,5.80,18.88
EDENHOPE AIRPORT,20/09/2025,2.1,6.4, ,13.6,4.9,100,62,4.56,13.78
EDENHOPE AIRPORT,21/09/2025,2.1,1.0, ,15.1,8.6,100,74,4.97,16.15
EDENHOPE AIRPORT,22/09/2025, ,1.2, , ,4.7,100,54,2.97,16.37
EDENHOPE AIRPORT,23/09/2025,1.8,0.0, ,14.8,5.4,100,72,3.27,12.16
EDENHOPE AIRPORT,24/09/2025,2.3,0.6, ,16.7,10.2,100,67,4.51,14.26
EDENHOPE AIRPORT,25/09/2025,2.0,0.6, ,15.4,10.2,100,67,4.28,10.97
EDENHOPE AIRPORT,26/09/2025,2.8,0.0, ,18.5,7.3,88,61,4.80,14.76
EDENHOPE AIRPORT,27/09/2025,2.3,0.0, ,14.9,6.1,100,62,3.35,16.50
EDENHOPE AIRPORT,28/09/2025,2.4,0.8, ,16.2,6.6,100,52,0.92,17.73
EDENHOPE AIRPORT,29/09/2025,2.8,0.0, ,20.3,6.7,100,47,3.46,11.83
EDENHOPE AIRPORT,30/09/2025,2.5,12.0, ,15.9,11.6,100,63,4.28,16.67
Totals:,,47.1,39.8, ,,,,,, 
