'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EILDON FIRE TOWER Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EILDON FIRE TOWER,01/08/2025,1.5,0.0, ,11.5,2.5,86,53,3.26,11.88
EILDON FIRE TOWER,02/08/2025,2.0,0.0, ,15.0,4.3,83,51,4.16,12.00
EILDON FIRE TOWER,03/08/2025,2.0,0.0, ,14.8,4.7,86,24,2.42,12.07
EILDON FIRE TOWER,04/08/2025,2.1,0.0, ,15.4,6.0,81,60,5.60,10.81
EILDON FIRE TOWER,05/08/2025,1.3,3.8, ,10.6,6.5,97,69,4.99,11.01
EILDON FIRE TOWER,06/08/2025,1.0,0.0, ,10.2,5.9,97,76,4.21,8.19
EILDON FIRE TOWER,07/08/2025,1.5,0.8, ,11.2,2.6,80,61,2.87,12.61
EILDON FIRE TOWER,08/08/2025,1.7,0.0, ,14.0,2.7,87,55,3.03,12.73
EILDON FIRE TOWER,09/08/2025,1.7,0.0, ,13.8,5.2,80,58,2.92,12.86
EILDON FIRE TOWER,10/08/2025,1.8,0.0, ,14.0,5.7,87,55,3.19,12.99
EILDON FIRE TOWER,11/08/2025,1.9,0.0, ,14.6,5.1,76,52,2.87,13.08
EILDON FIRE TOWER,12/08/2025,1.2,0.0, ,11.5,4.4,97,65,2.99,7.03
EILDON FIRE TOWER,13/08/2025,1.3,4.0, ,11.5,5.6,98,67,2.94,11.23
EILDON FIRE TOWER,14/08/2025,2.1,0.0, ,14.4,3.4,88,35,2.85,13.54
EILDON FIRE TOWER,15/08/2025,1.4,0.0, ,11.3,5.6,97,66,4.93,7.94
EILDON FIRE TOWER,16/08/2025,1.2,5.0, ,7.4,3.1,98,68,4.60,11.05
EILDON FIRE TOWER,17/08/2025,1.0,0.2, ,7.6,1.9,95,70,1.58,9.06
EILDON FIRE TOWER,18/08/2025,1.6,0.2, ,10.4,1.2,93,57,2.99,14.08
EILDON FIRE TOWER,19/08/2025,2.0,0.2, ,13.0,1.1,82,42,2.96,14.13
EILDON FIRE TOWER,20/08/2025,2.7,0.0, ,15.7,3.9,73,34,3.47,14.40
EILDON FIRE TOWER,21/08/2025,2.4,0.0, ,17.0,6.8,64,40,2.45,13.49
EILDON FIRE TOWER,22/08/2025,1.5,0.0, ,13.7,8.8,90,63,2.67,7.42
EILDON FIRE TOWER,23/08/2025,1.9,0.0, ,13.3,7.2,98,58,3.76,14.27
EILDON FIRE TOWER,24/08/2025,2.4,0.0, ,14.1,3.3,77,47,3.73,15.02
EILDON FIRE TOWER,25/08/2025,2.1,0.0, ,16.4,4.0,91,51,2.85,13.80
EILDON FIRE TOWER,26/08/2025,1.9,0.6, ,13.9,8.7,97,52,4.99,7.14
EILDON FIRE TOWER,27/08/2025,1.2,18.8, ,9.0,6.2,98,75,7.99,6.77
EILDON FIRE TOWER,28/08/2025,1.2,3.8, ,9.7,3.3,98,76,7.15,8.52
EILDON FIRE TOWER,29/08/2025,0.9,7.2, ,7.5,4.6,98,81,7.60,5.80
EILDON FIRE TOWER,30/08/2025,1.7,10.0, ,7.8,1.8,98,60,7.96,13.44
EILDON FIRE TOWER,31/08/2025,1.3,1.0, ,10.4,2.8,98,74,4.45,10.74
Totals:,,51.5,55.6, ,,,,,, 
