'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EILDON FIRE TOWER Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EILDON FIRE TOWER,01/09/2025,1.7,0.4, ,11.8,4.8,98,64,2.68,13.40
EILDON FIRE TOWER,02/09/2025,1.7,0.2, ,12.5,4.1,98,57,2.85,10.62
EILDON FIRE TOWER,03/09/2025,2.2,0.2, ,14.4,4.6,92,55,4.92,11.70
EILDON FIRE TOWER,04/09/2025,1.7,2.4, ,10.0,6.0,94,65,5.89,11.10
EILDON FIRE TOWER,05/09/2025,2.5,1.8, ,13.6,1.6,90,40,3.29,16.89
EILDON FIRE TOWER,06/09/2025,3.0,0.0, ,16.4,4.0,74,52,5.16,16.45
EILDON FIRE TOWER,07/09/2025,2.1,0.2, ,15.2,9.0,97,59,7.64,5.46
EILDON FIRE TOWER,08/09/2025,2.5,5.8, ,15.2,10.6,91,57,4.86,14.60
EILDON FIRE TOWER,09/09/2025,2.4,0.0, ,14.2,6.7,84,59,4.08,15.45
EILDON FIRE TOWER,10/09/2025,1.8,0.0, ,11.4,3.8,89,58,3.29,10.86
EILDON FIRE TOWER,11/09/2025,2.3,0.0, ,12.4,4.2,91,59,4.81,16.77
EILDON FIRE TOWER,12/09/2025,1.4,0.0, ,11.3,4.6,97,77,3.56,11.22
EILDON FIRE TOWER,13/09/2025,1.9,0.2, ,14.2,6.2,98,64,2.75,13.34
EILDON FIRE TOWER,14/09/2025,2.7,0.0, ,16.0,8.6,82,52,4.01,13.47
EILDON FIRE TOWER,15/09/2025,3.9,0.0, ,18.7,8.6,81,44,6.48,18.79
EILDON FIRE TOWER,16/09/2025,2.2,4.6, ,9.3,9.0,95,38,6.88,5.40
EILDON FIRE TOWER,17/09/2025,2.1,4.6, ,10.3,4.9,89,60,5.27,13.92
EILDON FIRE TOWER,18/09/2025,2.3,0.0, ,13.8,4.0,90,55,2.89,15.62
EILDON FIRE TOWER,19/09/2025,3.4,0.2, ,16.4,7.2,75,48,6.56,15.12
EILDON FIRE TOWER,20/09/2025,2.0,0.2, ,9.3,3.2,94,57,6.65,12.82
EILDON FIRE TOWER,21/09/2025,1.2,0.0, ,9.6,4.3,98,78,4.85,8.33
EILDON FIRE TOWER,22/09/2025,1.6,5.0, ,8.5,3.9,96,73,6.88,14.97
EILDON FIRE TOWER,23/09/2025,1.5,1.8, ,10.5,4.0,98,75,3.05,11.40
EILDON FIRE TOWER,24/09/2025,1.3,0.0, ,10.6,6.1,94,80,4.62,7.30
EILDON FIRE TOWER,25/09/2025,1.5,0.2, ,11.2,6.6,97,74,4.45,8.99
EILDON FIRE TOWER,26/09/2025,2.5,0.0, ,16.9,7.4,88,45,3.90,8.10
EILDON FIRE TOWER,27/09/2025,2.9,0.0, ,14.8,7.7,92,51,3.65,19.72
EILDON FIRE TOWER,28/09/2025,2.8,0.0, ,13.6,5.5,94,53,4.20,19.56
EILDON FIRE TOWER,29/09/2025,3.2,0.0, ,17.4,4.4,89,52,3.26,21.30
EILDON FIRE TOWER,30/09/2025,3.2,0.0, ,16.9,10.0,83,47,5.78,11.29
Totals:,,67.5,27.8, ,,,,,, 
