'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EILDON FIRE TOWER Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EILDON FIRE TOWER,01/10/2025,1.9,1.6, ,11.4,5.7,89,68,5.62,11.50
EILDON FIRE TOWER,02/10/2025,1.8,2.4, ,8.8,4.5,97,61,7.56,9.99
EILDON FIRE TOWER,03/10/2025,1.9,1.4, ,12.9,5.8,93,73,4.94,13.28
EILDON FIRE TOWER,04/10/2025,3.3,0.0, ,19.6,7.0,98,52,2.21,21.26
EILDON FIRE TOWER,05/10/2025,4.8,0.0, ,22.7,10.6,75,28,4.81,15.95
EILDON FIRE TOWER,06/10/2025,2.4,5.4, ,11.7,6.5,97,55,5.39,14.89
EILDON FIRE TOWER,07/10/2025,2.8,0.0, ,14.1,5.0,90,53,3.71,18.88
EILDON FIRE TOWER,08/10/2025,3.0,0.0, ,18.8,7.3,73,54,3.48,13.21
EILDON FIRE TOWER,09/10/2025,3.6,0.0, ,16.4,9.5,80,48,5.21,18.76
EILDON FIRE TOWER,10/10/2025,4.2,0.0, ,18.1,9.2,70,43,5.93,18.18
EILDON FIRE TOWER,11/10/2025,3.3,0.0, ,15.8,8.2,84,51,5.38,18.02
EILDON FIRE TOWER,12/10/2025,2.6,0.0, ,14.2,6.8,97,55,5.30,14.07
EILDON FIRE TOWER,13/10/2025,2.9,3.4, ,13.4,2.7,95,54,3.40,22.70
EILDON FIRE TOWER,14/10/2025,3.4,0.0, ,16.9,5.5,76,52,3.06,21.50
Totals:,,41.9,14.2, ,,,,,, 
