'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESSENDON AIRPORT Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESSENDON AIRPORT,01/08/2025,1.2,0.0, ,12.8,2.9,97,62,2.67,11.12
ESSENDON AIRPORT,02/08/2025,1.2,0.0, ,13.7,6.4,96,62,2.06,10.93
ESSENDON AIRPORT,03/08/2025,1.8,0.0, ,19.3,1.8,95,29,1.76,11.88
ESSENDON AIRPORT,04/08/2025,2.6,0.0, ,17.3,6.6,82,55,7.04,7.93
ESSENDON AIRPORT,05/08/2025, ,1.8, , ,9.4,84,42,5.86,11.61
ESSENDON AIRPORT,06/08/2025,1.9, , ,15.0,9.1,88,58,4.86,9.60
ESSENDON AIRPORT,07/08/2025,1.6,0.2, ,13.5,5.2,85,53,2.91,9.89
ESSENDON AIRPORT,08/08/2025,1.3,0.0, ,14.5,6.6,98,68,2.94,9.74
ESSENDON AIRPORT,09/08/2025,1.7,0.4, ,16.4,5.2,98,56,2.86,12.62
ESSENDON AIRPORT,10/08/2025,1.8,0.0, ,18.1,2.0,95,46,2.18,12.76
ESSENDON AIRPORT,11/08/2025,2.3,0.0, ,17.8,2.3,93,38,3.24,12.89
ESSENDON AIRPORT,12/08/2025,1.9,0.0, ,14.2,5.0,94,53,4.95,8.16
ESSENDON AIRPORT,13/08/2025,1.7,9.2, ,14.8,6.3,93,56,3.25,11.54
ESSENDON AIRPORT,14/08/2025,2.7,0.2, ,18.4,5.2,93,33,3.65,13.31
ESSENDON AIRPORT,15/08/2025,2.1,0.0, ,14.8,9.8,93,56,7.57,5.19
ESSENDON AIRPORT,16/08/2025,2.0,4.6, ,12.4,5.9,88,50,4.71,12.22
ESSENDON AIRPORT,17/08/2025,1.8,0.6, ,13.0,4.2,82,58,3.76,10.92
ESSENDON AIRPORT,18/08/2025,1.6,0.0, ,12.1,5.1,90,52,3.09,8.31
ESSENDON AIRPORT,19/08/2025,2.1,0.0, ,16.3,0.5,91,38,2.39,13.90
ESSENDON AIRPORT,20/08/2025, ,0.0, , ,1.4,88,34,2.38,14.19
ESSENDON AIRPORT,21/08/2025, , , ,20.7, ,88,35,2.03,14.34
ESSENDON AIRPORT,22/08/2025,2.7,0.0, ,19.2,9.3,82,54,4.66,11.62
ESSENDON AIRPORT,23/08/2025,2.3,0.0, ,14.9,8.6,87,48,3.89,12.30
ESSENDON AIRPORT,24/08/2025,2.1,0.0, ,14.8,4.7,90,53,3.38,14.74
ESSENDON AIRPORT,25/08/2025,2.8,0.2, ,17.8,2.8,97,36,4.55,11.18
ESSENDON AIRPORT,26/08/2025,3.0,0.0, ,15.3,10.4,91,43,9.82,5.09
ESSENDON AIRPORT,27/08/2025,2.8,5.6, ,15.6,9.4,93,48,8.57,10.70
ESSENDON AIRPORT,28/08/2025,3.3,0.0, ,16.2,8.8,78,44,7.06,11.95
ESSENDON AIRPORT,29/08/2025,2.4,0.0, ,13.5,8.5,85,56,8.08,8.65
ESSENDON AIRPORT,30/08/2025,2.0,14.2, ,11.9,5.2,93,61,8.17,11.89
ESSENDON AIRPORT,31/08/2025,2.5,1.6, ,17.6,5.8,93,47,4.28,10.07
Totals:,,59.2,38.6, ,,,,,, 
