'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESSENDON AIRPORT Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESSENDON AIRPORT,01/09/2025,2.3,0.4, ,16.4,7.4,92,50,3.64,11.52
ESSENDON AIRPORT,02/09/2025,2.8,0.0, ,16.6,8.7,87,49,6.03,12.07
ESSENDON AIRPORT,03/09/2025,4.1,0.0, ,18.8,10.4,77,35,7.17,12.60
ESSENDON AIRPORT,04/09/2025,2.9,0.4, ,15.6,9.3,87,49,6.63,12.73
ESSENDON AIRPORT,05/09/2025,2.6,1.4, ,14.7,2.3,90,36,3.14,16.61
ESSENDON AIRPORT,06/09/2025,4.0,0.0, ,21.1,2.3,91,35,5.69,16.37
ESSENDON AIRPORT,07/09/2025,3.6,0.0, ,19.0,13.1,86,49,10.08,8.98
ESSENDON AIRPORT,08/09/2025,3.5,1.6, ,19.5,11.9,88,45,6.42,14.39
ESSENDON AIRPORT,09/09/2025,2.5,0.0, ,17.2,10.5,95,52,3.79,13.38
ESSENDON AIRPORT,10/09/2025,1.8,0.2, ,13.4,5.9,92,62,4.16,9.62
ESSENDON AIRPORT,11/09/2025,2.2,3.6, ,14.8,8.1,96,54,4.23,12.14
ESSENDON AIRPORT,12/09/2025,2.6,2.2, ,17.3,5.5,89,55,4.54,13.06
ESSENDON AIRPORT,13/09/2025,2.1,0.4, ,17.2,10.7,93,63,2.81,11.45
ESSENDON AIRPORT,14/09/2025,4.4,0.2, ,21.3,9.4,82,39,6.50,18.19
ESSENDON AIRPORT,15/09/2025,6.5,0.0, ,23.8,12.3,62,31,9.64,17.76
ESSENDON AIRPORT,16/09/2025,3.8,0.0, ,18.6,14.8,90,34,7.41,9.06
ESSENDON AIRPORT,17/09/2025,3.4,0.8, ,16.0,9.2,72,40,5.81,12.36
ESSENDON AIRPORT,18/09/2025,4.3,0.2, ,19.4,5.6,83,37,6.86,18.55
ESSENDON AIRPORT,19/09/2025,6.3,0.0, ,22.7,12.1,82,23,10.58,16.34
ESSENDON AIRPORT,20/09/2025,3.4,0.0, ,15.6,7.3,77,41,6.44,13.74
ESSENDON AIRPORT,21/09/2025,2.5,0.0, ,16.5,9.9,89,54,6.05,6.63
ESSENDON AIRPORT,22/09/2025,3.1,2.0, ,14.8,6.5,85,46,6.42,15.76
ESSENDON AIRPORT,23/09/2025,3.2,0.4, ,18.2,7.4,87,50,5.07,15.82
ESSENDON AIRPORT,24/09/2025,2.7,0.0, ,18.2,11.9,95,55,4.92,12.32
ESSENDON AIRPORT,25/09/2025,2.6,2.0, ,17.0,10.8,84,52,4.94,7.70
ESSENDON AIRPORT,26/09/2025,5.1,0.0, ,24.1,12.5,86,27,6.97,9.53
ESSENDON AIRPORT,27/09/2025,4.2,0.4, ,19.3,8.2,80,34,5.24,18.85
ESSENDON AIRPORT,28/09/2025,3.2,0.2, ,16.6,9.0,82,44,3.44,18.00
ESSENDON AIRPORT,29/09/2025,4.6,0.0, ,22.5,5.3,88,35,5.05,20.38
ESSENDON AIRPORT,30/09/2025,3.3,0.6, ,21.5,13.1,85,45,4.88,8.21
Totals:,,103.6,17, ,,,,,, 
