'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FALLS CREEK Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FALLS CREEK,01/08/2025,0.5,3.0, ,0.0,-4.6,99,98,4.50,11.75
FALLS CREEK,02/08/2025,0.4,0.0, ,3.7,-3.5,99,99,6.55,11.64
FALLS CREEK,03/08/2025,1.4,0.4, ,6.9,-1.4,99,35,2.54,12.21
FALLS CREEK,04/08/2025,1.0,0.0, ,4.2,0.9,99,70,10.40,10.64
FALLS CREEK,05/08/2025,0.3,12.8, ,0.3,-0.4,99,98,10.21,6.38
FALLS CREEK,06/08/2025,0.3,1.0, ,0.2,-3.0,99,99,6.04,5.97
FALLS CREEK,07/08/2025,1.2,6.8, ,4.8,-4.1,99,32,1.62,12.98
FALLS CREEK,08/08/2025,1.7,0.0, ,5.0,-1.3,90,11,2.88,13.07
FALLS CREEK,09/08/2025,1.3,0.0, ,5.3,-0.9,99,49,3.14,13.16
FALLS CREEK,10/08/2025,1.4,0.0, ,4.8,-2.3,99,44,3.45,13.23
FALLS CREEK,11/08/2025,1.2,0.0, ,4.8,-1.7,91,37,1.25,13.11
FALLS CREEK,12/08/2025,1.0,0.0, ,2.8,-1.5,99,68,3.83,13.45
FALLS CREEK,13/08/2025,0.9,0.4, ,4.4,-0.4,99,76,3.92,9.73
FALLS CREEK,14/08/2025,1.8,0.2, ,7.0,-3.3,99,41,5.23,13.88
FALLS CREEK,15/08/2025,0.5,0.0, ,0.5,-0.4,99,93,11.08,8.79
FALLS CREEK,16/08/2025,0.5,12.6, ,-1.7,-4.6,99,95,5.64,8.70
FALLS CREEK,17/08/2025,0.6,4.8, ,-0.2,-5.4,99,88,3.65,9.45
FALLS CREEK,18/08/2025,0.9,0.8, ,1.3,-7.0,99,79,3.53,14.21
FALLS CREEK,19/08/2025,1.5,0.4, ,4.9,-6.2,80,30,2.15,14.33
FALLS CREEK,20/08/2025,1.6,0.0, ,6.7,-0.6,99,40,2.80,14.69
FALLS CREEK,21/08/2025,1.4,0.0, ,6.9,-1.1,99,58,3.23,12.68
FALLS CREEK,22/08/2025,0.7,0.4, ,3.2,1.7,99,91,6.63,11.26
FALLS CREEK,23/08/2025,1.3,0.0, ,4.6,0.4,99,62,4.91,13.10
FALLS CREEK,24/08/2025,1.8,0.0, ,5.2,-5.4,99,35,5.29,14.35
FALLS CREEK,25/08/2025,2.0,0.0, ,7.7,-2.3,99,40,4.83,15.54
FALLS CREEK,26/08/2025,1.1,0.0, ,3.9,2.1,99,68,11.59,8.48
FALLS CREEK,27/08/2025,0.3,38.4, ,-0.3,-2.3,99,99,11.13,4.49
FALLS CREEK,28/08/2025,0.3,15.8, ,-1.2,-2.8,99,99,10.54,6.80
FALLS CREEK,29/08/2025,0.3,13.0, ,-0.5,-2.5,99,98,10.93,5.09
FALLS CREEK,30/08/2025,0.5,4.0, ,0.3,-5.4,99,94,11.21,13.20
FALLS CREEK,31/08/2025,0.6,24.8, ,1.1,-5.4,99,93,6.55,11.20
Totals:,,30.3,139.6, ,,,,,, 
