'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FALLS CREEK Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FALLS CREEK,01/09/2025,0.8,18.4, ,2.0,-2.2,99,96,4.14,13.03
FALLS CREEK,02/09/2025,0.5,7.8, ,-0.3,-2.0,99,97,7.69,8.57
FALLS CREEK,03/09/2025,0.3,0.2, ,1.8,-2.1,99,99,11.80,6.46
FALLS CREEK,04/09/2025,0.4,0.0, ,-0.3,-1.6,99,99,8.69,5.97
FALLS CREEK,05/09/2025,1.6,0.0, ,2.0,-7.6,98,39,4.25,15.61
FALLS CREEK,06/09/2025,1.8,2.2, ,6.0,-5.3,86,57,7.70,16.50
FALLS CREEK,07/09/2025,1.0,1.4, ,6.4,1.0,99,84,12.25,11.89
FALLS CREEK,08/09/2025,1.8,21.6, ,6.2,3.6,99,55,11.02,14.26
FALLS CREEK,09/09/2025,1.6,0.2, ,4.7,-0.6,99,65,6.37,17.95
FALLS CREEK,10/09/2025,1.3,0.0, ,0.5,-3.7,99,51,6.01,10.98
FALLS CREEK,11/09/2025,1.3,0.6, ,2.1,-3.5,99,68,7.32,16.95
FALLS CREEK,12/09/2025,1.9,0.2, ,5.1,-3.8,99,43,3.07,18.53
FALLS CREEK,13/09/2025,1.9,0.0, ,6.6,-1.0,99,59,2.93,18.70
FALLS CREEK,14/09/2025,0.8,0.0, ,3.1,0.2,99,90,9.32,11.23
FALLS CREEK,15/09/2025,1.8,0.0, ,6.6,1.1,99,63,11.34,19.30
FALLS CREEK,16/09/2025,1.1,3.2, ,3.8,2.9,99,69,10.64,5.09
FALLS CREEK,17/09/2025,0.6,54.2, ,-1.0,-2.6,99,98,8.30,11.40
FALLS CREEK,18/09/2025,1.0,1.4, ,3.3,-3.4,99,91,5.81,15.96
FALLS CREEK,19/09/2025,1.2,0.0, ,4.7,-1.5,99,72,9.62,11.16
FALLS CREEK,20/09/2025,0.9,9.8, ,-0.4,-4.2,99,86,8.64,15.49
FALLS CREEK,21/09/2025,0.5,3.6, ,1.8,-3.7,99,99,8.69,8.79
FALLS CREEK,22/09/2025,1.3,14.6, ,1.3,-3.9,99,69,7.35,17.65
FALLS CREEK,23/09/2025,1.4,0.4, ,5.0,-4.2,99,78,6.95,18.73
FALLS CREEK,24/09/2025,1.4,0.2, ,2.7,-0.9,99,59,5.73,12.57
FALLS CREEK,25/09/2025,0.8,4.0, ,2.7,0.4,99,99,8.06,13.46
FALLS CREEK,26/09/2025,1.8,0.0, ,6.9,-0.1,99,64,9.34,16.32
FALLS CREEK,27/09/2025,1.9,0.0, ,6.6,-0.2,99,66,8.69,21.57
FALLS CREEK,28/09/2025,2.1,0.0, ,6.4,0.1,99,65,3.65,21.77
FALLS CREEK,29/09/2025,2.4,0.0, ,7.9,-0.4,99,53,4.05,22.00
FALLS CREEK,30/09/2025,2.1,0.0, ,8.4,2.5,93,52,10.37,7.99
Totals:,,39.3,144, ,,,,,, 
