'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FALLS CREEK Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FALLS CREEK,01/10/2025,0.7,1.8, ,0.7,-1.8,99,83,10.36,7.76
FALLS CREEK,02/10/2025,0.4,5.4, ,-0.1,-3.2,99,99,9.73,8.41
FALLS CREEK,03/10/2025,1.1,11.6, ,8.1,-3.0,99,83,7.50,9.83
FALLS CREEK,04/10/2025,3.3,0.0, ,11.4,-0.2,96,27,4.24,22.62
FALLS CREEK,05/10/2025,3.6,0.0, ,12.1,4.9,85,44,10.41,23.04
FALLS CREEK,06/10/2025,1.8,7.2, ,3.5,3.4,99,47,7.71,12.05
FALLS CREEK,07/10/2025,1.6,0.0, ,4.9,-3.1,99,78,8.48,22.97
FALLS CREEK,08/10/2025,1.9,0.0, ,7.8,-1.1,99,75,9.60,22.83
FALLS CREEK,09/10/2025,2.0,5.0, ,6.9,2.6,99,63,8.77,18.95
FALLS CREEK,10/10/2025,2.6,0.0, ,7.6,2.3,87,56,12.45,22.99
FALLS CREEK,11/10/2025,1.8,0.0, ,6.7,0.6,99,72,10.14,19.67
FALLS CREEK,12/10/2025,1.4,0.0, ,6.0,0.9,99,75,7.88,13.40
FALLS CREEK,13/10/2025,2.4,11.0, ,8.6,-3.8,99,64,4.97,24.48
FALLS CREEK,14/10/2025,2.7,0.2, ,9.9,-2.6,95,56,6.71,24.80
Totals:,,27.3,42.2, ,,,,,, 
