'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FERNY CREEK Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FERNY CREEK,01/08/2025,0.9,0.2, ,9.8,3.8,100,76,2.36,11.08
FERNY CREEK,02/08/2025,1.0,0.2, ,12.8,3.9,100,71,1.66,10.70
FERNY CREEK,03/08/2025,1.2,0.2, ,16.0,6.4,100,38,0.91,11.82
FERNY CREEK,04/08/2025,2.2,0.0, ,14.2,8.6,75,45,4.06,9.70
FERNY CREEK,05/08/2025,1.2,5.0, ,12.9,6.5,100,59,2.06,8.64
FERNY CREEK,06/08/2025,0.9,1.6, ,10.5,6.5,100,71,1.45,7.49
FERNY CREEK,07/08/2025,0.7,0.2, ,8.7,3.5,100,70,0.44,7.31
FERNY CREEK,08/08/2025,1.0,0.2, ,10.7,5.0,100,78,2.60,12.32
FERNY CREEK,09/08/2025, ,0.2, , ,3.2,100,52,0.66,12.51
FERNY CREEK,10/08/2025,1.4,0.2, ,15.1,6.9,89,40,1.06,12.69
FERNY CREEK,11/08/2025,1.3,0.0, ,13.9,6.9,83,43,0.79,12.83
FERNY CREEK,12/08/2025,1.3,0.0, ,11.9,7.5,100,54,1.94,8.80
FERNY CREEK,13/08/2025,0.9,10.8, ,10.4,4.8,100,81,0.74,8.37
FERNY CREEK,14/08/2025,1.6,0.4, ,15.1,5.4,100,41,1.61,13.20
FERNY CREEK,15/08/2025,1.1,0.0, ,10.6,7.6,100,63,3.21,5.03
FERNY CREEK,16/08/2025,1.1,14.6, ,9.1,3.4,100,59,1.13,10.27
FERNY CREEK,17/08/2025,1.2,0.4, ,10.1,2.1,100,58,1.27,11.30
FERNY CREEK,18/08/2025,1.0,0.2, ,9.1,2.8,86,63,1.13,7.75
FERNY CREEK,19/08/2025,1.5,0.0, ,13.6,1.9,87,43,1.00,13.86
FERNY CREEK,20/08/2025,1.8,0.0, ,15.0,6.3,62,35,1.17,14.13
FERNY CREEK,21/08/2025,1.7,0.0, ,17.4,8.5,60,41,0.78,14.21
FERNY CREEK,22/08/2025,1.6,0.0, ,14.5,10.3,91,56,1.86,9.99
FERNY CREEK,23/08/2025,1.3,0.0, ,12.6,7.4,100,62,1.19,9.93
FERNY CREEK,24/08/2025,1.7,0.2, ,12.5,4.8,95,60,2.27,14.73
FERNY CREEK,25/08/2025,1.9,0.0, ,15.6,5.2,100,33,1.75,13.14
FERNY CREEK,26/08/2025,2.0,0.6, ,14.0,10.5,100,39,4.37,4.54
FERNY CREEK,27/08/2025,0.9,10.2, ,9.1,6.7,100,80,2.17,5.82
FERNY CREEK,28/08/2025,1.4,9.4, ,12.3,5.2,100,50,1.72,8.15
FERNY CREEK,29/08/2025,1.1,0.8, ,8.6,5.4,97,67,2.69,6.83
FERNY CREEK,30/08/2025,1.5,6.2, ,9.1,3.1,100,56,2.37,12.84
FERNY CREEK,31/08/2025,1.0,1.6, ,11.0,5.5,100,92,0.77,7.92
Totals:,,39.4,63.4, ,,,,,, 
