'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FERNY CREEK Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FERNY CREEK,01/09/2025,1.2,3.8, ,12.7,5.6,100,62,0.80,8.11
FERNY CREEK,02/09/2025,1.5,0.0, ,12.1,6.5,100,56,2.00,9.67
FERNY CREEK,03/09/2025,1.8,0.2, ,14.4,8.6,100,49,1.90,10.78
FERNY CREEK,04/09/2025,1.1,4.6, ,9.2,5.3,100,72,1.12,8.35
FERNY CREEK,05/09/2025,1.9,6.4, ,12.0,2.0,100,49,1.62,16.60
FERNY CREEK,06/09/2025,2.6,0.0, ,17.2,4.6,80,38,2.30,16.11
FERNY CREEK,07/09/2025,2.3,0.0, ,17.2,11.4,99,51,5.70,6.28
FERNY CREEK,08/09/2025,2.0,1.0, ,15.7,9.2,100,55,2.15,13.45
FERNY CREEK,09/09/2025,1.5,4.0, ,13.2,7.5,100,61,0.98,10.29
FERNY CREEK,10/09/2025,1.1,1.0, ,9.3,4.3,100,79,2.01,9.18
FERNY CREEK,11/09/2025,1.5,1.8, ,11.9,4.3,100,63,1.46,10.42
FERNY CREEK,12/09/2025,1.3,0.2, ,12.7,5.1,100,69,1.05,8.22
FERNY CREEK,13/09/2025,1.3,1.6, ,13.3,6.7,100,79,0.55,8.83
FERNY CREEK,14/09/2025,2.7,0.4, ,16.6,8.8,84,47,2.67,16.26
FERNY CREEK,15/09/2025,4.5,0.2, ,19.5,11.9,61,32,5.18,17.28
FERNY CREEK,16/09/2025,1.9,3.8, ,13.8,10.3,100,34,2.25,7.94
FERNY CREEK,17/09/2025,1.7,11.6, ,11.9,4.6,100,47,1.26,12.52
FERNY CREEK,18/09/2025,2.4,0.4, ,14.9,4.7,82,48,1.96,16.59
FERNY CREEK,19/09/2025,3.1,0.0, ,18.3,9.9,100,33,3.66,14.19
FERNY CREEK,20/09/2025,1.6,1.4, ,10.8,3.9,100,55,1.33,12.22
FERNY CREEK,21/09/2025,1.0,0.0, ,10.9,6.2,100,83,1.90,5.25
FERNY CREEK,22/09/2025,1.9,5.4, ,10.4,3.9,100,61,1.79,15.64
FERNY CREEK,23/09/2025,1.6,3.4, ,12.7,4.0,100,69,0.94,11.37
FERNY CREEK,24/09/2025,1.4,0.6, ,12.0,7.4,100,80,1.33,9.87
FERNY CREEK,25/09/2025,1.1,4.8, ,11.2,7.5,100,74,1.46,6.03
FERNY CREEK,26/09/2025,1.7,0.0, ,16.7,8.8,100,48,1.92,5.61
FERNY CREEK,27/09/2025,2.2,1.6, ,15.3,6.0,100,43,1.36,14.38
FERNY CREEK,28/09/2025,2.1,1.0, ,13.7,6.7,100,44,0.96,15.02
FERNY CREEK,29/09/2025,3.1,0.2, ,18.0,5.8,90,44,2.01,20.63
FERNY CREEK,30/09/2025,1.7,0.2, ,15.4,10.9,100,40,2.13,5.04
Totals:,,56.8,59.6, ,,,,,, 
