'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRANKSTON (BALLAM PARK) Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRANKSTON (BALLAM PARK),01/08/2025,1.1,0.0, ,13.6,4.4,100,64,1.85,9.80
FRANKSTON (BALLAM PARK),02/08/2025,1.2,0.0, ,16.3,5.4,100,60,1.68,10.92
FRANKSTON (BALLAM PARK),03/08/2025,1.1,0.2, ,18.8,4.1,100,29,0.51,11.68
FRANKSTON (BALLAM PARK),04/08/2025,1.8,0.0, ,18.4,6.5,88,51,2.54,9.59
FRANKSTON (BALLAM PARK),05/08/2025,1.5,2.8, ,15.7,9.2,97,60,3.02,10.42
FRANKSTON (BALLAM PARK),06/08/2025,1.3,1.0, ,13.9,8.9,100,58,2.21,9.87
FRANKSTON (BALLAM PARK),07/08/2025,0.9,0.2, ,12.9,6.9,93,66,0.44,8.66
FRANKSTON (BALLAM PARK),08/08/2025, ,0.0, , ,5.8,100,72,1.15,8.82
FRANKSTON (BALLAM PARK),09/08/2025, , , , , ,100,52,1.12,12.43
FRANKSTON (BALLAM PARK),10/08/2025,1.4, , ,17.8,4.2,100,48,1.09,12.56
FRANKSTON (BALLAM PARK),11/08/2025,1.6,0.0, ,18.3,4.7,100,41,1.53,12.60
FRANKSTON (BALLAM PARK),12/08/2025,1.4,0.0, ,16.4,6.2,100,50,1.59,8.51
FRANKSTON (BALLAM PARK),13/08/2025,1.2,8.4, ,15.4,5.9,100,61,0.86,11.12
FRANKSTON (BALLAM PARK),14/08/2025, ,0.2, , ,4.8,100,51,0.71,13.10
FRANKSTON (BALLAM PARK),15/08/2025, , , ,14.6, ,100,53,4.05,5.59
FRANKSTON (BALLAM PARK),16/08/2025,1.3,4.2, ,11.9,5.6,100,64,2.18,12.79
FRANKSTON (BALLAM PARK),17/08/2025,1.4,1.2, ,14.3,3.0,100,50,1.07,13.30
FRANKSTON (BALLAM PARK),18/08/2025,1.1,0.0, ,12.7,3.6,93,49,0.99,8.29
FRANKSTON (BALLAM PARK),19/08/2025,1.5,0.0, ,16.1,1.2,97,43,1.09,13.70
FRANKSTON (BALLAM PARK),20/08/2025,1.7,0.0, ,18.0,2.3,100,34,1.19,13.98
FRANKSTON (BALLAM PARK),21/08/2025,1.7,0.0, ,19.5,4.4,90,42,0.91,14.14
FRANKSTON (BALLAM PARK),22/08/2025,1.6,0.0, ,18.3,9.6,85,60,1.66,8.85
FRANKSTON (BALLAM PARK),23/08/2025,1.5,0.2, ,15.6,7.8,100,53,1.07,11.71
FRANKSTON (BALLAM PARK),24/08/2025,1.7,0.0, ,15.7,5.4,100,54,1.71,14.44
FRANKSTON (BALLAM PARK),25/08/2025,1.7,0.0, ,19.4,4.5,100,35,1.08,10.44
FRANKSTON (BALLAM PARK),26/08/2025,2.2,0.4, ,17.7,9.1,100,41,3.98,5.22
FRANKSTON (BALLAM PARK),27/08/2025,1.8,13.0, ,14.6,9.4,100,61,4.54,9.99
FRANKSTON (BALLAM PARK),28/08/2025,2.2,1.0, ,15.3,9.1,83,60,4.37,11.32
FRANKSTON (BALLAM PARK),29/08/2025,1.8,0.4, ,13.6,8.8,88,66,5.40,8.67
FRANKSTON (BALLAM PARK),30/08/2025,2.0,5.2, ,13.0,6.5,100,50,3.38,14.04
FRANKSTON (BALLAM PARK),31/08/2025,1.6,0.0, ,14.8,9.6,100,73,2.65,12.05
Totals:,,41.3,38.4, ,,,,,, 
