'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRANKSTON (BALLAM PARK) Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRANKSTON (BALLAM PARK),01/09/2025,1.8,0.8, ,15.9,8.0,98,63,1.86,14.60
FRANKSTON (BALLAM PARK),02/09/2025,2.2,0.2, ,17.0,8.3,100,46,2.94,11.66
FRANKSTON (BALLAM PARK),03/09/2025,2.4,0.2, ,17.2,10.5,96,47,3.45,13.10
FRANKSTON (BALLAM PARK),04/09/2025,1.7,1.0, ,13.6,9.4,100,66,2.89,11.84
FRANKSTON (BALLAM PARK),05/09/2025,1.9,5.4, ,14.1,3.3,100,48,1.46,15.92
FRANKSTON (BALLAM PARK),06/09/2025,2.7,0.0, ,21.6,2.3,100,33,1.74,16.49
FRANKSTON (BALLAM PARK),07/09/2025,2.9,0.0, ,20.8,11.7,87,48,4.73,8.00
FRANKSTON (BALLAM PARK),08/09/2025,2.0,1.8, ,17.8,10.7,94,59,2.61,10.64
FRANKSTON (BALLAM PARK),09/09/2025,2.3,1.4, ,15.4,10.5,97,52,2.44,16.00
FRANKSTON (BALLAM PARK),10/09/2025,1.7,0.0, ,13.5,5.6,100,62,1.68,13.19
FRANKSTON (BALLAM PARK),11/09/2025,2.0,1.4, ,15.4,6.8,100,56,1.39,15.28
FRANKSTON (BALLAM PARK),12/09/2025,2.1,0.0, ,16.3,8.0,96,64,2.30,15.23
FRANKSTON (BALLAM PARK),13/09/2025,1.9,0.0, ,16.4,10.4,100,66,1.73,12.86
FRANKSTON (BALLAM PARK),14/09/2025,3.3,0.0, ,21.0,8.7,100,39,3.35,17.85
FRANKSTON (BALLAM PARK),15/09/2025,5.7,0.0, ,24.4,14.0,57,24,5.70,15.54
FRANKSTON (BALLAM PARK),16/09/2025,2.5,0.6, ,18.4,13.5,91,44,2.80,10.62
FRANKSTON (BALLAM PARK),17/09/2025, ,1.6, , ,9.8,85,53,3.35,15.98
FRANKSTON (BALLAM PARK),18/09/2025, ,0.0, ,19.4, ,92,39,2.77,18.10
FRANKSTON (BALLAM PARK),19/09/2025,3.8,0.0, ,21.3,12.6,91,36,4.72,14.40
FRANKSTON (BALLAM PARK),20/09/2025,2.4,0.6, ,13.7,8.0,84,62,4.22,15.23
FRANKSTON (BALLAM PARK),21/09/2025,1.6,0.2, ,14.4,9.4,94,67,3.48,6.74
FRANKSTON (BALLAM PARK),22/09/2025,2.4,12.6, ,14.4,5.3,96,49,2.10,17.23
FRANKSTON (BALLAM PARK),23/09/2025,2.2,1.8, ,15.9,7.0,100,64,2.73,15.37
FRANKSTON (BALLAM PARK),24/09/2025,2.2,0.0, ,16.2,11.6,96,68,3.20,14.60
FRANKSTON (BALLAM PARK),25/09/2025,1.7,0.8, ,14.4,11.3,93,71,3.97,7.42
FRANKSTON (BALLAM PARK),26/09/2025,2.5,0.0, ,19.4,12.9,89,42,3.00,7.24
FRANKSTON (BALLAM PARK),27/09/2025,3.3,0.0, ,17.2,10.5,89,46,3.64,20.28
FRANKSTON (BALLAM PARK),28/09/2025,2.9,0.0, ,16.3,9.8,92,47,1.95,19.52
FRANKSTON (BALLAM PARK),29/09/2025,3.4,0.0, ,22.2,5.5,95,37,2.01,20.33
FRANKSTON (BALLAM PARK),30/09/2025,1.5,0.6, ,18.6,13.2,100,59,1.03,6.30
Totals:,,69,31, ,,,,,, 
