'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRANKSTON (BALLAM PARK) Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRANKSTON (BALLAM PARK),01/10/2025,2.3,6.0, ,16.6,9.2,100,58,3.94,12.04
FRANKSTON (BALLAM PARK),02/10/2025,2.0,4.4, ,13.4,8.7,92,63,5.26,8.28
FRANKSTON (BALLAM PARK),03/10/2025,2.4,1.6, ,17.3,11.0,99,67,2.89,14.84
FRANKSTON (BALLAM PARK),04/10/2025,3.4,0.6, ,23.9,7.8,100,35,1.07,21.75
FRANKSTON (BALLAM PARK),05/10/2025,3.6,0.0, ,25.8,13.7,96,33,3.60,8.21
FRANKSTON (BALLAM PARK),06/10/2025,2.9,6.2, ,15.5,11.1,97,46,2.38,18.80
FRANKSTON (BALLAM PARK),07/10/2025,3.6,0.0, ,17.5,8.6,78,47,3.06,22.68
FRANKSTON (BALLAM PARK),08/10/2025,3.0,0.0, ,19.9,7.7,92,49,2.25,17.56
FRANKSTON (BALLAM PARK),09/10/2025,3.0,0.0, ,18.1,11.8,93,50,3.18,15.68
FRANKSTON (BALLAM PARK),10/10/2025,4.1,0.0, ,20.3,12.4,69,47,4.94,16.37
FRANKSTON (BALLAM PARK),11/10/2025,3.8,0.0, ,20.3,12.5,93,41,3.52,19.76
FRANKSTON (BALLAM PARK),12/10/2025,3.0,1.0, ,17.6,10.4,97,51,2.92,17.34
FRANKSTON (BALLAM PARK),13/10/2025, ,8.8, , ,4.9,94,37,1.23,22.05
FRANKSTON (BALLAM PARK),14/10/2025, ,0.0, , , ,100,52,1.90,22.40
Totals:,,37.1,28.6, ,,,,,, 
