'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GABO ISLAND LIGHTHOUSE Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GABO ISLAND LIGHTHOUSE,01/08/2025,1.3,5.2, ,12.8,8.4,96,74,5.98,8.21
GABO ISLAND LIGHTHOUSE,02/08/2025,1.8,4.4, ,15.2,9.1,96,58,5.21,8.29
GABO ISLAND LIGHTHOUSE,03/08/2025,1.8,5.2, ,16.1,11.7,92,69,6.07,10.19
GABO ISLAND LIGHTHOUSE,04/08/2025,1.5,0.4, ,16.4,10.2,96,79,7.31,11.61
GABO ISLAND LIGHTHOUSE,05/08/2025,1.6,0.0, ,16.3,12.5,93,75,5.52,11.66
GABO ISLAND LIGHTHOUSE,06/08/2025,2.9,0.0, ,17.4,8.9,88,50,8.12,11.56
GABO ISLAND LIGHTHOUSE,07/08/2025,2.5,0.0, ,14.0,9.4,81,56,8.13,10.80
GABO ISLAND LIGHTHOUSE,08/08/2025,1.8,0.0, ,14.5,8.2,91,66,6.23,11.77
GABO ISLAND LIGHTHOUSE,09/08/2025,1.5,3.4, ,15.3,9.8,95,68,3.87,10.56
GABO ISLAND LIGHTHOUSE,10/08/2025,1.6,0.2, ,15.1,8.9,92,68,3.65,11.58
GABO ISLAND LIGHTHOUSE,11/08/2025,1.5,1.6, ,14.5,8.4,94,65,3.38,10.39
GABO ISLAND LIGHTHOUSE,12/08/2025,1.4,0.0, ,15.0,8.2,94,79,4.18,13.02
GABO ISLAND LIGHTHOUSE,13/08/2025,1.7,0.2, ,14.0,8.3,93,66,6.30,7.53
GABO ISLAND LIGHTHOUSE,14/08/2025,1.5,5.4, ,14.7,9.8,94,77,6.43,9.99
GABO ISLAND LIGHTHOUSE,15/08/2025,1.9,0.4, ,16.8,8.8,92,65,4.95,10.23
GABO ISLAND LIGHTHOUSE,16/08/2025,2.6,0.0, ,13.5,9.3,86,56,10.43,11.08
GABO ISLAND LIGHTHOUSE,17/08/2025,2.3,0.4, ,13.1,7.9,86,63,10.20,11.67
GABO ISLAND LIGHTHOUSE,18/08/2025,1.7,5.2, ,12.4,7.9,90,74,8.51,11.00
GABO ISLAND LIGHTHOUSE,19/08/2025,1.7,0.0, ,13.8,7.4,94,67,4.43,13.34
GABO ISLAND LIGHTHOUSE,20/08/2025,1.7,2.6, ,16.0,8.0,96,72,5.22,11.96
GABO ISLAND LIGHTHOUSE,21/08/2025,1.3,4.0, ,15.6,11.2,96,84,8.61,8.11
GABO ISLAND LIGHTHOUSE,22/08/2025,1.4,7.4, ,16.8,12.3,96,88,5.64,12.69
GABO ISLAND LIGHTHOUSE,23/08/2025,2.1,0.0, ,15.4,12.3,95,68,10.30,11.42
GABO ISLAND LIGHTHOUSE,24/08/2025,1.3,2.2, ,14.1,11.7,98,80,12.62,6.64
GABO ISLAND LIGHTHOUSE,25/08/2025,1.3,28.8, ,15.8,11.1,98,85,5.15,10.54
GABO ISLAND LIGHTHOUSE,26/08/2025,2.8,0.0, ,19.4,12.7,96,43,5.75,5.36
GABO ISLAND LIGHTHOUSE,27/08/2025,4.2,0.6, ,19.7,13.1,80,36,7.24,15.02
GABO ISLAND LIGHTHOUSE,28/08/2025,3.1,0.0, ,17.3,8.0,86,44,6.25,13.32
GABO ISLAND LIGHTHOUSE,29/08/2025,3.4,0.6, ,18.4,7.7,78,41,5.20,15.32
GABO ISLAND LIGHTHOUSE,30/08/2025,2.5,1.8, ,14.0,7.7,94,57,15.24,6.51
GABO ISLAND LIGHTHOUSE,31/08/2025,3.1,4.6, ,16.0,9.2,77,61,10.26,14.13
Totals:,,62.8,84.6, ,,,,,, 
