'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GABO ISLAND LIGHTHOUSE Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GABO ISLAND LIGHTHOUSE,01/09/2025,2.6,0.0, ,15.7,9.7,86,62,7.09,15.32
GABO ISLAND LIGHTHOUSE,02/09/2025,2.0,0.0, ,16.5,8.0,92,68,4.71,12.74
GABO ISLAND LIGHTHOUSE,03/09/2025,3.9,0.0, ,22.3,9.7,84,32,4.55,13.82
GABO ISLAND LIGHTHOUSE,04/09/2025,2.2,0.0, ,16.1,9.0,93,68,7.43,12.44
GABO ISLAND LIGHTHOUSE,05/09/2025,2.9,0.0, ,14.8,8.3,81,60,9.00,15.65
GABO ISLAND LIGHTHOUSE,06/09/2025,3.0,0.0, ,17.9,6.8,90,54,5.88,16.95
GABO ISLAND LIGHTHOUSE,07/09/2025,2.7,0.0, ,23.3,9.5,92,65,5.08,11.73
GABO ISLAND LIGHTHOUSE,08/09/2025,3.9,0.0, ,25.9,15.4,91,43,3.78,16.67
GABO ISLAND LIGHTHOUSE,09/09/2025,2.6,0.0, ,16.0,10.4,85,70,8.82,16.85
GABO ISLAND LIGHTHOUSE,10/09/2025,2.0,0.0, ,13.7,9.9,93,69,6.96,11.51
GABO ISLAND LIGHTHOUSE,11/09/2025,2.3,5.2, ,14.8,10.7,94,66,11.55,12.12
GABO ISLAND LIGHTHOUSE,12/09/2025,3.2,0.6, ,16.4,10.0,79,62,10.60,15.70
GABO ISLAND LIGHTHOUSE,13/09/2025,2.8,0.0, ,17.1,12.0,84,69,7.65,16.83
GABO ISLAND LIGHTHOUSE,14/09/2025,2.5,0.0, ,18.2,10.8,91,67,2.97,16.58
GABO ISLAND LIGHTHOUSE,15/09/2025,3.7,0.0, ,22.6,9.8,92,55,6.14,18.69
GABO ISLAND LIGHTHOUSE,16/09/2025,3.5,0.0, ,24.0,13.5,94,36,4.31,8.08
GABO ISLAND LIGHTHOUSE,17/09/2025,3.8,2.4, ,17.2,9.3,88,48,9.68,19.02
GABO ISLAND LIGHTHOUSE,18/09/2025,3.3,0.0, ,16.6,9.4,83,53,6.14,18.79
GABO ISLAND LIGHTHOUSE,19/09/2025,4.0,0.0, ,21.2,9.5,87,40,5.12,17.88
GABO ISLAND LIGHTHOUSE,20/09/2025,3.5,1.2, ,15.6,9.6,87,51,11.19,17.84
GABO ISLAND LIGHTHOUSE,21/09/2025,4.0,0.0, ,20.7,10.3,84,40,5.28,17.42
GABO ISLAND LIGHTHOUSE,22/09/2025,3.3,0.0, ,14.5,10.4,87,56,11.95,18.05
GABO ISLAND LIGHTHOUSE,23/09/2025,2.7,2.8, ,15.5,8.4,89,64,10.11,14.64
GABO ISLAND LIGHTHOUSE,24/09/2025,3.7,0.0, ,17.6,11.0,82,54,10.58,14.96
GABO ISLAND LIGHTHOUSE,25/09/2025,2.9,0.0, ,16.6,9.6,88,60,5.85,16.61
GABO ISLAND LIGHTHOUSE,26/09/2025,3.5,0.0, ,21.6,10.8,91,36,4.11,11.05
GABO ISLAND LIGHTHOUSE,27/09/2025,3.0,0.0, ,17.5,12.3,88,71,6.13,20.09
GABO ISLAND LIGHTHOUSE,28/09/2025,2.7,0.0, ,15.7,11.8,87,63,7.03,13.16
GABO ISLAND LIGHTHOUSE,29/09/2025,2.9,0.0, ,17.3,11.2,90,66,6.15,18.39
GABO ISLAND LIGHTHOUSE,30/09/2025,3.2,0.0, ,20.5,14.4,91,66,9.51,13.45
Totals:,,92.3,12.2, ,,,,,, 
