'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GABO ISLAND LIGHTHOUSE Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GABO ISLAND LIGHTHOUSE,01/10/2025,3.1,0.4, ,17.4,11.2,87,59,4.37,17.90
GABO ISLAND LIGHTHOUSE,02/10/2025,3.7,0.4, ,16.9,11.3,77,53,8.10,16.31
GABO ISLAND LIGHTHOUSE,03/10/2025,4.3,1.8, ,18.4,12.2,80,54,14.40,16.25
GABO ISLAND LIGHTHOUSE,04/10/2025,3.0,0.0, ,16.4,12.9,90,70,8.44,19.95
GABO ISLAND LIGHTHOUSE,05/10/2025,4.9,0.0, ,24.7,10.2,94,30,4.42,20.43
GABO ISLAND LIGHTHOUSE,06/10/2025,2.9,0.0, ,15.4,12.1,87,63,11.89,10.71
GABO ISLAND LIGHTHOUSE,07/10/2025,3.2,0.0, ,16.8,9.2,93,60,5.82,21.75
GABO ISLAND LIGHTHOUSE,08/10/2025,3.4,0.0, ,19.5,9.6,94,60,5.37,20.37
GABO ISLAND LIGHTHOUSE,09/10/2025,3.4,0.2, ,18.9,13.4,94,69,4.56,22.96
GABO ISLAND LIGHTHOUSE,10/10/2025,6.7,0.0, ,27.6,10.5,86,21,5.74,23.53
GABO ISLAND LIGHTHOUSE,11/10/2025,4.2,0.0, ,19.5,12.1,87,43,4.04,23.52
GABO ISLAND LIGHTHOUSE,12/10/2025,2.7,0.0, ,17.5,11.0,92,72,4.76,17.07
GABO ISLAND LIGHTHOUSE,13/10/2025,3.4,4.4, ,14.4,9.4,88,56,10.72,20.58
GABO ISLAND LIGHTHOUSE,14/10/2025,3.8,0.0, ,18.1,7.4,85,57,5.67,24.01
Totals:,,52.7,7.2, ,,,,,, 
