'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GELANTIPY Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GELANTIPY,01/08/2025,0.9,3.0, ,8.7,0.1,100,74,1.94,10.24
GELANTIPY,02/08/2025,0.8,0.6, ,9.1,2.7,100,83,1.64,8.00
GELANTIPY,03/08/2025,1.4,0.4, ,12.5,2.2,100,67,4.74,12.02
GELANTIPY,04/08/2025,2.1,0.2, ,14.7,2.4,95,50,5.20,12.15
GELANTIPY,05/08/2025,2.2,0.4, ,13.1,5.7,86,42,4.63,12.09
GELANTIPY,06/08/2025,1.6,0.0, ,12.3,1.7,99,53,4.28,11.06
GELANTIPY,07/08/2025,1.1,4.0, ,7.7,3.3,96,69,2.35,11.70
GELANTIPY,08/08/2025,1.3,0.2, ,11.1,-0.8,98,53,1.94,12.64
GELANTIPY,09/08/2025,1.5,0.0, ,11.8,1.5,100,58,3.50,12.38
GELANTIPY,10/08/2025,1.6,0.2, ,12.1,1.2,98,56,3.89,12.67
GELANTIPY,11/08/2025,1.6,0.2, ,10.4,0.4,100,50,3.82,12.78
GELANTIPY,12/08/2025,1.9,0.0, ,12.5,0.7,97,44,3.62,12.95
GELANTIPY,13/08/2025,1.0,2.4, ,9.5,4.6,99,69,2.44,7.30
GELANTIPY,14/08/2025,1.4,2.0, ,11.5,4.4,96,66,3.51,12.43
GELANTIPY,15/08/2025,2.0,0.0, ,11.8,3.6,88,51,5.64,8.00
GELANTIPY,16/08/2025,1.1,4.4, ,7.4,1.0,100,63,3.31,8.94
GELANTIPY,17/08/2025,1.1,3.4, ,7.0,-1.0,99,64,2.35,9.84
GELANTIPY,18/08/2025,1.2,0.2, ,8.9,0.0,99,56,1.31,12.26
GELANTIPY,19/08/2025,1.9,0.0, ,11.5,-1.3,100,45,3.65,14.06
GELANTIPY,20/08/2025,2.0,0.2, ,13.4,1.5,95,53,4.71,14.04
GELANTIPY,21/08/2025,1.6,0.0, ,13.8,4.2,99,64,5.36,8.65
GELANTIPY,22/08/2025,1.9,0.0, ,15.7,6.0,91,59,3.14,12.55
GELANTIPY,23/08/2025,1.3,0.0, ,11.6,7.0,99,69,2.97,9.38
GELANTIPY,24/08/2025,0.9,1.2, ,9.0,2.5,100,89,3.00,9.11
GELANTIPY,25/08/2025,2.1,1.8, ,17.9,3.3,100,56,3.04,14.26
GELANTIPY,26/08/2025,3.0,0.0, ,15.6,8.2,79,38,6.63,5.61
GELANTIPY,27/08/2025,2.4,6.4, ,11.6,7.3,94,51,7.39,15.27
GELANTIPY,28/08/2025,2.6,0.0, ,10.6,5.2,70,51,6.82,13.31
GELANTIPY,29/08/2025,2.5,0.0, ,10.9,4.8,88,48,7.60,15.11
GELANTIPY,30/08/2025,1.6,12.8, ,8.8,1.7,99,61,8.16,8.89
GELANTIPY,31/08/2025,2.4,1.4, ,13.3,1.8,78,45,3.62,15.53
Totals:,,52,45.4, ,,,,,, 
