'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GELANTIPY Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GELANTIPY,01/09/2025,2.0,0.0, ,12.0,3.4,95,47,2.65,15.62
GELANTIPY,02/09/2025,2.3,0.0, ,12.9,1.9,98,44,3.85,15.94
GELANTIPY,03/09/2025,3.1,0.0, ,13.8,3.2,67,44,6.71,14.44
GELANTIPY,04/09/2025,2.3,0.0, ,11.9,7.5,100,49,5.70,15.10
GELANTIPY,05/09/2025,1.8,2.0, ,9.4,0.1,98,51,2.56,16.57
GELANTIPY,06/09/2025,3.8,0.0, ,17.9,0.8,90,23,5.09,17.04
GELANTIPY,07/09/2025,3.5,0.0, ,19.0,5.9,67,45,6.81,7.17
GELANTIPY,08/09/2025,4.4,0.0, ,17.8,12.0,68,33,6.73,17.05
GELANTIPY,09/09/2025,3.2,0.0, ,16.6,6.4,98,28,3.94,17.40
GELANTIPY,10/09/2025,1.3,0.0, ,8.8,4.6,100,65,2.39,9.30
GELANTIPY,11/09/2025,1.6,4.6, ,9.7,3.5,100,65,4.42,12.46
GELANTIPY,12/09/2025,2.1,0.6, ,12.0,0.5,97,55,2.99,17.48
GELANTIPY,13/09/2025,2.4,0.0, ,14.9,4.7,98,51,2.11,18.38
GELANTIPY,14/09/2025,2.8,0.0, ,16.3,4.3,99,43,3.49,18.59
GELANTIPY,15/09/2025,5.2,0.0, ,20.2,7.2,65,24,6.90,18.74
GELANTIPY,16/09/2025,3.8,0.0, ,16.1,14.0,85,34,7.77,12.78
GELANTIPY,17/09/2025,3.3,2.4, ,13.0,5.8,74,41,5.63,19.10
GELANTIPY,18/09/2025,2.9,0.0, ,15.0,0.7,84,37,3.07,18.94
GELANTIPY,19/09/2025,4.4,0.0, ,18.7,4.7,78,33,6.93,18.70
GELANTIPY,20/09/2025,2.9,3.6, ,11.3,5.0,96,35,5.80,19.07
GELANTIPY,21/09/2025,2.9,0.2, ,14.3,4.8,93,48,5.05,18.38
GELANTIPY,22/09/2025,1.7,4.2, ,7.9,3.2,100,68,5.50,16.50
GELANTIPY,23/09/2025,2.4,6.4, ,13.7,1.6,98,56,3.66,17.17
GELANTIPY,24/09/2025,2.8,0.2, ,14.3,5.0,94,47,4.69,16.05
GELANTIPY,25/09/2025,3.1,0.0, ,15.4,5.6,78,42,5.80,11.09
GELANTIPY,26/09/2025,3.4,0.2, ,17.4,8.8,94,39,5.84,13.79
GELANTIPY,27/09/2025,4.3,0.0, ,19.0,2.5,100,19,4.61,21.09
GELANTIPY,28/09/2025,1.2,0.0, ,10.6,5.2,97,79,1.93,7.72
GELANTIPY,29/09/2025,3.1,0.0, ,18.0,5.8,96,42,1.86,20.35
GELANTIPY,30/09/2025,4.7,0.0, ,21.7,8.5,93,28,5.65,18.19
Totals:,,88.7,24.4, ,,,,,, 
