'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAMPIANS (MOUNT WILLIAM) Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAMPIANS (MOUNT WILLIAM),01/08/2025,0.4,0.6, ,3.5,0.4,100,100,6.11,7.90
GRAMPIANS (MOUNT WILLIAM),02/08/2025,1.5,0.6, ,7.6,0.9,100,49,5.15,11.90
GRAMPIANS (MOUNT WILLIAM),03/08/2025,1.9,0.0, ,8.7,3.3,84,54,8.48,12.04
GRAMPIANS (MOUNT WILLIAM),04/08/2025,1.3,0.0, ,7.4,4.4,99,68,13.04,11.85
GRAMPIANS (MOUNT WILLIAM),05/08/2025,0.8,7.6, ,5.6,1.9,100,82,8.76,10.16
GRAMPIANS (MOUNT WILLIAM),06/08/2025,0.7,6.8, ,3.4,1.9,100,85,5.48,10.19
GRAMPIANS (MOUNT WILLIAM),07/08/2025,0.7,0.8, ,2.8,-1.0,97,85,5.23,9.09
GRAMPIANS (MOUNT WILLIAM),08/08/2025,1.1,0.6, ,7.9,-0.6,100,74,7.83,11.14
GRAMPIANS (MOUNT WILLIAM),09/08/2025,1.9,0.2, ,9.2,1.3,86,37,4.18,12.67
GRAMPIANS (MOUNT WILLIAM),10/08/2025,1.4,0.0, ,8.7,4.2,91,74,7.80,12.56
GRAMPIANS (MOUNT WILLIAM),11/08/2025,1.4,0.0, ,8.7,4.0,98,67,7.70,13.10
GRAMPIANS (MOUNT WILLIAM),12/08/2025,1.1,2.8, ,6.2,3.8,100,65,8.17,5.53
GRAMPIANS (MOUNT WILLIAM),13/08/2025,2.1,6.0, ,7.5,1.8,100,25,5.76,12.85
GRAMPIANS (MOUNT WILLIAM),14/08/2025,2.3,0.2, ,9.2,2.4,70,49,6.88,13.51
GRAMPIANS (MOUNT WILLIAM),15/08/2025,1.1,0.0, ,4.9,4.5,99,65,9.86,6.32
GRAMPIANS (MOUNT WILLIAM),16/08/2025,0.7,10.6, ,2.5,-1.4,100,84,6.15,11.39
GRAMPIANS (MOUNT WILLIAM),17/08/2025,0.5,9.8, ,4.7,-1.1,100,99,4.67,8.11
GRAMPIANS (MOUNT WILLIAM),18/08/2025,0.6,0.8, ,2.3,-0.9,100,90,7.76,10.12
GRAMPIANS (MOUNT WILLIAM),19/08/2025,2.3,0.2, ,6.1,-1.4,99,8,5.07,14.08
GRAMPIANS (MOUNT WILLIAM),20/08/2025,3.2,0.0, ,9.2,1.3,83,11,7.75,14.40
GRAMPIANS (MOUNT WILLIAM),21/08/2025,1.9,0.2, ,10.0,4.5,87,68,9.06,14.51
GRAMPIANS (MOUNT WILLIAM),22/08/2025,1.6,0.0, ,9.4,5.9,98,61,8.08,8.96
GRAMPIANS (MOUNT WILLIAM),23/08/2025,1.1,0.8, ,6.1,3.4,100,75,4.63,11.67
GRAMPIANS (MOUNT WILLIAM),24/08/2025,2.3,0.0, ,9.0,0.4,99,11,3.59,15.02
GRAMPIANS (MOUNT WILLIAM),25/08/2025,3.2,0.0, ,9.4,2.0,79,20,8.77,10.73
GRAMPIANS (MOUNT WILLIAM),26/08/2025,1.4,3.2, ,6.0,4.8,100,58,11.60,4.78
GRAMPIANS (MOUNT WILLIAM),27/08/2025,0.5,29.0, ,3.6,2.0,100,92,10.83,6.78
GRAMPIANS (MOUNT WILLIAM),28/08/2025,0.4,28.4, ,4.3,-0.1,100,99,8.41,8.37
GRAMPIANS (MOUNT WILLIAM),29/08/2025,0.3,15.8, ,2.5,1.3,100,100,11.34,6.84
GRAMPIANS (MOUNT WILLIAM),30/08/2025,0.5,7.0, ,3.6,-2.3,100,98,10.47,12.90
GRAMPIANS (MOUNT WILLIAM),31/08/2025,0.6,17.2, ,5.4,-1.7,100,100,6.32,10.27
Totals:,,40.8,149.2, ,,,,,, 
