'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAMPIANS (MOUNT WILLIAM) Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAMPIANS (MOUNT WILLIAM),01/09/2025,1.2,3.0, ,6.4,2.0,100,76,3.88,11.82
GRAMPIANS (MOUNT WILLIAM),02/09/2025,1.2,0.4, ,7.3,2.2,100,75,9.06,11.73
GRAMPIANS (MOUNT WILLIAM),03/09/2025,1.3,1.6, ,7.5,3.2,100,73,8.84,12.79
GRAMPIANS (MOUNT WILLIAM),04/09/2025,1.0,8.6, ,4.2,1.4,100,80,7.31,10.90
GRAMPIANS (MOUNT WILLIAM),05/09/2025,1.5,2.4, ,6.4,-1.1,99,68,7.26,16.80
GRAMPIANS (MOUNT WILLIAM),06/09/2025,3.2,0.0, ,11.4,1.6,83,39,11.30,14.28
GRAMPIANS (MOUNT WILLIAM),07/09/2025,1.9,2.4, ,12.1,6.0,100,61,13.83,4.16
GRAMPIANS (MOUNT WILLIAM),08/09/2025,1.3,8.0, ,8.9,5.3,100,74,8.48,10.33
GRAMPIANS (MOUNT WILLIAM),09/09/2025,1.3,0.6, ,7.1,3.4,100,81,4.34,14.00
GRAMPIANS (MOUNT WILLIAM),10/09/2025,0.5,0.2, ,3.4,0.3,100,97,10.81,9.35
GRAMPIANS (MOUNT WILLIAM),11/09/2025,0.8,5.2, ,5.3,0.9,100,91,8.26,11.91
GRAMPIANS (MOUNT WILLIAM),12/09/2025,1.3,2.6, ,7.7,0.9,100,81,7.47,14.87
GRAMPIANS (MOUNT WILLIAM),13/09/2025,1.4,2.0, ,9.1,3.0,100,83,4.56,14.53
GRAMPIANS (MOUNT WILLIAM),14/09/2025,2.8,0.2, ,11.9,4.8,89,52,9.35,18.60
GRAMPIANS (MOUNT WILLIAM),15/09/2025,4.1,0.0, ,16.1,6.6,98,34,13.12,16.98
GRAMPIANS (MOUNT WILLIAM),16/09/2025,1.1,3.6, ,6.8,3.9,100,82,9.92,11.49
GRAMPIANS (MOUNT WILLIAM),17/09/2025,1.2,8.4, ,5.5,0.3,100,81,6.67,13.98
GRAMPIANS (MOUNT WILLIAM),18/09/2025,2.8,0.8, ,11.3,1.4,97,45,8.37,18.58
GRAMPIANS (MOUNT WILLIAM),19/09/2025,2.9,0.2, ,10.0,5.0,99,40,10.80,18.74
GRAMPIANS (MOUNT WILLIAM),20/09/2025,1.1,4.0, ,4.9,-0.7,100,80,7.71,13.10
GRAMPIANS (MOUNT WILLIAM),21/09/2025,0.7,9.4, ,6.9,0.3,100,99,8.65,12.14
GRAMPIANS (MOUNT WILLIAM),22/09/2025,1.3,6.6, ,4.7,0.3,100,72,9.88,15.18
GRAMPIANS (MOUNT WILLIAM),23/09/2025,0.7,0.8, ,6.1,1.0,100,98,8.38,12.50
GRAMPIANS (MOUNT WILLIAM),24/09/2025,0.9,1.4, ,6.9,2.8,100,92,7.97,11.97
GRAMPIANS (MOUNT WILLIAM),25/09/2025,0.9,1.4, ,7.4,3.4,100,93,8.49,11.57
GRAMPIANS (MOUNT WILLIAM),26/09/2025,2.0,0.2, ,11.1,4.1,99,68,11.11,15.45
GRAMPIANS (MOUNT WILLIAM),27/09/2025,1.3,0.2, ,7.3,1.1,100,77,6.21,11.59
GRAMPIANS (MOUNT WILLIAM),28/09/2025,2.0,2.0, ,7.9,1.3,100,61,3.10,18.01
GRAMPIANS (MOUNT WILLIAM),29/09/2025,2.7,0.0, ,12.2,2.5,87,54,8.13,15.28
GRAMPIANS (MOUNT WILLIAM),30/09/2025,2.0,10.2, ,8.2,6.1,100,58,7.73,14.42
Totals:,,48.4,86.4, ,,,,,, 
