'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HAMILTON AIRPORT Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HAMILTON AIRPORT,01/08/2025,1.4,0.2, ,12.4,3.5,99,57,3.40,11.05
HAMILTON AIRPORT,02/08/2025,1.1,0.0, ,12.0,4.1,100,70,3.14,11.61
HAMILTON AIRPORT,03/08/2025,2.1,0.2, ,14.7,0.7,99,46,5.08,11.85
HAMILTON AIRPORT,04/08/2025,2.9,0.0, ,16.7,5.8,98,48,10.46,10.80
HAMILTON AIRPORT,05/08/2025, ,4.2, , ,6.6,99,60,6.85,10.54
HAMILTON AIRPORT,06/08/2025,1.4, , ,11.5,6.9,100,60,4.09,10.53
HAMILTON AIRPORT,07/08/2025,1.0,0.4, ,10.1,1.1,99,60,1.83,7.46
HAMILTON AIRPORT,08/08/2025,1.4,0.0, ,13.2,4.7,100,65,4.23,9.43
HAMILTON AIRPORT,09/08/2025,2.0,0.2, ,17.5,2.3,100,48,3.27,12.37
HAMILTON AIRPORT,10/08/2025,2.0,0.0, ,17.0,4.9,99,49,3.59,12.17
HAMILTON AIRPORT,11/08/2025,2.2,0.0, ,16.9,5.3,88,53,4.57,12.88
HAMILTON AIRPORT,12/08/2025,1.5,6.6, ,15.1,8.8,100,67,4.53,8.06
HAMILTON AIRPORT,13/08/2025,1.5,1.6, ,14.0,2.3,100,58,2.29,12.87
HAMILTON AIRPORT,14/08/2025,2.1,0.0, ,15.6,1.6,100,50,4.56,13.21
HAMILTON AIRPORT,15/08/2025,2.0,0.6, ,12.8,7.3,99,55,8.00,9.34
HAMILTON AIRPORT,16/08/2025,1.3,2.8, ,10.6,2.0,99,68,4.45,11.23
HAMILTON AIRPORT,17/08/2025,1.1,1.8, ,11.8,4.6,100,74,3.71,8.64
HAMILTON AIRPORT,18/08/2025,1.3,3.4, ,10.3,3.0,99,61,3.77,9.24
HAMILTON AIRPORT,19/08/2025,1.6,0.0, ,12.0,0.6,96,49,2.36,13.88
HAMILTON AIRPORT,20/08/2025,2.4,0.2, ,16.7,1.4,94,50,4.38,14.21
HAMILTON AIRPORT,21/08/2025,2.6,0.0, ,17.4,4.6,84,53,4.85,14.27
HAMILTON AIRPORT,22/08/2025,2.2,0.0, ,16.3,10.1,99,53,5.54,8.42
HAMILTON AIRPORT,23/08/2025,1.8,0.8, ,14.6,6.1,100,51,2.83,11.93
HAMILTON AIRPORT,24/08/2025,2.3,0.0, ,15.4,1.4,98,39,3.33,14.83
HAMILTON AIRPORT,25/08/2025,2.1,0.0, ,14.2,4.4,96,55,6.54,9.20
HAMILTON AIRPORT,26/08/2025,2.6,0.4, ,16.1,10.3,99,49,8.04,8.76
HAMILTON AIRPORT,27/08/2025,1.9,5.6, ,12.6,6.9,99,63,8.54,12.97
HAMILTON AIRPORT,28/08/2025,1.8,16.2, ,13.1,5.8,99,67,6.87,12.46
HAMILTON AIRPORT,29/08/2025,1.1,4.2, ,9.1,7.5,99,79,9.94,7.46
HAMILTON AIRPORT,30/08/2025,1.5,20.0, ,11.3,3.7,99,71,7.19,11.65
HAMILTON AIRPORT,31/08/2025,1.7,0.8, ,14.2,6.1,100,69,4.87,12.96
Totals:,,53.9,70.2, ,,,,,, 
