'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HAMILTON AIRPORT Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HAMILTON AIRPORT,01/09/2025,1.8,0.6, ,14.8,5.6,100,59,3.44,11.22
HAMILTON AIRPORT,02/09/2025,2.4,0.6, ,15.2,5.3,100,55,6.79,13.00
HAMILTON AIRPORT,03/09/2025,2.4,0.8, ,15.0,8.9,99,54,6.66,13.50
HAMILTON AIRPORT,04/09/2025,2.2,5.8, ,12.6,6.5,99,52,5.45,14.34
HAMILTON AIRPORT,05/09/2025,2.1,1.8, ,12.8,-0.1,99,52,3.63,16.59
HAMILTON AIRPORT,06/09/2025,3.3,0.0, ,19.8,1.2,97,41,5.42,12.76
HAMILTON AIRPORT,07/09/2025,3.9,3.8, ,20.5,10.7,93,43,9.86,9.35
HAMILTON AIRPORT,08/09/2025,2.3,3.6, ,16.5,10.2,100,63,6.64,13.11
HAMILTON AIRPORT,09/09/2025,2.1,0.2, ,14.9,8.3,99,59,3.74,14.16
HAMILTON AIRPORT,10/09/2025,1.4,0.0, ,12.1,3.6,99,77,4.60,11.82
HAMILTON AIRPORT,11/09/2025,2.0,1.8, ,13.5,5.2,99,61,4.45,13.26
HAMILTON AIRPORT,12/09/2025,2.2,0.6, ,16.0,3.5,100,64,4.10,15.63
HAMILTON AIRPORT,13/09/2025,2.1,2.0, ,16.3,9.4,100,61,3.77,12.75
HAMILTON AIRPORT,14/09/2025,4.1,0.2, ,19.7,5.5,95,38,7.10,18.46
HAMILTON AIRPORT,15/09/2025,5.3,0.0, ,23.0,10.1,82,31,8.10,14.54
HAMILTON AIRPORT,16/09/2025,2.6,0.2, ,14.4,10.3,94,57,7.28,13.91
HAMILTON AIRPORT,17/09/2025,2.7,2.4, ,13.3,5.4,92,42,5.10,14.74
HAMILTON AIRPORT,18/09/2025,3.8,0.2, ,19.3,2.7,99,39,6.03,19.00
HAMILTON AIRPORT,19/09/2025,3.0,0.0, ,16.9,10.2,99,51,7.51,15.55
HAMILTON AIRPORT,20/09/2025,2.3,5.2, ,14.0,4.3,99,57,6.26,13.92
HAMILTON AIRPORT,21/09/2025,2.3,1.6, ,15.0,7.7,100,65,6.96,14.68
HAMILTON AIRPORT,22/09/2025,2.2,1.0, ,13.4,4.6,99,62,4.83,15.83
HAMILTON AIRPORT,23/09/2025,1.7,0.8, ,14.2,5.9,99,75,5.09,11.08
HAMILTON AIRPORT,24/09/2025,2.1,0.6, ,15.5,9.4,99,70,5.84,13.49
HAMILTON AIRPORT,25/09/2025,1.6,0.6, ,13.5,9.3,99,77,6.86,11.14
HAMILTON AIRPORT,26/09/2025,2.4,0.2, ,18.0,9.1,95,68,6.91,11.20
HAMILTON AIRPORT,27/09/2025,2.2,0.2, ,14.2,7.9,99,62,5.45,13.35
HAMILTON AIRPORT,28/09/2025,2.8,3.2, ,15.0,5.9,100,46,2.92,19.02
HAMILTON AIRPORT,29/09/2025,2.9,0.0, ,19.4,4.7,100,54,5.17,12.73
HAMILTON AIRPORT,30/09/2025,2.6,14.0, ,15.8,10.9,100,64,5.66,16.92
Totals:,,76.8,52, ,,,,,, 
